time,total_flux_kg_m2_s,diffusion_flux_kg_m2_s,ebullition_flux_kg_m2_s,upward_bubbling_flux_kg_m2_s,sediment_temperature_avg_c
2021-01-01,0.0,0.0,0.0,0.0,3.5536343184482533
2021-01-02,0.0,0.0,0.0,0.0,3.566153817189503
2021-01-03,0.0,0.0,0.0,0.0,3.5480106135671883
2021-01-04,0.0,0.0,0.0,0.0,3.4816931496993937
2021-01-05,0.0,0.0,0.0,0.0,3.477264364427472
2021-01-06,0.0,0.0,0.0,0.0,3.452264383495406
2021-01-07,0.0,0.0,0.0,0.0,3.4683952576365424
2021-01-08,1.0223001496445504e-11,0.0,0.0,1.0223001496445504e-11,3.3573478173996083
2021-01-09,7.739690991215297e-11,0.0,0.0,7.739690991215297e-11,3.366877729639309
2021-01-10,1.4972941627888757e-10,0.0,0.0,1.4972941627888757e-10,3.355192445045443
2021-01-11,1.8975375706276053e-10,0.0,0.0,1.8975375706276053e-10,3.42235186589974
2021-01-12,2.456009273288373e-10,0.0,0.0,2.456009273288373e-10,3.415856457495228
2021-01-13,2.3381992459547973e-10,0.0,0.0,2.3381992459547973e-10,3.406195452085127
2021-01-14,4.1412887185288124e-10,0.0,0.0,4.1412887185288124e-10,3.3913153971914434
2021-01-15,3.117063900504035e-10,0.0,0.0,3.117063900504035e-10,3.391312528332482
2021-01-16,3.8695840032687555e-10,0.0,0.0,3.8695840032687555e-10,3.3853808173737487
2021-01-17,3.580157928695371e-10,0.0,0.0,3.580157928695371e-10,3.3284157046493084
2021-01-18,4.5993361084128987e-10,0.0,0.0,4.5993361084128987e-10,3.349688303039253
2021-01-19,3.096759102305668e-10,0.0,0.0,3.096759102305668e-10,3.3753051111776884
2021-01-20,3.847639161591587e-10,0.0,0.0,3.847639161591587e-10,3.339185513037357
2021-01-21,4.964805380325287e-10,0.0,0.0,4.964805380325287e-10,3.3722674307713834
2021-01-22,6.017780536637928e-10,0.0,0.0,6.017780536637928e-10,3.337390976581403
2021-01-23,5.668719677487387e-10,0.0,0.0,5.668719677487387e-10,3.3631078049679006
2021-01-24,4.792483424864712e-10,0.0,0.0,4.792483424864712e-10,3.358775809570465
2021-01-25,5.184146094450171e-10,0.0,0.0,5.184146094450171e-10,3.3223822325213686
2021-01-26,6.080160314070326e-10,0.0,0.0,6.080160314070326e-10,3.3480603785226766
2021-01-27,8.468917262405283e-10,0.0,0.0,8.468917262405283e-10,3.3384707068112913
2021-01-28,7.736180255335511e-10,0.0,0.0,7.736180255335511e-10,3.338073761065946
2021-01-29,5.994202204817611e-10,0.0,0.0,5.994202204817611e-10,3.3347713820745724
2021-01-30,5.015936784502627e-10,0.0,0.0,5.015936784502627e-10,3.333848568889155
2021-01-31,6.06845263746436e-10,0.0,0.0,6.06845263746436e-10,3.2960276220352718
2021-02-01,7.37175267886414e-10,0.0,0.0,7.37175267886414e-10,3.3223702207183967
