time,initial_guess.delta_dissolved,initial_guess.delta_emission,initial_guess.delta_bubble,initial_guess.ch4_conc_mb,all_observations.delta_dissolved,all_observations.delta_emission,all_observations.delta_bubble,all_observations.ch4_conc_mb,no_winter_obs.delta_dissolved,no_winter_obs.delta_emission,no_winter_obs.delta_bubble,no_winter_obs.ch4_conc_mb,no_winter_emission_obs.delta_dissolved,no_winter_emission_obs.delta_emission,no_winter_emission_obs.delta_bubble,no_winter_emission_obs.ch4_conc_mb,temperature_based.delta_dissolved,temperature_based.delta_emission,temperature_based.delta_bubble,temperature_based.C13_sed_prod,temperature_based.ch4_conc_mb
2021-01-01,-58.173242699796845,-58.173242699796845,-58.173242699796845,0.0006292572692447937,-61.85281703983237,-61.85281703983237,-61.85281703983237,0.0006292572692447937,-54.60950104212004,-54.60950104212004,-54.60950104212004,0.0006292572692447937,-60.72581188889248,-60.72581188889248,-60.72581188889248,0.0006292572692447937,-66.94184782706681,-66.94184782706681,-66.94184782706681,-66.94184782706682,0.0006292572692447937
2021-01-02,-57.763523507417204,-57.763523507417204,-58.173242699796845,0.0006224046716736249,-61.44736138718232,-61.44736138718232,-61.85281703983237,0.0006224046716736249,-53.72410375232894,-53.72410375232894,-54.60950104212004,0.0006224046716736249,-60.31986915850307,-60.31986915850307,-60.72581188889248,0.0006224046716736249,-66.53749519779817,-66.53749519779817,-66.88172150071469,-66.8817215007147,0.0006224046716736249
2021-01-03,-57.686837047966286,-57.686837047966286,-58.173242699796845,0.0006313482533649737,-61.371473165945154,-61.371473165945154,-61.85281703983237,0.0006313482533649737,-53.55829336244477,-53.55829336244477,-54.60950104212004,0.0006313482533649737,-60.24388977202233,-60.24388977202233,-60.72581188889248,0.0006313482533649737,-66.46258705671893,-66.46258705671893,-66.96885631374639,-66.96885631374633,0.0006313482533649737
2021-01-04,-57.695755186263575,-57.695755186263575,-58.173242699796845,0.0006501450067252596,-61.38029851283156,-61.38029851283156,-61.85281703983237,0.0006501450067252596,-53.57756117290102,-53.57756117290102,-54.60950104212004,0.0006501450067252596,-60.25272572088214,-60.25272572088214,-60.72581188889248,0.0006501450067252596,-66.48150049274516,-66.48150049274516,-67.28735352819326,-67.28735352819331,0.0006501450067252596
2021-01-05,-57.71077721208317,-57.71077721208317,-58.173242699796845,0.0006713534119638798,-61.39516421171598,-61.39516421171598,-61.85281703983237,0.0006713534119638798,-53.61002651360802,-53.61002651360802,-54.60950104212004,0.0006713534119638798,-60.26760927807218,-60.26760927807218,-60.72581188889248,0.0006713534119638798,-66.50757029619481,-66.50757029619481,-67.3086232766158,-67.30862327661588,0.0006713534119638798
2021-01-06,-57.72777561273035,-57.72777561273035,-58.173242699796845,0.0006969715304906193,-61.411985718047845,-61.411985718047845,-61.85281703983237,0.0006969715304906193,-53.64676324068807,-53.64676324068807,-54.60950104212004,0.0006969715304906193,-60.28445099223978,-60.28445099223978,-60.72581188889248,0.0006969715304906193,-66.5414270979251,-66.5414270979251,-67.42868854786876,-67.42868854786877,0.0006969715304906193
2021-01-07,-57.742368581797486,-57.742368581797486,-58.173242699796845,0.0007205767636680837,-61.426426824988,-61.426426824988,-61.85281703983237,0.0007205767636680837,-53.67830137978735,-53.67830137978735,-54.60950104212004,0.0007205767636680837,-60.29890944741923,-60.29890944741923,-60.72581188889248,0.0007205767636680837,-66.56795488536716,-66.56795488536716,-67.35121817760881,-67.3512181776087,0.0007205767636680837
2021-01-08,-57.76625872842167,-58.173242699796845,-58.173242699796845,0.0007628749516774919,-61.45006835815548,-61.85281703983237,-61.85281703983237,0.0007628749516774919,-53.7299324607462,-54.60950104212004,-54.60950104212004,0.0007628749516774919,-60.32257938138608,-60.72581188889248,-60.72581188889248,0.0007628749516774919,-66.64095374965306,-67.88453622573908,-67.88453622573908,-67.88453622573913,0.0007628749516774919
2021-01-09,-57.78854203239081,-58.173242699796845,-58.173242699796845,0.0008070635270531534,-61.47211977031964,-61.85281703983237,-61.85281703983237,0.0008070635270531534,-53.77809085380103,-54.60950104212004,-54.60950104212004,0.0008070635270531534,-60.34465728412175,-60.72581188889248,-60.72581188889248,0.0008070635270531534,-66.7065368067763,-67.83876773090769,-67.83876773090769,-67.83876773090766,0.0008070635270531534
2021-01-10,-57.811203714737694,-58.173242699796845,-58.173242699796845,0.0008575813387764388,-61.49454562325629,-61.85281703983237,-61.85281703983237,0.0008575813387764388,-53.82706699339168,-54.60950104212004,-54.60950104212004,0.0008575813387764388,-60.367110077449546,-60.72581188889248,-60.72581188889248,0.0008575813387764388,-66.77653936088778,-67.89488764828855,-67.89488764828855,-67.89488764828849,0.0008575813387764388
2021-01-11,-57.82520770900468,-58.173242699796845,-58.173242699796845,0.0008920881109962369,-61.50840388457868,-61.85281703983237,-61.85281703983237,0.0008920881109962369,-53.85733224764599,-54.60950104212004,-54.60950104212004,0.0008920881109962369,-60.3809849868332,-60.72581188889248,-60.72581188889248,0.0008920881109962369,-66.80732191144479,-67.57234683899871,-67.57234683899871,-67.57234683899867,0.0008920881109962369
2021-01-12,-57.84028625686766,-58.173242699796845,-58.173242699796845,0.0009324879697923572,-61.52332551712569,-61.85281703983237,-61.85281703983237,0.0009324879697923572,-53.88991981346136,-54.60950104212004,-54.60950104212004,0.0009324879697923572,-60.39592454487974,-60.72581188889248,-60.72581188889248,0.0009324879697923572,-66.84181798149613,-67.60354178167117,-67.60354178167117,-67.60354178167104,0.0009324879697923572
2021-01-13,-57.85184727723214,-58.173242699796845,-58.173242699796845,0.0009660308009947949,-61.534766227419155,-61.85281703983237,-61.85281703983237,0.0009660308009947949,-53.91490534359611,-54.60950104212004,-54.60950104212004,0.0009660308009947949,-60.40737899900772,-60.72581188889248,-60.72581188889248,0.0009660308009947949,-66.86987784868725,-67.64993986646527,-67.64993986646527,-67.64993986646525,0.0009660308009947949
2021-01-14,-57.86451455676678,-58.173242699796845,-58.173242699796845,0.0010056675573824466,-61.547301684566904,-61.85281703983237,-61.85281703983237,0.0010056675573824466,-53.942281706975905,-54.60950104212004,-54.60950104212004,0.0010056675573824466,-60.419929515119655,-60.72581188889248,-60.72581188889248,0.0010056675573824466,-66.90343933337716,-67.72140303405416,-67.72140303405416,-67.72140303405416,0.0010056675573824466
2021-01-15,-57.87692917655962,-58.173242699796845,-58.173242699796845,0.0010478019163764063,-61.5595871112834,-61.85281703983237,-61.85281703983237,0.0010478019163764063,-53.969112025336166,-54.60950104212004,-54.60950104212004,0.0010478019163764063,-60.43222970043627,-60.72581188889248,-60.72581188889248,0.0010478019163764063,-66.93633195954807,-67.72141681207788,-67.72141681207788,-67.72141681207785,0.0010478019163764063
2021-01-16,-57.88939662571379,-58.173242699796845,-58.173242699796845,0.0010938248080380802,-61.5719248175911,-61.85281703983237,-61.85281703983237,0.0010938248080380802,-53.99605651784023,-54.60950104212004,-54.60950104212004,0.0010938248080380802,-60.44458222814808,-60.72581188889248,-60.72581188889248,0.0010938248080380802,-66.97056318391014,-67.74990453321605,-67.74990453321605,-67.7499045332161,0.0010938248080380802
2021-01-17,-57.90299873917337,-58.173242699796845,-58.173242699796845,0.0011488799852546483,-61.58538538028924,-61.85281703983237,-61.85281703983237,0.0011488799852546483,-54.02545323240593,-54.60950104212004,-54.60950104212004,0.0011488799852546483,-60.45805896114842,-60.72581188889248,-60.72581188889248,0.0011488799852546483,-67.02102002322152,-68.02348601032982,-68.02348601032982,-68.0234860103299,0.0011488799852546483
2021-01-18,-57.913623454287745,-58.173242699796845,-58.173242699796845,0.0011958970025026678,-61.59589952901856,-61.85281703983237,-61.85281703983237,0.0011958970025026678,-54.04841523154591,-54.60950104212004,-54.60950104212004,0.0011958970025026678,-60.46858574062486,-60.72581188889248,-60.72581188889248,0.0011958970025026678,-67.05641563818443,-67.92132192056988,-67.92132192056988,-67.92132192056988,0.0011958970025026678
2021-01-19,-57.92229961207218,-58.173242699796845,-58.173242699796845,0.0012372441907503547,-61.60448539813246,-61.85281703983237,-61.85281703983237,0.0012372441907503547,-54.06716603337325,-54.60950104212004,-54.60950104212004,0.0012372441907503547,-60.47718192402518,-60.72581188889248,-60.72581188889248,0.0012372441907503547,-67.08120831493447,-67.79829426602369,-67.79829426602369,-67.79829426602356,0.0012372441907503547
2021-01-20,-57.93179458119768,-58.173242699796845,-58.173242699796845,0.0012858989305753873,-61.613881557605055,-61.85281703983237,-61.85281703983237,0.0012858989305753873,-54.087686439854174,-54.60950104212004,-54.60950104212004,0.0012858989305753873,-60.486589371193666,-60.72581188889248,-60.72581188889248,0.0012858989305753873,-67.11490434997359,-67.97176277226168,-67.97176277226168,-67.97176277226157,0.0012858989305753873
2021-01-21,-57.93812447750668,-58.173242699796845,-58.173242699796845,0.0013205181396480407,-61.620145581676944,-61.85281703983237,-61.85281703983237,0.0013205181396480407,-54.101366531229544,-54.60950104212004,-54.60950104212004,0.0013205181396480407,-60.492860920297375,-60.72581188889248,-60.72581188889248,0.0013205181396480407,-67.1332028274052,-67.81288307402922,-67.81288307402922,-67.8128830740292,0.0013205181396480407
2021-01-22,-57.94633819685691,-58.173242699796845,-58.173242699796845,0.0013683195946902018,-61.628273824734904,-61.85281703983237,-61.85281703983237,0.0013683195946902018,-54.119117916996416,-54.60950104212004,-54.60950104212004,0.0013683195946902018,-60.50099892789118,-60.72581188889248,-60.72581188889248,0.0013683195946902018,-67.16279851609941,-67.98038123908934,-67.98038123908934,-67.98038123908933,0.0013683195946902018
