Layer #: 21
---------------------------------------	
Depth (m)	Area (m^2)
0           254775704
1           241486699
2           228809386
3           216719407
4           205193221
5           194208081
6           183742016
7           173773801
8           164282946
9           155249669
10          146654881
11          138480160
12          130707739
17          97301552
22          71630844
32          37409443
42          18462930
52          8518635
62          3622563
72          1392764
92          1392764
