Layer #: 46
------------------------------------------------
Depth (m)            Area (m^2)
       0             1013750020
       1              946249980
       2              900124990
       3              859812480
       4              772750020
       5              737562500
       6              689500030
       7              654374980
       8              621312510
       9              550312510
      10              519000000
      11              487187488
      12              456562496
      13              425750016
      14              336875008
      15              312624992
      16              286437504
      17              260124992
      18              237562496
      19              146124992
      20              131562496
      21              117500000
      22              106062496
      23               95875000
      24               59437500
      25               53250000
      26               47562500
      27               41250000
      28               35937500
      29               19187500
      30               17312500
      31               15562500
      32               13937500
      33               12437500
      34               10875000
      35                9312500
      36                7875000
      37                6812500
      38                4750000
      39                3062500
      40                2187500
      41                1812500
      42                1437500
      43                 937500
      44                 375000
      51                 375000
