Layer #: 23
----------------------------------------
Depth(m)   Area(m^2)
0          3866522  
1          3265595  
2          2973027  
3          2811699  
4          2585302  
5          2403574  
6          2246654  
7          1866963  
8          1633293  
9          1545934  
10         1545934  
11         1455083  
12         1132522  
13         1032502  
14         904704  
15         736021  
16         640483  
17         471347  
18         226791  
19         150913  
20         80031  
21         100  
21.3       100
