Layer #: 27
-----------------------------------------
Depth (m)         Area (m^2)
       0          2252408
       1          2160083
       2          2069143
       3          1982201
       4          1895261
       5          1808323
       6          1721386
       7          1634449
       8          1547511
       9          1460574
      10          1373633
      11          1286690
      12          1199753
      13          1112816
      14          1025878
      15           938940
      16           851998
      17           765058
      18           678120
      19           591183
      20           504246
      21           417308
      22           330371
      23           243431
      24           156490
      25            69551
      26                0
