Layer #: 23
----------------------------------------
Depth(m)   Area(m^2)
0          366550  
1          366541  
2          349313  
3          315958  
4          275639  
5          265376  
6          256945  
7          249248  
8          242284  
9          234582  
10         225789  
11         211861  
12         194999  
13         175207  
14         155047  
15         134521  
16         112895  
17         94568  
18         75141  
19         52049  
20         32256  
21         16128  
22         0  
