Layer #: 20
----------------------------------
Depth (m)       Area (m^2)
       0.0      20180000
       3.0      16365702
       3.7      15946069
       5.6      14947630
       6.1      14600348
       7.5      13862372
      10.0      12617942
      13.0      11735265
      16.6      10707886
      19.9       9781799
      23.2       7553401
      26.3       5484174
      28.1       4268684
      29.5       3357067
      30.0       2966374
      31.5       2329689
      33.8       1287840
      35.0        766916
      36.2        245992
      37.1           100
      50.0           100
