Layer #: 17
--------------------------------------
Depth (m)      Area (m^2)
         0          956565
         1          849502
         2          773103
         3          699232
         4          642365
         5          584819
         6          533841
         7          485632
         8          430580
         9          373818
        10          306442
        11          233792
        12          158770
        13          103929
        14           51139
        15            8337
        16               0
