Layer #: 28
---------------------------------------
DEPTH (m)      Area (m^2)
         0          119881
       0.4          111302
       0.7          103030
       1.3           85430
       1.6           76424
       1.9           68146
       2.3           59667
       2.6           51180
       2.9           42851
       3.2           36269
       3.5           31156
       3.8           28443
       4.1           25791
       4.4           22583
       4.7           19631
       5.3           14484
       5.6           12400
       5.9           10811
       6.2            9469
       6.5            8229
       6.8            6929
       7.1            5638
       7.4            4358
       7.7            3240
       8.3            1201
       8.7             495
         9              61
       9.3              10
