Layer #: 48
--------------------------------------
Depth (m)     Area (m^2)
         0        3931000
         1        3688025
         2        3445050
         3        3336093
         4        3225992
         5        3133491
         6        3029720
         7        2912241
         8        2788136
         9        2682466
        10        2562767
        11        2425505
        12        2296550
        13        2173241
        14        2055133
        15        1941798
        16        1830880
        17        1713120
        18        1577341
        19        1464350
        20        1359410
        21        1262715
        22        1171463
        23        1092203
        24        1011499
        25         917001
        26         825064
        27         745660
        28         648220
        29         580503
        30         526747
        31         474637
        32         408186
        33         335720
        34         279955
        35         222862
        36         179055
        37         158331
        38         138890
        39         123336
        40         107797
        41          90896
        42          74949
        43          57923
        44          29176
        45           9159
        46            981
        47              5
