Layer #: 31
----------------------------------------
Depth(m)   Area(m^2)
0          580000000  
10         552000000  
20         532000000  
30         516000000  
40         497000000  
50         474000000  
60         448000000  
70         413000000  
80         391000000  
90         376000000  
100        361000000  
110        345000000  
120        330000000  
130        315000000  
140        301000000  
150        288000000  
160        276000000  
170        262000000  
180        251000000  
190        239000000  
200        226000000  
210        212000000  
220        200000000  
230        185000000  
240        168000000  
250        151000000  
260        133000000  
270        113000000  
280        98500000  
290        83375000  
300        67375000  
