Layer #: 22
-------------------------------------
Depth (m)    Area (m^2)
         0      32553557
         1      29654007
         2      26321346
         3      22357601
         4      18428514
         5      15823902
         6      14131982
         7      12270909
         8      10101637
         9       7900186
        10       6064018
        11       4819174
        12       3857600
        13       3048491
        14       2274144
        15       1548204
        16        962615
        17        562634
        18        281044
        19         79198
        20          6417
        21           100
