Layer #: 74
----------------------------------------
Depth(m)   Area(m^2)
0          30115571
1          29477896  
2          28840221  
3          27145085  
4          25601407  
5          23767859  
6          22716364  
7          21986286  
8          21559126  
9          21117559  
10         20687148  
11         20429211  
12         20201011  
13         19989522  
14         19774812  
15         19555926  
16         19325313  
17         19064807  
18         18798200  
19         18511373  
20         18256527  
21         18032274  
22         17820800  
23         17607676  
24         17394162  
25         17177634  
26         16956938  
27         16725947  
28         16478067  
29         16212995  
30         15935726  
31         15681933  
32         15411574  
33         15169641  
34         14927633  
35         14704019  
36         14502329  
37         14294935  
38         14076468  
39         13844919  
40         13602730  
41         13308444  
42         13015424  
43         12738361  
44         12476129  
45         12194707  
46         11900366  
47         11570902  
48         11188299  
49         10791752  
50         10381874  
51         9991344  
52         9642042  
53         9316619  
54         8996257  
55         8701581  
56         8421010  
57         8141319  
58         7859072  
59         7582433  
60         7264008  
61         6845884  
62         6045875  
63         5552118  
64         5152770  
65         4784185  
66         4456750  
67         4246322  
68         3993586  
69         2297968  
70         943813  
71         469757  
72         128822  
73         0  
