Layer #: 45
-------------------------------------
Depth (m)    Area (m^2)
         0      30830400
         1      30830400
         2      30216600
         3      29017800
         4      28188900
         5      27519300
         6      26573400
         7      25759800
         8      24979500
         9      24189300
        10      22362300
        11      21463200
        12      20715300
        13      19998000
        14      19296900
        15      17546400
        16      16526700
        17      15805800
        18      15120900
        19      14468400
        20      13199400
        21      12651300
        22      12214800
        23      11773800
        24      11333700
        25      10479600
        26       9905400
        27       9431100
        28       8960400
        29       8479800
        30       7553700
        31       6940800
        32       6427800
        33       5928300
        34       5418900
        35       3847500
        36       3414600
        37       3058200
        38       2713500
        39       2373300
        40       1326600
        41       1070100
        42        918900
        43        781200
        44        650700
