Layer #: 43
------------------------------------
 Depth (m)    Area (m^2)
          0     167000000
          1     162000000
          2     161000000
          3     160000000
          4     158000000
          5     157000000
          6     155000000
          7     153000000
          8     151000000
          9     150000000
         10     148000000
         11     146000000
         12     143000000
         13     139000000
         14     136000000
         15     132000000
         16     128000000
         17     123000000
         18     118000000
         19     113000000
         20     107000000
         21     102000000
         22      96400000
         23      90975000
         24      85400000
         25      79850000
         26      74475000
         27      69600000
         28      64675000
         29      60200000
         30      55725000
         31      51675000
         32      46800000
         33      41100000
         34      38250000
         35      33950000
         36      31700000
         37      26625000
         38      21975000
         39      17875000
         40      15200000
         41       9250000
         42           100
