Layer #: 90
-------------------------------------
Depth (m)   Area (m^2)
      0.92      3218765
      1.42      3062689
      1.92      2948584
      2.42      2856563
      2.92      2775228
      3.42      2695274
      3.92      2618578
      4.42      2548800
      4.92      2483161
      5.42      2418262
      5.92      2355143
      6.42      2294479
      6.92      2235492
      7.42      2178569
      7.92      2124046
      8.42      2070122
      8.92      2016900
      9.42      1964053
      9.92      1911627
     10.42      1860803
     10.92      1810233
     11.42      1758164
     11.92      1705669
     12.42      1653867
     12.92      1602452
     13.42      1552586
     13.92      1506948
     14.42      1462164
     14.92      1416978
     15.42      1371157
     15.92      1324521
     16.42      1280354
     16.92      1235472
     17.42      1189839
     17.92      1144945
     18.42      1100163
     18.92      1055618
     19.42      1010464
     19.92       968025
     20.42       928197
     20.92       888881
     21.42       849341
     21.92       808597
     22.42       770251
     22.92       734939
     23.42       698667
     23.92       664573
     24.42       631907
     24.92       600546
     25.42       569235
     25.92       540616
     26.42       511787
     26.92       483848
     27.42       453379
     27.92       425144
     28.42       395638
     28.92       366716
     29.42       343384
     29.92       323258
     30.42       302625
     30.92       282089
     31.42       266122
     31.92       247216
     32.42       228190
     32.92       212408
     33.42       194905
     33.92       178049
     34.42       164827
     34.92       152578
     35.42       140013
     35.92       129082
     36.42       118580
     36.92       107427
     37.42        97042
     37.92        88375
     38.42        79006
     38.92        70677
     39.42        63167
     39.92        54830
     40.42        46688
     40.92        33551
     41.42        27720
     41.92        19417
     42.42         7819
     42.92         1395
     43.42           52
     43.92           33
     44.42           18
     44.92            6
     45.42            0
