Layer #: 19
------------------------------------
Depth (m)    Area (m^2)
        0        7656521
      0.5        7519179
        1        7066989
      1.5        6727155
        2        6558199
      2.5        6313602
        3        5909204
      3.5        5500015
        4        5184162
      4.5        4835735
        5        4352122
      5.5        3772833
        6        3117795
      6.5        1916529
        7         367406
      7.5          71019
        8           3854
      8.5            427
      8.9              0
