Layer #: 29
----------------------------------------
Depth(m)   Area(m^2)
0          4632223
1          4460554
2          4289090
3          4120234
4          3951377
5          3782513
6          3613649
7          3444784
8          3275920
9          3107055
10         2938193
11         2769337
12         2600479
13         2431614
14         2262750
15         2093885
16         1925024
17         1756168
18         1587309
19         1418444
20         1249580
21         1080716
22         911851
23         742987
24         574127
25         405271
26         236410
27         67546
28         100
