Layer #: 92
------------------------------------
Depth (m)    Area (m^2)
        0        4344724
      0.2        4309776
      0.7        4223928
      1.2        4140217
      1.7        4058604
      2.2        3979047
      2.5        3940028
      2.7        3869412
      3.2        3823566
      3.7        3780423
      4.7        3627414
      5.7        3465694
      6.7        3343352
      7.7        3236212
      8.7        3130329
      9.7        3016835
     10.7        2904331
     11.7        2798784
     12.7        2701978
     13.7        2610683
     14.7        2521407
     15.7        2445471
     16.7        2376528
     17.7        2311063
     18.7        2248973
     19.7        2184803
     20.7        2118889
     21.7        2053458
     22.7        1989015
     23.7        1930330
     24.7        1865966
     25.7        1803324
     26.7        1742680
     27.7        1687929
     28.7        1639599
     29.7        1589783
     30.7        1538330
     31.7        1486494
     32.7        1432632
     33.7        1378086
     34.7        1330063
     35.7        1278198
     36.7        1220204
     37.7        1165310
     38.7        1120304
     39.7        1076021
     40.7        1029741
     41.7         981558
     42.7         938306
     43.7         898553
     44.7         861717
     45.7         821311
     46.7         782539
     47.7         741853
     48.7         695533
     49.7         650900
     50.7         613580
     51.7         575845
     52.7         536591
     53.7         498159
     54.7         466015
     55.7         425508
     56.7         394905
     57.7         374536
     58.7         354810
     59.7         333970
     60.7         311167
     61.7         286679
     62.7         265545
     63.7         243884
     64.7         213626
     65.7         183490
     66.7         167775
     67.7         159019
     68.7         150482
     69.7         141305
     70.7         131279
     71.7         119951
     72.7         107249
     73.7          96358
     74.7          87467
     75.7          77105
     76.7          62259
     77.7          54008
     78.7          47884
     79.7          40966
     80.7          30956
     81.7          23807
     82.7          14191
     83.7           8790
     84.7           4150
     85.6             10
