Layer #: 45
------------------------------------
Depth (m)      Area (m^2)
         0         2110400
      0.48         2066400
      1.48         1974500
      2.48         1897100
      3.48         1819700
      4.48         1738400
      6.48         1578400
      7.48         1499800
      8.48         1419700
      9.48         1339600
     10.48         1270200
     11.48         1200800
     12.48         1136300
     13.48         1071700
     14.48         1019200
     15.48          966700
     16.48          914900
     17.48          863200
     18.48          813300
     19.48          763500
     20.48          709800
     21.48          656100
     22.48          614500
     23.48          572900
     24.48          528400
     25.48          483900
     26.48          439800
     27.48          395700
     28.48          359900
     29.48          324200
     30.48          289400
     31.48          254600
     32.48          221700
     33.48          188900
     34.48          166500
     35.48          144100
     36.48          117600
     37.48           91200
     38.48           77300
     39.48           63400
     40.48           49500
     41.48           35600
     42.48           26800
     43.48           18000
     44.48               0
