Layer #: 107
----------------------------------------
Depth(m)  Area(m^2)
0         79305300
0.5       77817825
1         75475800
1.5       71813250
2         68217750
2.5       66464775
3         65047725
3.5       63746325
4         62121825
4.5       60464250
5         58710600
5.5       57222900
6         55640025
6.5       54218925
7         52770150
7.5       51093450
8         49323825
8.5       47370600
9         45253575
9.5       43303275
10        41564925
10.5      39827025
11        38153925
11.5      35626275
12        33561225
12.5      31334400
13        29280375
13.5      26925750
14        24919875
14.5      22918050
15        21191625
15.5      19354050
16        17611425
16.5      15660450
17        13676175
17.5      11746125
18        9814275
18.5      7968600
19        6612750
19.5      5408100
20        4551750
20.5      3771675
21        3237975
21.5      2744550
22        2373075
22.5      1889775
23        1363950
23.5      931050
24        630900
24.5      395325
25        237375
25.5      175500
26        153450
26.5      137925
27        125550
27.5      111600
28        100575
28.5      91575
29        81450
29.5      74700
30        68175
30.5      63225
31        60975
31.5      56700
32        51525
32.5      47250
33        42525
33.5      39825
34        37800
34.5      34650
35        33300
35.5      30600
36        27225
36.5      24075
37        22275
37.5      20025
38        18000
38.5      15300
39        14625
39.5      13500
40        12825
40.5      11475
41        10800
41.5      10350
42        9000
42.5      8100
43        7200
43.5      7200
44        6975
44.5      6750
45        6300
45.5      5400
46        4725
46.5      3150
47        2250
47.5      2025
48        1575
48.5      1350
49        1125
49.5      900
50        675
50.5      675
51        450
51.5      450
52        450
52.5      225
53        0
