Layer #: 32
------------------------------------
Depth (m)      Area 9m^2)
         0        20000000
         1        19400000
         2        19000000
         3        18500000
         4        18100000
         5        17600000
         6        17100000
         7        16500000
         8        16000000
         9        15500000
        10        14900000
        11        14300000
        12        13700000
        13        13200000
        14        12600000
        15        12200000
        16        11600000
        17        11100000
        18        10500000
        19        10000000
        20         9400000
        21         8700000
        22         8200000
        23         7600000
        24         7000000
        25         6000000
        26         4300000
        27         2500000
        28         1700000
        29         1000000
        30          500000
        31             100
