Layer #: 61
----------------------------------------
Depth(m)  Area(m^2)
0         5999767
0.54      5944169
1.54      5810168
2.54      5661639
3.54      5534434
4.54      5399721
5.54      5264874
6.54      5097164
7.54      4960082
8.54      4843177
9.54      4720942
10.54     4608242
11.54     4495188
12.54     4393015
13.54     4292236
14.54     4193775
15.54     4084797
16.54     3930220
17.54     3790900
18.54     3671706
19.54     3563207
20.54     3426626
21.54     3326418
22.54     3229475
23.54     3135234
24.54     3042020
25.54     2945708
26.54     2846968
27.54     2724520
28.54     2603570
29.54     2508119
30.54     2429669
31.54     2359427
32.54     2286898
33.54     2223764
34.54     2163314
35.54     2105425
36.54     2043287
37.54     1967678
38.54     1900664
39.54     1839482
40.54     1771416
41.54     1708789
42.54     1651208
43.54     1592274
44.54     1532487
45.54     1469842
46.54     1407412
47.54     1340525
48.54     1264400
49.54     1169862
50.54     1054817
51.54     891088
52.54     781758
53.54     621455
54.54     485032
55.54     349191
56.54     164636
57.54     62377
58.54     11244
59.54     171
