Layer #: 20
-------------------------------------------------
  Depth(m)    Area(m^2)
          0       583054
          1       549139
          2       519085
          3       496773
          4       477534
          5       455937
          6       433586
          7       409947
          8       388696
          9       372288
         10       342891
         11       314470
         12       290861
         13       265981
         14       242480
         15       221567
         16       169595
         17       116709
         18        72989
         19          100
