Layer #: 141
----------------------------------------
Depth(m)  Area(m^2)
0         4231549
0.5       4141318
1         4054462
1.5       3969475
2         3889495
2.5       3809706
3         3726536
3.5       3648890
4         3574840
4.5       3517310
5         3468050
5.5       3423374
6         3386555
6.5       3351545
7         3318678
7.5       3286046
8         3251176
8.5       3212557
9         3174119
9.5       3136977
10        3097542
10.5      3056917
11        3019864
11.5      2981292
12        2942661
12.5      2902547
13        2861329
13.5      2820356
14        2783068
14.5      2748412
15        2715164
15.5      2680158
16        2643813
16.5      2604401
17        2561741
17.5      2517433
18        2470982
18.5      2424213
19        2371132
19.5      2318389
20        2268956
20.5      2219604
21        2173447
21.5      2128782
22        2086124
22.5      2044154
23        2003131
23.5      1962791
24        1926288
24.5      1888958
25        1852822
25.5      1814174
26        1772399
26.5      1726366
27        1677585
27.5      1625381
28        1576885
28.5      1528566
29        1484285
29.5      1445816
30        1406403
30.5      1365643
31        1327309
31.5      1290155
32        1258464
32.5      1227044
33        1196254
33.5      1165296
34        1137545
34.5      1108870
35        1079775
35.5      1049236
36        1014807
36.5      977127
37        940780
37.5      906770
38        878050
38.5      849691
39        825947
39.5      801781
40        776500
40.5      754281
41        729308
41.5      702888
42        672406
42.5      640970
43        614106
43.5      595741
44        578935
44.5      563572
45        547015
45.5      530090
46        513218
46.5      495954
47        476730
47.5      455863
48        433172
48.5      409759
49        390878
49.5      372414
50        354815
50.5      336842
51        317896
51.5      297467
52        274673
52.5      255718
53        239288
53.5      223487
54        208354
54.5      195223
55        184444
55.5      175234
56        166533
56.5      157474
57        148142
57.5      137680
58        125168
58.5      113100
59        100814
59.5      91422
60        82723
60.5      74663
61        67595
61.5      61285
62        54979
62.5      49813
63        44525
63.5      40062
64        36420
64.5      33129
65        30387
65.5      27271
66        24274
66.5      21259
67        18067
67.5      15255
68        12241
68.5      9479
69        6297
69.5      2653
70        0
