Layer #: 70
------------------------------------
Depth (m)      Area (m^2)
         0        16934252
       0.5        16826128
         1        16489737
       1.5        16071489
         2        15780918
       2.5        15510518
         3        15234318
       3.5        14951571
         4        14691318
       4.5        14418855
         5        14148319
       5.5        13863499
         6        13576406
       6.5        13285122
         7        12988490
       7.5        12673823
         8        12356311
       8.5        12013032
         9        11644117
       9.5        11253595
        10        10843024
      10.5        10365150
        11         9852961
      11.5         9274821
        12         8623779
      12.5         8028821
        13         7476296
      13.5         6928267
        14         6468883
      14.5         6016349
        15         5579850
      15.5         5158332
        16         4796077
      16.5         4414110
        17         4050485
      17.5         3653259
        18         3264023
      18.5         2978077
        19         2723310
      19.5         2485286
        20         2234912
      20.5         1988527
        21         1740821
      21.5         1505854
        22         1283337
      22.5         1088627
        23          925705
      23.5          797468
        24          676930
      24.5          575948
        25          483528
      25.5          401222
        26          327112
      26.5          269138
        27          214837
      27.5          168576
        28          133942
      28.5          105038
        29           79030
      29.5           62734
        30           51854
      30.5           41551
        31           33208
      31.5           25206
        32            7255
      32.5             159
        33              64
      33.5              39
        34              17
      34.5               1
