Layer #: 27
----------------------------------------
Depth(m)  Area(m^2)
0         1489515
1         1417010
2         1297368
3         1180884
4         1046154
5         908155
6         783953
7         668349
8         563945
9         472130
10        386010
11        328677
12        276430
13        227951
14        186518
15        146445
16        110847
17        83820
18        56593
19        33402
20        19946
21        11489
22        7415
23        4304
24        2496
25        95
26        95
