Layer #: 34
-------------------------------------
  Depth(m)     Area(m^2)
          0     160790000
          1     153834719
          2     146879437
          3     139924156
          4     134461433
          5     129073965
          6     123686496
          7     118642627
          8     113635246
          9     108627865
         10     102209984
         11      95554823
         12      88899662
         13      83626068
         14      78680767
         15      73735467
         16      69735361
         17      66033739
         18      62332116
         19      58880174
         20      55529227
         21      52178281
         22      48057700
         23      43547666
         24      39037632
         25      34211344
         26      29187912
         27      24164479
         28      20121341
         29      16823779
         30      13526217
         31      10601827
         32       8021902
         33       5441978
