Layer #: 15
-------------------------------------
Depth (m)       Area (m^2)
         0         10400000
         1          9200000
         2          8100000
         3          7200000
         4          6400000
         5          5500000
         6          4300000
         7          3200000
         8          2500000
         9          1800000
        10          1300000
        11           700000
        12           300000
        13            50000
        14                0
