Layer #: 62
------------------------------------
Depth (m)     Area (m^2)
        0       270600000
      0.1       268800000
      0.2       267000000
      0.3       265400000
      0.4       263800000
      0.5       262200000
      0.6       260600000
      0.7       259000000
      0.8       256800000
      0.9       254600000
        1       252400000
      1.1       250200000
      1.2       248000000
      1.3       244800000
      1.4       241600000
      1.5       238400000
      1.6       235200000
      1.7       232000000
      1.8       226600000
      1.9       221200000
        2       215800000
      2.1       210400000
      2.2       205000000
      2.3       197400000
      2.4       189800000
      2.5       182200000
      2.6       174600000
      2.7       167000000
      2.8       156400000
      2.9       145800000
        3       135200000
      3.1       124600000
      3.2       114000000
      3.3        96600000
      3.4        79200000
      3.5        61800000
      3.6        44400000
      3.7        27000000
      3.8        23400000
      3.9        19800000
        4        16200000
      4.1        12600000
      4.2         9000000
      4.3         8000000
      4.4         7000000
      4.5         6000000
      4.6         5000000
      4.7         4000000
      4.8         3500000
      4.9         3000000
        5         2500000
      5.1         2000000
      5.2         1500000
      5.3         1360000
      5.4         1220000
      5.5         1080000
      5.6          940000
      5.7          800000
      5.8          600000
      5.9          400000
        6          200000
      6.1               0
