Observation #: 4613
---------------------------------------------------------------
 Time(YYYYMMDD)  Depth(m) Value(celsius)   Std(%)
        19810423         1            7.5       10
        19810423         2            7.5       10
        19810423         3            7.5       10
        19810423         4            7.5       10
        19810423         5            7.5       10
        19810423         6            7.5       10
        19810423         7            7.5       10
        19810423       7.5            7.4       10
        19810522         0           16.3       10
        19810522         1           16.3       10
        19810522         2           16.3       10
        19810522         3           15.1       10
        19810522         4             12       10
        19810522         5           10.7       10
        19810522         6           10.2       10
        19810522         7            9.8       10
        19810522         8            9.4       10
        19810603         0           18.3       10
        19810603         1           18.3       10
        19810603         2           18.3       10
        19810603         3           18.3       10
        19810603         4           18.3       10
        19810603         5           11.8       10
        19810603       5.5             11       10
        19810603         6           10.2       10
        19810617         0           18.9       10
        19810617         1           18.9       10
        19810617         2           18.7       10
        19810617         3           18.7       10
        19810617         4           18.5       10
        19810617         5           17.1       10
        19810617         6           11.5       10
        19810617         7           10.4       10
        19810617       7.3           10.3       10
        19810702         0           22.3       10
        19810702         1           21.8       10
        19810702         2           21.6       10
        19810702         3           20.9       10
        19810702         4             20       10
        19810702         5           18.4       10
        19810702         6           15.4       10
        19810702         7           12.4       10
        19810702       7.5           11.1       10
        19810702         8           11.3       10
        19810716         0           22.5       10
        19810716         1           22.5       10
        19810716         2           22.5       10
        19810716         3           22.5       10
        19810716         4           20.9       10
        19810716         5           18.5       10
        19810716         6           15.1       10
        19810716         7           12.8       10
        19810716         8           11.2       10
        19810728         0             21       10
        19810728         1             21       10
        19810728         2           20.9       10
        19810728         3           20.8       10
        19810728         4           20.7       10
        19810728         5             19       10
        19810728         6           15.5       10
        19810728         7           12.4       10
        19810728       7.6           11.8       10
        19810812         0           22.9       10
        19810812         1           22.8       10
        19810812         2           22.6       10
        19810812         3           22.5       10
        19810812         4           21.6       10
        19810812         5           19.3       10
        19810812         6             15       10
        19810812         7             13       10
        19810812       7.5           12.2       10
        19810827         0             22       10
        19810827         1             22       10
        19810827         2           21.9       10
        19810827         3           21.8       10
        19810827         4           20.8       10
        19810827         5           20.1       10
        19810827         6           16.2       10
        19810827         7           13.5       10
        19810912         0           19.6       10
        19810912         1           19.5       10
        19810912         2           19.5       10
        19810912         3           19.3       10
        19810912         4           18.6       10
        19810912         5             18       10
        19810912         6           17.2       10
        19810912         7           13.6       10
        19810912       7.5           12.4       10
        19810926         0           15.1       10
        19810926         2             15       10
