Observation #: 16068
--------------------------------------------------
Time(YYYYMMDD)    Depth(m) Value(celsius)  Std(%)
20100114                0.0        5.7800     10.0
20100114                1.0        5.7900     10.0
20100114                2.0        5.7900     10.0
20100114                3.0        5.8000     10.0
20100114                4.0        5.8000     10.0
20100114                5.0        5.8000     10.0
20100114                6.0        5.8000     10.0
20100114                7.0        5.8000     10.0
20100114                8.0        5.8000     10.0
20100114                9.0        5.8000     10.0
20100114               10.0        5.8000     10.0
20100114               11.0        5.8000     10.0
20100114               12.0        5.8000     10.0
20100114               13.0        5.8000     10.0
20100114               14.0        5.8000     10.0
20100114               15.0        5.8000     10.0
20100114               16.0        5.8000     10.0
20100114               17.0        5.8000     10.0
20100114               18.0        5.8000     10.0
20100114               19.0        5.8000     10.0
20100114               20.0        5.8000     10.0
20100114               21.0        5.8000     10.0
20100114               22.0        5.8000     10.0
20100114               23.0        5.8000     10.0
20100114               24.0        5.8000     10.0
20100114               25.0        5.8000     10.0
20100114               26.0        5.8000     10.0
20100114               27.0        5.8000     10.0
20100114               28.0        5.8000     10.0
20100114               29.0        5.8100     10.0
20100114               30.0        5.8100     10.0
20100114               31.0        5.8100     10.0
20100114               32.0        5.8100     10.0
20100114               33.0        5.8100     10.0
20100114               34.0        5.8100     10.0
20100114               35.0        5.8100     10.0
20100114               36.0        5.8000     10.0
20100114               37.0        5.8100     10.0
20100114               38.0        5.8200     10.0
20100114               39.0        5.8100     10.0
20100114               40.0        5.8100     10.0
20100114               41.0        5.8200     10.0
20100114               42.0        5.8200     10.0
20100114               43.0        5.8100     10.0
20100114               44.0        5.8200     10.0
20100114               45.0        5.8300     10.0
20100114               46.0        5.8600     10.0
20100114               47.0        5.9000     10.0
20100114               48.0        5.8700     10.0
20100114               49.0        5.8700     10.0
20100114               50.0        5.8500     10.0
20100114               51.0        5.8300     10.0
20100114               52.0        5.8100     10.0
20100114               53.0        5.7800     10.0
20100114               54.0        5.7600     10.0
20100114               55.0        5.7300     10.0
20100114               56.0        5.6900     10.0
20100114               57.0        5.6700     10.0
20100114               58.0        5.6600     10.0
20100114               59.0        5.6500     10.0
20100114               60.0        5.6300     10.0
20100114               61.0        5.6100     10.0
20100114               62.0        5.6000     10.0
20100215                1.0        4.7300     10.0
20100215                2.0        4.7200     10.0
20100215                3.0        4.7200     10.0
20100215                4.0        4.7200     10.0
20100215                5.0        4.7200     10.0
20100215                6.0        4.7200     10.0
20100215                7.0        4.7200     10.0
20100215                8.0        4.7200     10.0
20100215                9.0        4.7200     10.0
20100215               10.0        4.7200     10.0
20100215               11.0        4.7300     10.0
20100215               12.0        4.7300     10.0
20100215               13.0        4.7300     10.0
20100215               14.0        4.7300     10.0
20100215               15.0        4.7300     10.0
20100215               16.0        4.7300     10.0
20100215               17.0        4.7400     10.0
20100215               18.0        4.7400     10.0
20100215               19.0        4.7300     10.0
20100215               20.0        4.7400     10.0
20100215               21.0        4.7400     10.0
20100215               22.0        4.7400     10.0
20100215               23.0        4.7400     10.0
20100215               24.0        4.7400     10.0
20100215               25.0        4.7400     10.0
20100215               26.0        4.7400     10.0
20100215               27.0        4.7400     10.0
20100215               28.0        4.7400     10.0
20100215               29.0        4.7400     10.0
20100215               30.0        4.7400     10.0
20100215               31.0        4.7400     10.0
20100215               32.0        4.7500     10.0
20100215               33.0        4.7400     10.0
20100215               34.0        4.7500     10.0
20100215               35.0        4.7400     10.0
20100215               36.0        4.7500     10.0
20100215               37.0        4.7500     10.0
20100215               38.0        4.7500     10.0
20100215               39.0        4.7500     10.0
20100215               40.0        4.7500     10.0
20100215               41.0        4.7400     10.0
20100215               42.0        4.7400     10.0
20100215               43.0        4.7500     10.0
20100215               44.0        4.7500     10.0
20100215               45.0        4.7500     10.0
20100215               46.0        4.7500     10.0
20100215               47.0        4.7400     10.0
20100215               48.0        4.7500     10.0
20100215               49.0        4.7500     10.0
20100215               50.0        4.7500     10.0
20100215               51.0        4.7400     10.0
20100215               52.0        4.7400     10.0
20100215               53.0        4.7400     10.0
20100215               54.0        4.7400     10.0
20100215               55.0        4.7400     10.0
