Observation #: 44110
------------------------------------------------------
Time(YYYYMMDD)    Depth(m)      Value(celsius)    Std(%)
20080221     0.1   21.53      10
20080221       1   21.52      10
20080221       2   21.47      10
20080221       3   21.32      10
20080221       4   20.58      10
20080221       5   19.34      10
20080221       6   18.67      10
20080221       7   18.28      10
20080221       8    18.1      10
20080221       9   18.03      10
20080221      10   17.99      10
20080221      11   17.99      10
20080221      12   17.92      10
20080221      13   17.89      10
20080221      14   17.87      10
20080221      15   17.82      10
20080221      16   17.85      10
20080221      17   17.86      10
20080221      18   17.82      10
20080222     0.1    21.9      10
20080222       1   21.88      10
20080222       2   21.75      10
20080222       3   21.58      10
20080222       4   20.79      10
20080222       5   19.43      10
20080222       6   18.69      10
20080222       7   18.29      10
20080222       8   18.11      10
20080222       9   18.04      10
20080222      10      18      10
20080222      11   17.99      10
20080222      12   17.91      10
20080222      13   17.89      10
20080222      14   17.86      10
20080222      15   17.82      10
20080222      16   17.86      10
20080222      17   17.86      10
20080222      18   17.81      10
20080223     0.1   22.52      10
20080223       1   22.51      10
20080223       2   22.43      10
20080223       3   22.18      10
20080223       4   20.96      10
20080223       5   19.52      10
20080223       6   18.71      10
20080223       7   18.31      10
20080223       8   18.12      10
20080223       9   18.04      10
20080223      10      18      10
20080223      11   17.99      10
20080223      12   17.91      10
20080223      13   17.89      10
20080223      14   17.87      10
20080223      15   17.82      10
20080223      16   17.85      10
20080223      17   17.86      10
20080223      18   17.79      10
20080224     0.1   23.02      10
20080224       1   23.01      10
20080224       2    22.9      10
20080224       3   22.41      10
20080224       4   21.14      10
20080224       5   19.61      10
20080224       6   18.73      10
20080224       7   18.33      10
20080224       8   18.13      10
20080224       9   18.05      10
20080224      10      18      10
20080224      11      18      10
20080224      12   17.92      10
20080224      13   17.89      10
20080224      14   17.87      10
20080224      15   17.82      10
20080224      16   17.85      10
20080224      17   17.87      10
20080224      18   17.78      10
20080225     0.1   23.69      10
20080225       1   23.51      10
20080225       2   23.13      10
20080225       3   22.65      10
20080225       4   21.21      10
20080225       5   19.64      10
20080225       6   18.74      10
20080225       7   18.34      10
20080225       8   18.12      10
20080225       9   18.05      10
20080225      10      18      10
20080225      11      18      10
20080225      12   17.92      10
20080225      13    17.9      10
20080225      14   17.86      10
20080225      15   17.82      10
20080225      16   17.86      10
20080225      17   17.88      10
20080225      18   17.78      10
20080226     0.1   23.68      10
20080226       1   23.69      10
20080226       2   23.58      10
20080226       3   23.29      10
20080226       4   21.32      10
20080226       5   19.71      10
20080226       6   18.77      10
20080226       7   18.35      10
20080226       8   18.14      10
20080226       9   18.05      10
20080226      10      18      10
20080226      11      18      10
20080226      12   17.92      10
20080226      13   17.89      10
20080226      14   17.87      10
20080226      15   17.83      10
20080226      16   17.86      10
20080226      17   17.89      10
20080226      18   17.77      10
20080227     0.1   22.72      10
20080227       1   22.82      10
20080227       2   22.79      10
20080227       3   22.73      10
20080227       4   21.74      10
20080227       5   19.83      10
20080227       6   18.78      10
20080227       7   18.37      10
20080227       8   18.14      10
20080227       9   18.05      10
20080227      10      18      10
20080227      11      18      10
20080227      12   17.92      10
20080227      13    17.9      10
20080227      14   17.87      10
20080227      15   17.83      10
20080227      16   17.86      10
20080227      17   17.88      10
20080227      18   17.76      10
20080228     0.1   21.17      10
20080228       1   21.26      10
20080228       2    21.2      10
20080228       3   21.14      10
20080228       4   20.98      10
20080228       5   20.15      10
20080228       6   18.83      10
20080228       7   18.39      10
20080228       8   18.15      10
20080228       9   18.06      10
20080228      10   18.01      10
20080228      11      18      10
