Observation #: 3973
-------------------------------------------------------
Time(YYYYMMDD)     Depth(m)  Value(celsius)     Std(%)
19730117                 0.0          4.3000       10.0
19730117                 2.5          4.3000       10.0
19730117                 5.0          4.3000       10.0
19730117                 7.5          4.3000       10.0
19730117                10.0          4.3000       10.0
19730117                15.0          4.3000       10.0
19730117                20.0          4.3000       10.0
19730117                25.0          4.3000       10.0
19730117                30.0          4.4000       10.0
19730117                40.0          4.4000       10.0
19730117                50.0          4.5000       10.0
19730117                60.0          4.5000       10.0
19730117                70.0          4.5000       10.0
19730215                 0.0          3.6000       10.0
19730215                 2.5          3.6000       10.0
19730215                 5.0          3.6000       10.0
19730215                 7.5          3.6000       10.0
19730215                10.0          3.6000       10.0
19730215                15.0          3.6000       10.0
19730215                20.0          3.6000       10.0
19730215                25.0          3.6000       10.0
19730215                30.0          3.6000       10.0
19730215                40.0          3.6000       10.0
19730215                50.0          3.6000       10.0
19730215                60.0          3.6000       10.0
19730215                70.0          3.6000       10.0
19730315                 0.0          3.7000       10.0
19730315                 2.5          3.7000       10.0
19730315                 5.0          3.7000       10.0
19730315                 7.5          3.7000       10.0
19730315                10.0          3.7000       10.0
19730315                15.0          3.7000       10.0
19730315                20.0          3.7000       10.0
19730315                25.0          3.7000       10.0
19730315                30.0          3.7000       10.0
19730315                40.0          3.8000       10.0
19730315                50.0          3.8000       10.0
19730315                60.0          3.8000       10.0
19730315                70.0          3.8000       10.0
19730415                 0.0          5.7000       10.0
19730415                 2.5          5.6000       10.0
19730415                 5.0          5.5000       10.0
19730415                 7.5          5.5000       10.0
19730415                10.0          5.4000       10.0
19730415                15.0          5.3000       10.0
19730415                20.0          5.3000       10.0
19730415                25.0          5.3000       10.0
19730415                30.0          5.2000       10.0
19730415                40.0          5.2000       10.0
19730415                50.0          5.1000       10.0
19730415                60.0          5.1000       10.0
19730415                70.0          5.1000       10.0
19730509                 0.0         10.9000       10.0
19730509                 2.5         10.8000       10.0
19730509                 5.0         10.6000       10.0
19730509                 7.5         10.3000       10.0
19730509                10.0          9.7000       10.0
19730509                15.0          8.4000       10.0
19730509                20.0          6.0000       10.0
19730509                25.0          5.9000       10.0
19730509                30.0          5.7000       10.0
19730509                40.0          5.4000       10.0
19730509                50.0          5.3000       10.0
19730509                60.0          5.3000       10.0
19730509                70.0          5.2000       10.0
19730612                 0.0         17.7000       10.0
19730612                 2.5         16.8000       10.0
19730612                 5.0         15.6000       10.0
19730612                 7.5         14.9000       10.0
19730612                10.0         14.1000       10.0
19730612                15.0         10.9000       10.0
19730612                20.0          7.6000       10.0
19730612                25.0          6.8000       10.0
19730612                30.0          6.6000       10.0
19730612                40.0          6.0000       10.0
19730612                50.0          5.5000       10.0
19730612                60.0          5.3000       10.0
19730612                70.0          5.2000       10.0
19730709                 0.0         20.6000       10.0
19730709                 2.5         19.8000       10.0
19730709                 5.0         19.4000       10.0
19730709                 7.5         18.4000       10.0
19730709                10.0         17.9000       10.0
19730709                15.0         12.2000       10.0
19730709                20.0          8.8000       10.0
19730709                25.0          7.2000       10.0
19730709                30.0          6.8000       10.0
19730709                40.0          6.1000       10.0
19730709                50.0          5.8000       10.0
19730709                60.0          5.6000       10.0
19730709                70.0          5.3000       10.0
19730813                 0.0         19.6000       10.0
19730813                 2.5         18.7000       10.0
19730813                 5.0         18.2000       10.0
19730813                 7.5         17.2000       10.0
19730813                10.0         16.5000       10.0
19730813                15.0         13.4000       10.0
19730813                20.0          9.0000       10.0
19730813                25.0          7.1000       10.0
19730813                30.0          6.6000       10.0
19730813                40.0          6.1000       10.0
19730813                50.0          5.8000       10.0
19730813                60.0          5.6000       10.0
19730813                70.0          5.5000       10.0
19730919                 0.0         18.7000       10.0
19730919                 2.5         18.6000       10.0
19730919                 5.0         18.6000       10.0
19730919                 7.5         18.2000       10.0
19730919                10.0         18.0000       10.0
19730919                15.0         17.6000       10.0
19730919                20.0         12.2000       10.0
19730919                25.0          9.5000       10.0
19730919                30.0          7.3000       10.0
19730919                40.0          6.5000       10.0
19730919                50.0          6.2000       10.0
19730919                60.0          6.0000       10.0
19730919                70.0          5.8000       10.0
19731022                 0.0         12.9000       10.0
19731022                 2.5         12.6000       10.0
19731022                 5.0         12.5000       10.0
19731022                 7.5         12.5000       10.0
19731022                10.0         12.5000       10.0
19731022                15.0         12.5000       10.0
19731022                20.0         12.5000       10.0
19731022                25.0          8.3000       10.0
19731022                30.0          7.6000       10.0
19731022                40.0          6.8000       10.0
19731022                50.0          6.6000       10.0
19731022                60.0          5.9000       10.0
19731022                70.0          5.6000       10.0
19731112                 0.0          9.7000       10.0
19731112                 2.5          9.6000       10.0
19731112                 5.0          9.6000       10.0
19731112                 7.5          9.6000       10.0
19731112                10.0          9.6000       10.0
19731112                15.0          9.6000       10.0
19731112                20.0          9.6000       10.0
19731112                25.0          8.6000       10.0
19731112                30.0          7.3000       10.0
19731112                40.0          6.7000       10.0
19731112                50.0          6.4000       10.0
19731112                60.0          6.1000       10.0
19731112                70.0          6.0000       10.0
19731211                 0.0          6.2000       10.0
19731211                 2.5          6.2000       10.0
19731211                 5.0          6.2000       10.0
19731211                 7.5          6.2000       10.0
19731211                10.0          6.2000       10.0
19731211                15.0          6.2000       10.0
19731211                20.0          6.2000       10.0
19731211                25.0          6.2000       10.0
19731211                30.0          6.1000       10.0
19731211                40.0          6.1000       10.0
19731211                50.0          6.1000       10.0
19731211                60.0          6.1000       10.0
19731211                70.0          5.8000       10.0
19740121                 0.0          4.5000       10.0
19740121                 2.5          4.5000       10.0
19740121                 5.0          4.5000       10.0
19740121                 7.5          4.5000       10.0
19740121                10.0          4.5000       10.0
19740121                15.0          4.5000       10.0
19740121                20.0          4.5000       10.0
19740121                25.0          4.5000       10.0
19740121                30.0          4.5000       10.0
19740121                40.0          4.5000       10.0
19740121                50.0          4.5000       10.0
19740121                60.0          4.5000       10.0
19740121                70.0          4.5000       10.0
19740211                 0.0          4.7000       10.0
19740211                 2.5          4.5000       10.0
19740211                 5.0          4.5000       10.0
19740211                 7.5          4.5000       10.0
19740211                10.0          4.4000       10.0
19740211                15.0          4.4000       10.0
19740211                20.0          4.4000       10.0
19740211                25.0          4.4000       10.0
19740211                30.0          4.5000       10.0
19740211                40.0          4.5000       10.0
19740211                50.0          4.5000       10.0
19740211                60.0          4.5000       10.0
19740211                70.0          4.5000       10.0
19740311                 0.0          5.2000       10.0
19740311                 2.5          4.7000       10.0
19740311                 5.0          4.7000       10.0
19740311                 7.5          4.7000       10.0
19740311                10.0          4.7000       10.0
19740311                15.0          4.6000       10.0
19740311                20.0          4.5000       10.0
19740311                25.0          4.6000       10.0
19740311                30.0          4.7000       10.0
19740311                40.0          4.7000       10.0
19740311                50.0          4.7000       10.0
19740311                60.0          4.7000       10.0
19740311                70.0          4.7000       10.0
19740416                 0.0         10.0000       10.0
19740416                 2.5         10.0000       10.0
19740416                 5.0         10.0000       10.0
19740416                 7.5          9.8000       10.0
19740416                10.0          9.6000       10.0
19740416                15.0          7.0000       10.0
19740416                20.0          6.0000       10.0
19740416                25.0          5.5000       10.0
19740416                30.0          5.5000       10.0
19740416                50.0          5.0000       10.0
19740416                60.0          5.0000       10.0
19740416                70.0          5.0000       10.0
19740514                 0.0         12.2000       10.0
19740514                 2.5         11.3000       10.0
19740514                 5.0         11.3000       10.0
19740514                 7.5         10.8000       10.0
19740514                10.0         10.7000       10.0
19740514                15.0          9.1000       10.0
19740514                20.0          7.7000       10.0
19740514                25.0          6.2000       10.0
19740514                30.0          5.8000       10.0
19740514                40.0          5.5000       10.0
19740514                50.0          5.1000       10.0
19740514                60.0          5.0000       10.0
19740514                70.0          5.0000       10.0
19740610                 0.0         15.8000       10.0
19740610                 2.5         15.7000       10.0
19740610                 5.0         15.0000       10.0
19740610                 7.5         14.7000       10.0
19740610                10.0         14.4000       10.0
19740610                15.0         11.0000       10.0
19740610                20.0          7.7000       10.0
19740610                25.0          6.9000       10.0
19740610                30.0          6.3000       10.0
19740610                40.0          5.8000       10.0
