Observation #: 11589
------------------------------------------------------
Time(YYYYMMDD)    Depth(m)   Value(celsius)    Std(%)
19810604                0.0          18.6000      10.0
19810604                1.0          17.9000      10.0
19810604                2.0          17.4000      10.0
19810604                3.0          17.3000      10.0
19810604                4.0          17.0000      10.0
19810604                5.0          16.8000      10.0
19810604                6.0          14.3000      10.0
19810604                7.0          11.9000      10.0
19810604                8.0          11.1000      10.0
19810604                9.0          10.4000      10.0
19810604               10.0           9.8000      10.0
19810604               11.0           9.4000      10.0
19810604               12.0           9.0000      10.0
19810604               13.0           8.9000      10.0
19810604               14.0           8.7000      10.0
19810604               15.0           8.6000      10.0
19810604               16.0           8.6000      10.0
19810604               17.0           8.5000      10.0
19810604               18.0           8.5000      10.0
19810604               19.0           8.4000      10.0
19810617                0.0          19.1000      10.0
19810617                1.0          19.1000      10.0
19810617                2.0          19.0000      10.0
19810617                3.0          18.9000      10.0
19810617                4.0          18.8000      10.0
19810617                5.0          18.7000      10.0
19810617                6.0          18.6000      10.0
19810617                7.0          18.6000      10.0
19810617                8.0          12.3000      10.0
19810617                9.0          11.0000      10.0
19810617               10.0          10.5000      10.0
19810617               11.0          10.0000      10.0
19810617               12.0           9.5000      10.0
19810617               13.0           9.2000      10.0
19810617               14.0           9.0000      10.0
19810617               15.0           8.9000      10.0
19810617               16.0           8.8000      10.0
19810617               17.0           8.7000      10.0
19810617               18.0           8.6000      10.0
19810617               19.0           8.6000      10.0
19810630                0.0          20.8000      10.0
19810630                2.0          20.1000      10.0
19810630                3.0          19.9000      10.0
19810630                4.0          19.8000      10.0
19810630                5.0          19.7000      10.0
19810630                6.0          19.3000      10.0
19810630                7.0          19.0000      10.0
19810630                8.0          17.3000      10.0
19810630                9.0          13.3000      10.0
19810630               10.0          11.7000      10.0
19810630               11.0          10.3000      10.0
19810630               12.0           9.8000      10.0
19810630               13.0           9.6000      10.0
19810630               14.0           9.0000      10.0
19810630               15.0           8.9000      10.0
19810630               16.0           8.7000      10.0
19810630               17.0           8.7000      10.0
19810630               18.0           8.6000      10.0
19810630               19.0           8.6000      10.0
19810714                0.0          24.1000      10.0
19810714                1.0          24.1000      10.0
19810714                2.0          24.1000      10.0
19810714                3.0          24.1000      10.0
19810714                4.0          24.1000      10.0
19810714                5.0          23.8000      10.0
19810714                6.0          20.8000      10.0
19810714                7.0          19.5000      10.0
19810714                8.0          17.5000      10.0
19810714                9.0          14.5000      10.0
19810714               10.0          12.3000      10.0
19810714               11.0          10.9000      10.0
19810714               12.0          10.0000      10.0
19810714               13.0           9.6000      10.0
19810714               14.0           9.3000      10.0
19810714               15.0           9.1000      10.0
19810714               16.0           9.0000      10.0
19810714               17.0           8.9000      10.0
19810714               18.0           8.8000      10.0
19810714               19.0           8.8000      10.0
19810714               20.0           8.7000      10.0
19810714               21.0           8.5000      10.0
19810728                0.0          22.3000      10.0
