Observation #: 703
-----------------------------------------------------------
    Time(YYYYMMDD)     Depth(m) Value(celsius)    Std(%)
           20040907        0.914        18.7778      10.0
           20040907        1.524        18.7778      10.0
           20040907        3.048        18.7778      10.0
           20040907        6.096        18.7778      10.0
           20040907        9.144        17.2778      10.0
           20040907       12.192         9.3889      10.0
           20040907       15.240         7.3889      10.0
           20040907       18.288         6.3889      10.0
           20040907       21.336         5.9444      10.0
           20040907       24.384         5.8889      10.0
           20040907       25.908         5.8889      10.0
           20050207        1.524         1.4444      10.0
           20050207        3.048         1.5556      10.0
           20050207        6.096         1.7222      10.0
           20050207        9.144         1.7778      10.0
           20050207       12.192         1.9444      10.0
           20050207       15.240         2.0000      10.0
           20050207       18.288         2.1111      10.0
           20050531        0.914        14.7778      10.0
           20050531        1.524        14.6111      10.0
           20050531        3.048        14.4444      10.0
           20050531        6.096        12.8889      10.0
           20050531        9.144         9.1111      10.0
           20050531       12.192         7.5556      10.0
           20050531       15.240         6.3889      10.0
           20050531       18.288         6.1111      10.0
           20050531       21.336         5.8889      10.0
           20050531       24.384         5.7222      10.0
           20050531       25.908         5.5556      10.0
           20050629        0.914        22.4444      10.0
           20050629        1.524        22.1667      10.0
           20050629        3.048        21.9444      10.0
           20050629        6.096        17.7778      10.0
           20050629        9.144        10.4444      10.0
           20050629       12.192         8.2778      10.0
           20050629       15.240         7.0556      10.0
           20050629       18.288         6.2778      10.0
           20050629       21.336         5.9444      10.0
           20050629       24.384         5.8889      10.0
           20050629       25.908         5.7222      10.0
           20050719        0.914        25.4444      10.0
           20050719        1.524        25.3333      10.0
           20050719        3.048        25.0556      10.0
           20050719        6.096        22.1667      10.0
           20050719        9.144        11.6667      10.0
           20050719       12.192         8.8889      10.0
           20050719       15.240         7.6667      10.0
           20050719       18.288         6.7778      10.0
           20050719       21.336         6.1667      10.0
           20050719       24.384         6.0000      10.0
           20050719       25.908         5.8889      10.0
           20050824        0.914        21.1667      10.0
           20050824        1.524        21.1667      10.0
           20050824        3.048        21.0000      10.0
           20050824        6.096        20.8889      10.0
           20050824        9.144        14.7778      10.0
           20050824       12.192         9.6667      10.0
           20050824       15.240         7.8333      10.0
           20050824       18.288         6.9444      10.0
           20050824       21.336         6.2778      10.0
           20050824       24.384         6.3889      10.0
           20050824       25.908         6.4444      10.0
           20050909        0.914        20.3889      10.0
           20050909        1.524        20.2778      10.0
           20050909        3.048        20.1667      10.0
           20050909        6.096        19.8889      10.0
           20050909        9.144        17.1111      10.0
           20050909       12.192         9.8333      10.0
           20050909       15.240         7.8333      10.0
           20050909       18.288         6.8889      10.0
           20050909       21.336         6.3333      10.0
           20050909       24.384         6.1111      10.0
           20050909       25.908         6.1111      10.0
           20050921        0.914        20.3333      10.0
           20050921        1.524        20.1667      10.0
           20050921        3.048        19.8889      10.0
           20050921        6.096        19.7778      10.0
           20050921        9.144        18.3889      10.0
           20050921       12.192        10.1111      10.0
           20050921       15.240         8.1111      10.0
           20050921       18.288         6.7222      10.0
           20050921       21.336         6.3889      10.0
           20050921       24.384         6.1667      10.0
           20050921       25.908         6.1667      10.0
           20051010        0.914        15.0556      10.0
           20051010        1.524        15.0000      10.0
           20051010        3.048        14.8333      10.0
           20051010        6.096        14.7778      10.0
           20051010        9.144        14.6667      10.0
           20051010       12.192        12.3333      10.0
           20051010       15.240         8.1667      10.0
           20051010       18.288         7.2222      10.0
           20051010       21.336         6.5556      10.0
           20051010       24.384         6.2778      10.0
           20051010       25.908         6.2222      10.0
           20060502        0.914         8.8889      10.0
           20060502        1.524         8.8333      10.0
           20060502        3.048         8.7222      10.0
           20060502        6.096         8.3889      10.0
           20060502        9.144         7.3889      10.0
           20060502       12.192         7.1111      10.0
           20060502       15.240         6.6111      10.0
           20060502       18.288         6.1667      10.0
           20060502       21.336         5.4444      10.0
           20060502       24.384         5.2778      10.0
           20060502       25.908         5.2222      10.0
           20060613        0.914        19.2778      10.0
           20060613        1.524        19.1111      10.0
           20060613        3.048        18.7778      10.0
           20060613        6.096        13.7222      10.0
           20060613        9.144        11.2222      10.0
           20060613       12.192         9.7222      10.0
           20060613       15.240         8.0000      10.0
