Observation #: 12176
----------------------------------------------------------
Time(YYYYMMDD)     Depth(m)     Value(celsius)     Std(%)
19810423                 1.0             6.6000       10.0
19810423                 2.0             6.6000       10.0
19810423                 3.0             6.6000       10.0
19810423                 4.0             6.6000       10.0
19810423                 5.0             6.6000       10.0
19810423                 6.0             6.7000       10.0
19810423                 7.0             6.7000       10.0
19810423                 8.0             6.6000       10.0
19810423                 9.0             6.6000       10.0
19810423                10.0             6.6000       10.0
19810423                11.0             6.6000       10.0
19810423                12.0             6.6000       10.0
19810423                13.0             6.6000       10.0
19810423                14.0             6.6000       10.0
19810423                15.0             6.5000       10.0
19810423                16.0             6.2000       10.0
19810423                17.0             6.0000       10.0
19810506                 0.0             9.0000       10.0
19810506                 1.0             9.0000       10.0
19810506                 2.0             8.8000       10.0
19810506                 3.0             8.8000       10.0
19810506                 4.0             8.7000       10.0
19810506                 5.0             8.7000       10.0
19810506                 6.0             8.6000       10.0
19810506                 7.0             8.5000       10.0
19810506                 8.0             8.2000       10.0
19810506                 9.0             7.9000       10.0
19810506                10.0             7.4000       10.0
19810506                11.0             7.0000       10.0
19810506                12.0             6.9000       10.0
19810506                13.0             6.9000       10.0
19810506                14.0             6.7000       10.0
19810506                15.0             6.7000       10.0
19810506                16.0             6.6000       10.0
19810506                17.0             6.6000       10.0
19810506                18.0             6.6000       10.0
19810506                19.0             6.6000       10.0
19810520                 0.0            12.9000       10.0
19810520                 1.0            12.9000       10.0
19810520                 2.0            12.8000       10.0
19810520                 3.0            12.6000       10.0
19810520                 4.0            12.3000       10.0
19810520                 5.0            11.5000       10.0
19810520                 6.0            10.7000       10.0
19810520                 7.0            10.4000       10.0
19810520                 8.0            10.1000       10.0
19810520                 9.0             9.7000       10.0
19810520                10.0             9.3000       10.0
19810520                11.0             8.8000       10.0
19810520                12.0             8.2000       10.0
19810520                13.0             7.6000       10.0
19810520                14.0             7.5000       10.0
19810520                15.0             7.5000       10.0
19810520                16.0             7.4000       10.0
19810520                17.0             7.3000       10.0
19810520                18.0             7.3000       10.0
19810520                19.0             7.3000       10.0
19810520                20.0             7.3000       10.0
19810520                20.2             7.3000       10.0
19810604                 0.0            17.2000       10.0
19810604                 1.0            16.8000       10.0
19810604                 2.0            16.7000       10.0
19810604                 3.0            16.7000       10.0
19810604                 4.0            16.3000       10.0
19810604                 5.0            14.2000       10.0
19810604                 6.0            13.1000       10.0
19810604                 7.0            12.2000       10.0
19810604                 8.0            11.7000       10.0
19810604                 9.0            11.1000       10.0
19810604                10.0            10.5000       10.0
19810604                11.0             9.9000       10.0
19810604                12.0             9.5000       10.0
19810604                13.0             9.0000       10.0
19810604                14.0             8.6000       10.0
19810604                15.0             8.5000       10.0
19810604                16.0             8.4000       10.0
19810604                17.0             8.2000       10.0
19810604                18.0             8.1000       10.0
19810604                19.0             8.0000       10.0
19810616                 0.0            18.8000       10.0
19810616                 1.0            18.9000       10.0
19810616                 2.0            18.9000       10.0
19810616                 3.0            18.8000       10.0
19810616                 4.0            18.8000       10.0
19810616                 5.0            18.7000       10.0
19810616                 6.0            15.1000       10.0
19810616                 7.0            13.2000       10.0
19810616                 8.0            12.7000       10.0
19810616                 9.0            11.9000       10.0
19810616                10.0            11.1000       10.0
19810616                11.0            10.6000       10.0
19810616                12.0            10.3000       10.0
19810616                13.0             9.8000       10.0
19810616                14.0             9.4000       10.0
19810616                15.0             9.0000       10.0
19810616                16.0             8.9000       10.0
19810616                17.0             8.7000       10.0
19810616                18.0             8.5000       10.0
