Observation #: 2683
--------------------------------------------------------
Time(YYYYMMDD)     Depth(m)    Value(celsius)    Std(%)
19970219                 0.5            1.6000      10.0
19970219                 1.0            1.6000      10.0
19970219                 2.0            1.7000      10.0
19970219                 3.0            1.8000      10.0
19970219                 4.0            1.8000      10.0
19970219                 5.0            1.8000      10.0
19970219                 6.0            1.8000      10.0
19970219                 7.0            1.8000      10.0
19970219                 8.0            1.8000      10.0
19970219                 9.0            1.9000      10.0
19970219                10.0            2.0000      10.0
19970219                11.0            2.1000      10.0
19970219                12.0            2.2000      10.0
19970219                13.0            2.3000      10.0
19970219                14.0            2.5000      10.0
19970219                15.0            2.8000      10.0
19970219                15.5            3.0000      10.0
19970415                 0.5            5.6000      10.0
19970415                 1.0            5.6000      10.0
19970415                 2.0            5.6000      10.0
19970415                 3.0            5.6000      10.0
19970415                 4.0            5.6000      10.0
19970415                 5.0            5.6000      10.0
19970415                 6.0            5.6000      10.0
19970415                 7.0            5.6000      10.0
19970415                 8.0            5.6000      10.0
19970415                 9.0            5.6000      10.0
19970415                10.0            5.6000      10.0
19970415                11.0            5.5000      10.0
19970415                12.0            5.5000      10.0
19970415                13.0            5.5000      10.0
19970415                14.0            5.5000      10.0
19970415                15.0            5.5000      10.0
19970415                16.0            5.5000      10.0
19970513                 0.5           11.5000      10.0
19970513                 1.0           11.2000      10.0
19970513                 2.0           11.2000      10.0
19970513                 3.0           11.2000      10.0
19970513                 4.0           11.1000      10.0
19970513                 5.0           11.1000      10.0
19970513                 6.0           11.1000      10.0
19970513                 7.0           11.1000      10.0
19970513                 8.0           11.1000      10.0
19970513                 9.0           11.1000      10.0
19970513                10.0           11.1000      10.0
19970513                11.0           11.1000      10.0
19970513                12.0           11.1000      10.0
19970513                13.0           11.1000      10.0
19970513                14.0           11.1000      10.0
19970513                15.0           11.1000      10.0
19970513                15.5           11.0000      10.0
19970610                 0.5           18.1000      10.0
19970610                 1.0           17.8000      10.0
19970610                 2.0           17.5000      10.0
19970610                 3.0           17.4000      10.0
19970610                 4.0           17.3000      10.0
19970610                 5.0           16.3000      10.0
19970610                 6.0           15.7000      10.0
19970610                 7.0           15.2000      10.0
19970610                 8.0           14.8000      10.0
19970610                 9.0           14.5000      10.0
19970610                10.0           14.4000      10.0
19970610                11.0           14.1000      10.0
19970610                12.0           13.8000      10.0
19970610                13.0           13.7000      10.0
19970610                14.0           13.5000      10.0
19970610                15.0           13.0000      10.0
19970610                16.0           12.9000      10.0
19970715                 0.5           24.6000      10.0
19970715                 1.0           24.4000      10.0
19970715                 2.0           24.0000      10.0
19970715                 3.0           23.9000      10.0
19970715                 4.0           23.8000      10.0
19970715                 5.0           23.7000      10.0
19970715                 6.0           22.4000      10.0
19970715                 7.0           21.7000      10.0
19970715                 8.0           21.3000      10.0
19970715                 9.0           19.7000      10.0
19970715                10.0           17.2000      10.0
19970715                11.0           15.4000      10.0
19970715                12.0           14.8000      10.0
19970715                13.0           14.4000      10.0
19970715                14.0           14.2000      10.0
19970715                15.0           13.9000      10.0
19970715                15.5           13.8000      10.0
19970814                 0.5           22.5000      10.0
19970814                 1.0           22.5000      10.0
19970814                 2.0           22.5000      10.0
19970814                 3.0           22.5000      10.0
19970814                 4.0           22.5000      10.0
19970814                 5.0           22.5000      10.0
19970814                 6.0           22.5000      10.0
19970814                 7.0           22.5000      10.0
19970814                 8.0           22.4000      10.0
19970814                 9.0           21.8000      10.0
19970814                10.0           18.4000      10.0
19970814                11.0           16.8000      10.0
19970814                12.0           15.3000      10.0
19970814                13.0           14.7000      10.0
19970814                14.0           14.3000      10.0
19970814                15.0           14.1000      10.0
19970814                16.0           13.8000      10.0
19970814                16.5           13.7000      10.0
19971117                 0.5            6.6000      10.0
19971117                 1.0            6.6000      10.0
19971117                 2.0            6.6000      10.0
19971117                 3.0            6.6000      10.0
19971117                 4.0            6.6000      10.0
19971117                 5.0            6.6000      10.0
19971117                 6.0            6.5000      10.0
19971117                 7.0            6.5000      10.0
19971117                 8.0            6.5000      10.0
19971117                 9.0            6.5000      10.0
19971117                10.0            6.5000      10.0
19971117                11.0            6.5000      10.0
19971117                12.0            6.5000      10.0
19971117                13.0            6.5000      10.0
19971117                14.0            6.5000      10.0
19971117                15.0            6.4000      10.0
19971117                16.0            6.3000      10.0
19971117                16.3            6.3000      10.0
19980217                 0.5            1.9000      10.0
19980217                 1.0            1.9000      10.0
19980217                 2.0            1.9000      10.0
19980217                 3.0            1.9000      10.0
19980217                 4.0            1.9000      10.0
19980217                 5.0            1.9000      10.0
19980217                 6.0            1.9000      10.0
19980217                 7.0            1.9000      10.0
19980217                 8.0            1.9000      10.0
19980217                 9.0            1.9000      10.0
19980217                10.0            2.0000      10.0
19980217                11.0            1.9000      10.0
19980217                12.0            1.8000      10.0
19980217                13.0            1.9000      10.0
19980217                14.0            1.9000      10.0
19980217                15.0            2.0000      10.0
19980217                16.0            2.4000      10.0
19980414                 0.5            8.8000      10.0
19980414                 1.0            8.8000      10.0
19980414                 2.0            8.8000      10.0
19980414                 3.0            8.8000      10.0
19980414                 4.0            8.8000      10.0
19980414                 5.0            8.8000      10.0
19980414                 6.0            8.8000      10.0
19980414                 7.0            8.8000      10.0
19980414                 8.0            8.8000      10.0
19980414                 9.0            8.8000      10.0
19980414                10.0            8.8000      10.0
19980414                11.0            8.7000      10.0
19980414                12.0            8.7000      10.0
19980414                13.0            8.7000      10.0
19980414                14.0            8.7000      10.0
19980414                15.0            8.7000      10.0
19980414                16.0            8.7000      10.0
19980518                 0.5           18.6000      10.0
19980518                 1.0           18.5000      10.0
19980518                 2.0           18.5000      10.0
19980518                 3.0           18.5000      10.0
19980518                 4.0           18.5000      10.0
19980518                 5.0           18.4000      10.0
19980518                 6.0           15.8000      10.0
19980518                 7.0           15.2000      10.0
19980518                 8.0           14.7000      10.0
19980518                 9.0           14.4000      10.0
19980518                10.0           13.4000      10.0
19980518                11.0           12.7000      10.0
19980518                12.0           11.9000      10.0
19980518                13.0           11.2000      10.0
19980518                14.0           10.5000      10.0
19980518                15.0           10.4000      10.0
19980518                16.0           10.4000      10.0
19980616                 0.5           20.6000      10.0
19980616                 1.0           20.5000      10.0
19980616                 2.0           20.2000      10.0
19980616                 3.0           20.1000      10.0
19980616                 4.0           20.0000      10.0
19980616                 5.0           19.4000      10.0
19980616                 6.0           19.4000      10.0
19980616                 7.0           18.6000      10.0
19980616                 8.0           17.7000      10.0
19980616                 9.0           17.3000      10.0
19980616                10.0           16.3000      10.0
19980616                11.0           14.3000      10.0
19980616                12.0           13.0000      10.0
19980616                13.0           12.3000      10.0
19980616                14.0           11.7000      10.0
19980616                15.0           11.4000      10.0
19980616                16.0           11.2000      10.0
19980720                 0.5           27.6000      10.0
19980720                 1.0           27.5000      10.0
19980720                 2.0           27.4000      10.0
19980720                 3.0           27.3000      10.0
19980720                 4.0           27.1000      10.0
19980720                 5.0           26.4000      10.0
19980720                 6.0           24.8000      10.0
19980720                 7.0           23.0000      10.0
19980720                 8.0           20.8000      10.0
19980720                 9.0           18.3000      10.0
19980720                10.0           16.5000      10.0
19980720                11.0           14.5000      10.0
19980720                12.0           13.9000      10.0
19980720                13.0           13.3000      10.0
19980720                14.0           12.8000      10.0
19980720                15.0           12.4000      10.0
19980720                16.0           12.0000      10.0
19980818                 0.5           24.8000      10.0
19980818                 1.0           24.8000      10.0
19980818                 2.0           24.8000      10.0
19980818                 3.0           24.8000      10.0
19980818                 4.0           24.7000      10.0
19980818                 5.0           24.7000      10.0
19980818                 6.0           24.7000      10.0
19980818                 7.0           24.7000      10.0
19980818                 8.0           24.6000      10.0
19980818                 9.0           20.0000      10.0
19980818                10.0           16.4000      10.0
19980818                11.0           15.2000      10.0
19980818                12.0           14.3000      10.0
19980818                13.0           13.5000      10.0
19980818                14.0           12.9000      10.0
19980818                15.0           12.5000      10.0
19980818                16.0           12.2000      10.0
19980923                 0.5           21.5000      10.0
19980923                 1.0           21.5000      10.0
19980923                 2.0           21.4000      10.0
19980923                 3.0           21.4000      10.0
19980923                 4.0           21.4000      10.0
19980923                 5.0           21.3000      10.0
19980923                 6.0           21.3000      10.0
19980923                 7.0           21.3000      10.0
19980923                 8.0           21.3000      10.0
19980923                 9.0           21.3000      10.0
19980923                10.0           21.1000      10.0
19980923                11.0           16.5000      10.0
19980923                12.0           14.6000      10.0
19980923                13.0           13.5000      10.0
19980923                14.0           13.1000      10.0
19980923                15.0           12.7000      10.0
19980923                16.0           12.3000      10.0
19981117                 0.5            8.1000      10.0
19981117                 1.0            8.1000      10.0
19981117                 2.0            8.1000      10.0
19981117                 3.0            8.1000      10.0
19981117                 4.0            8.1000      10.0
19981117                 5.0            8.1000      10.0
19981117                 6.0            8.1000      10.0
19981117                 7.0            8.1000      10.0
19981117                 8.0            8.1000      10.0
19981117                 9.0            8.1000      10.0
19981117                10.0            8.1000      10.0
19981117                11.0            8.1000      10.0
19981117                12.0            8.1000      10.0
19981117                13.0            8.1000      10.0
19981117                14.0            8.1000      10.0
19981117                15.0            8.1000      10.0
19981117                16.0            8.1000      10.0
19990209                 0.5            2.0000      10.0
19990209                 1.0            2.0000      10.0
19990209                 2.0            2.0000      10.0
19990209                 3.0            2.1000      10.0
19990209                 4.0            2.0000      10.0
19990209                 5.0            2.0000      10.0
19990209                 6.0            2.0000      10.0
19990209                 7.0            2.0000      10.0
19990209                 8.0            2.0000      10.0
19990209                 9.0            2.1000      10.0
19990209                10.0            2.2000      10.0
19990209                11.0            2.4000      10.0
19990209                12.0            2.4000      10.0
19990209                13.0            2.6000      10.0
19990209                14.0            2.5000      10.0
19990209                15.0            3.1000      10.0
19990209                15.5            3.4000      10.0
19990413                 0.5            9.1000      10.0
19990413                 1.0            8.8000      10.0
19990413                 2.0            8.7000      10.0
19990413                 3.0            8.6000      10.0
19990413                 4.0            8.6000      10.0
19990413                 5.0            8.5000      10.0
19990413                 6.0            8.4000      10.0
19990413                 7.0            8.4000      10.0
19990413                 8.0            8.4000      10.0
19990413                 9.0            8.3000      10.0
19990413                10.0            8.3000      10.0
19990413                11.0            8.2000      10.0
19990413                12.0            8.2000      10.0
19990413                13.0            8.2000      10.0
19990413                14.0            8.1000      10.0
19990413                15.0            8.0000      10.0
19990413                15.5            8.0000      10.0
19990413                16.0            8.0000      10.0
19990519                 0.5           15.4000      10.0
19990519                 1.0           15.3000      10.0
19990519                 2.0           15.2000      10.0
19990519                 3.0           15.2000      10.0
19990519                 4.0           15.2000      10.0
19990519                 5.0           15.1000      10.0
19990519                 6.0           15.1000      10.0
19990519                 7.0           15.0000      10.0
19990519                 8.0           14.4000      10.0
19990519                 9.0           14.0000      10.0
19990519                10.0           13.3000      10.0
19990519                11.0           12.8000      10.0
19990519                12.0           12.5000      10.0
19990519                13.0           11.9000      10.0
19990519                14.0           11.7000      10.0
19990519                15.0           11.5000      10.0
19990519                16.0           11.0000      10.0
19990614                 0.5           22.8000      10.0
19990614                 1.0           22.8000      10.0
19990614                 2.0           22.8000      10.0
19990614                 3.0           22.8000      10.0
19990614                 4.0           22.8000      10.0
19990614                 5.0           22.8000      10.0
19990614                 6.0           22.4000      10.0
19990614                 7.0           20.4000      10.0
19990614                 8.0           18.1000      10.0
19990614                 9.0           17.2000      10.0
19990614                10.0           15.9000      10.0
19990614                11.0           14.4000      10.0
19990614                12.0           13.9000      10.0
19990614                13.0           13.1000      10.0
19990614                14.0           13.1000      10.0
19990614                15.0           13.1000      10.0
19990614                16.0           12.7000      10.0
19990713                 0.5           24.9000      10.0
19990713                 1.0           24.9000      10.0
19990713                 2.0           24.7000      10.0
19990713                 3.0           24.5000      10.0
19990713                 4.0           24.4000      10.0
19990713                 5.0           24.4000      10.0
19990713                 6.0           24.0000      10.0
19990713                 7.0           23.2000      10.0
19990713                 8.0           22.4000      10.0
19990713                 9.0           20.4000      10.0
19990713                10.0           17.8000      10.0
19990713                11.0           15.7000      10.0
19990713                12.0           14.5000      10.0
19990713                13.0           13.7000      10.0
19990713                14.0           13.5000      10.0
19990713                15.0           13.2000      10.0
19990713                15.5           13.1000      10.0
19990817                 0.5           23.2000      10.0
19990817                 1.0           23.2000      10.0
19990817                 2.0           23.2000      10.0
19990817                 3.0           23.1000      10.0
19990817                 4.0           23.1000      10.0
19990817                 5.0           23.1000      10.0
19990817                 6.0           23.0000      10.0
19990817                 7.0           23.0000      10.0
19990817                 8.0           23.0000      10.0
19990817                 9.0           22.9000      10.0
19990817                10.0           21.7000      10.0
19990817                11.0           18.5000      10.0
19990817                12.0           15.9000      10.0
