Observation #: 1631
-------------------------------------------------------------------------
  Time(YYYYMMDD)   Depth(m) Value(celsius)    Std(%)
         20040428        0.1            7.9      10.0
         20040428        1.0            7.8      10.0
         20040428        2.0            7.8      10.0
         20040428        3.0            7.8      10.0
         20040428        4.0            7.8      10.0
         20040428        5.0            7.6      10.0
         20040428        6.0            7.6      10.0
         20040428        7.0            7.5      10.0
         20040428        8.0            7.4      10.0
         20040428        9.0            7.3      10.0
         20040428       10.0            7.1      10.0
         20040525        0.1           14.4      10.0
         20040525        1.0           14.4      10.0
         20040525        2.0           14.3      10.0
         20040525        3.0           14.1      10.0
         20040525        4.0           11.4      10.0
         20040525        5.0           10.2      10.0
         20040525        6.0            9.9      10.0
         20040525        7.0            9.4      10.0
         20040525        8.0            9.3      10.0
         20040525        9.0            9.1      10.0
         20040525       10.0            8.9      10.0
         20040607        0.1           19.3      10.0
         20040607        1.0           18.6      10.0
         20040607        2.0           18.0      10.0
         20040607        3.0           16.6      10.0
         20040607        4.0           14.5      10.0
         20040607        5.0           11.8      10.0
         20040607        6.0           10.5      10.0
         20040607        7.0            9.9      10.0
         20040607        8.0            9.3      10.0
         20040607        9.0            9.2      10.0
         20040607       10.0            8.9      10.0
         20040623        0.1           18.9      10.0
         20040623        1.0           19.3      10.0
         20040623        2.0           19.2      10.0
         20040623        3.0           19.1      10.0
         20040623        4.0           17.6      10.0
         20040623        5.0           13.1      10.0
         20040623        6.0           11.1      10.0
         20040623        7.0            9.7      10.0
         20040623        8.0            9.2      10.0
         20040623        9.0            8.9      10.0
         20040623       10.0            8.6      10.0
         20040707        0.1           20.7      10.0
         20040707        1.0           20.7      10.0
         20040707        2.0           20.7      10.0
         20040707        3.0           20.3      10.0
         20040707        4.0           19.6      10.0
         20040707        5.0           16.3      10.0
         20040707        6.0           11.3      10.0
         20040707        7.0            9.9      10.0
         20040707        8.0            9.3      10.0
         20040707        9.0            8.9      10.0
         20040707       10.0            8.5      10.0
         20040723        1.0           23.4      10.0
         20040723        2.0           23.4      10.0
         20040723        3.0           21.3      10.0
         20040723        4.0           20.1      10.0
         20040723        5.0           15.7      10.0
