Observation #: 3966
------------------------------------------------------------------------
 Time(YYYYMMDD)    Depth(m)   Value(celsius)    Std(%)
        20110519        1.00          19.2383      10.0
        20110519        2.00          19.0672      10.0
        20110519        5.00          18.7206      10.0
        20110519       10.00          18.7967      10.0
        20110520        1.00          11.3242      10.0
        20110520        2.00          11.2014      10.0
        20110520        5.00          10.9715      10.0
        20110520       10.00          10.5622      10.0
        20110521        1.00          11.8132      10.0
        20110521        2.00          11.6934      10.0
        20110521        5.00          11.4431      10.0
        20110521       10.00           6.9330      10.0
        20110522        1.00          13.4897      10.0
        20110522        2.00          12.0993      10.0
        20110522        5.00          11.4011      10.0
        20110522       10.00           6.8055      10.0
        20110523        1.00          14.5933      10.0
        20110523        2.00          13.1073      10.0
        20110523        5.00          11.2074      10.0
        20110523       10.00           6.7293      10.0
        20110524        1.00          16.8171      10.0
        20110524        2.00          13.2278      10.0
        20110524        5.00          11.1709      10.0
        20110524       10.00           6.7567      10.0
        20110525        1.00          14.3299      10.0
        20110525        2.00          13.0511      10.0
        20110525        5.00          11.2585      10.0
        20110525       10.00           6.7514      10.0
        20110526        1.00          13.8715      10.0
        20110526        2.00          13.3010      10.0
        20110526        5.00          11.7676      10.0
        20110526       10.00           6.7569      10.0
        20110527        1.00          15.9181      10.0
        20110527        2.00          15.4392      10.0
        20110527        5.00          12.1325      10.0
        20110527       10.00           6.9310      10.0
        20110528        1.00          16.3192      10.0
        20110528        2.00          15.6454      10.0
        20110528        5.00          12.3517      10.0
        20110528       10.00           6.8423      10.0
        20110529        1.00          15.8315      10.0
        20110529        2.00          15.7323      10.0
        20110529        5.00          13.3181      10.0
        20110529       10.00           6.9149      10.0
        20110530        1.00          15.1986      10.0
        20110530        2.00          15.1390      10.0
        20110530        5.00          14.7532      10.0
        20110530       10.00           6.8743      10.0
        20110531        1.00          15.8454      10.0
        20110531        2.00          15.6185      10.0
        20110531        5.00          13.0339      10.0
        20110531       10.00           6.9040      10.0
        20110601        1.00          16.8568      10.0
        20110601        2.00          16.3349      10.0
        20110601        5.00          12.1666      10.0
        20110601       10.00           6.7458      10.0
        20110602        1.00          18.8913      10.0
        20110602        2.00          16.6682      10.0
        20110602        5.00          13.1658      10.0
        20110602       10.00           6.7238      10.0
        20110603        1.00          19.5034      10.0
        20110603        2.00          17.5300      10.0
        20110603        5.00          12.8449      10.0
        20110603       10.00           6.7599      10.0
        20110604        1.00          18.3340      10.0
        20110604        2.00          18.0456      10.0
        20110604        5.00          14.3643      10.0
        20110604       10.00           6.8870      10.0
        20110605        1.00          18.4853      10.0
        20110605        2.00          18.3877      10.0
