Observation #: 6155
---------------------------------------------------
Time(YYYYMMDD)    Depth(m) Value(celsius)   Std(%)
19960208                1.0         3.0000     10.0
19960208                2.0         3.2000     10.0
19960208                3.0         3.3000     10.0
19960208                4.0         3.4000     10.0
19960208                5.0         3.5000     10.0
19960208                6.0         3.6000     10.0
19960208                7.0         3.6000     10.0
19960208                8.0         3.6000     10.0
19960208                9.0         3.6000     10.0
19960208               10.0         3.7000     10.0
19960208               11.0         3.7000     10.0
19960208               12.0         3.7000     10.0
19960208               13.0         3.8000     10.0
19960208               14.0         3.8000     10.0
19960208               15.0         3.8000     10.0
19960208               16.0         3.9000     10.0
19960208               17.0         3.9000     10.0
19960208               18.0         3.9000     10.0
19960320                0.0         6.6000     10.0
19960320                1.0         6.5000     10.0
19960320                2.0         6.5000     10.0
19960320                3.0         6.4000     10.0
19960320                4.0         6.3000     10.0
19960320                5.0         6.2000     10.0
19960320                6.0         6.1000     10.0
19960320                7.0         6.0000     10.0
19960320                8.0         5.9000     10.0
19960320                9.0         5.7000     10.0
19960320               10.0         5.7000     10.0
19960320               11.0         5.4000     10.0
19960320               12.0         5.0000     10.0
19960320               13.0         5.0000     10.0
19960320               14.0         4.9000     10.0
19960320               15.0         4.8000     10.0
19960320               16.0         4.8000     10.0
19960320               17.0         4.8000     10.0
19960320               18.0         4.7000     10.0
19960502                0.0         9.6000     10.0
19960502                1.0         9.6000     10.0
19960502                2.0         9.5000     10.0
19960502                3.0         9.5000     10.0
19960502                4.0         9.4000     10.0
19960502                5.0         9.4000     10.0
19960502                6.0         9.3000     10.0
19960502                7.0         9.3000     10.0
19960502                8.0         9.3000     10.0
19960502                9.0         9.3000     10.0
19960502               10.0         9.2000     10.0
19960502               11.0         9.2000     10.0
19960502               12.0         8.7000     10.0
19960502               13.0         8.6000     10.0
19960502               14.0         8.2000     10.0
19960502               15.0         7.7000     10.0
19960502               16.0         7.3000     10.0
19960502               17.0         6.5000     10.0
19960502               18.0         6.5000     10.0
19960502               18.5         6.5000     10.0
19960515                0.0        11.7000     10.0
19960515                1.0        11.7000     10.0
19960515                2.0        11.7000     10.0
19960515                3.0        11.6000     10.0
19960515                4.0        11.6000     10.0
19960515                5.0        11.2000     10.0
19960515                6.0        10.8000     10.0
19960515                7.0        10.6000     10.0
19960515                8.0        10.5000     10.0
19960515                9.0        10.3000     10.0
19960515               10.0         9.6000     10.0
19960515               11.0         9.3000     10.0
19960515               12.0         8.9000     10.0
19960515               13.0         8.7000     10.0
19960515               14.0         8.3000     10.0
19960515               15.0         7.9000     10.0
19960515               16.0         7.5000     10.0
19960515               17.0         7.4000     10.0
19960515               18.0         7.3000     10.0
19960527                0.0        15.6000     10.0
19960527                1.0        14.8000     10.0
19960527                2.0        14.5000     10.0
19960527                3.0        14.3000     10.0
19960527                4.0        14.1000     10.0
19960527                5.0        13.9000     10.0
19960527                6.0        13.7000     10.0
19960527                7.0        13.6000     10.0
19960527                8.0        12.7000     10.0
19960527                9.0        10.8000     10.0
19960527               10.0        10.1000     10.0
19960527               11.0         9.6000     10.0
19960527               12.0         9.1000     10.0
19960527               13.0         8.6000     10.0
19960527               14.0         8.3000     10.0
19960527               15.0         8.1000     10.0
19960527               16.0         7.8000     10.0
19960527               17.0         7.7000     10.0
19960527               18.0         7.7000     10.0
19960527               18.5         7.7000     10.0
19960610                0.0        17.5000     10.0
19960610                1.0        17.3000     10.0
19960610                2.0        17.1000     10.0
19960610                3.0        16.9000     10.0
19960610                4.0        16.7000     10.0
19960610                5.0        16.2000     10.0
19960610                6.0        15.1000     10.0
19960610                7.0        13.6000     10.0
19960610                8.0        12.7000     10.0
