Observation #: 5278
---------------------------------------------------------
Time(yyyymmdd)       Depth(m)   Value(celsius)   Std (%)
20040428                   0.1           6.2000      10.0
20040428                   1.0           6.1000      10.0
20040428                   2.0           6.1000      10.0
20040428                   3.0           6.0000      10.0
20040428                   4.0           5.9000      10.0
20040428                   5.0           5.9000      10.0
20040428                   6.0           5.9000      10.0
20040428                   7.0           5.9000      10.0
20040428                   8.0           5.8000      10.0
20040428                   9.0           5.8000      10.0
20040428                  10.0           5.7000      10.0
20040428                  11.0           5.5000      10.0
20040428                  12.0           5.2000      10.0
20040428                  13.0           5.1000      10.0
20040428                  14.0           5.0000      10.0
20040428                  15.0           4.9000      10.0
20040428                  16.0           4.9000      10.0
20040428                  17.0           4.9000      10.0
20040428                  18.0           4.8000      10.0
20040428                  19.0           4.7000      10.0
20040428                  20.0           4.7000      10.0
20040428                  21.0           4.7000      10.0
20040428                  22.0           4.6000      10.0
20040428                  23.0           4.6000      10.0
20040428                  24.0           4.6000      10.0
20040428                  25.0           4.6000      10.0
20040428                  26.0           4.6000      10.0
20040428                  27.0           4.5000      10.0
20040428                  28.0           4.5000      10.0
20040428                  29.0           4.5000      10.0
20040428                  30.0           4.5000      10.0
20040428                  31.0           4.5000      10.0
20040428                  32.0           4.5000      10.0
20040428                  33.0           4.5000      10.0
20040428                  34.0           4.5000      10.0
20040428                  35.0           4.5000      10.0
20040608                   0.1          19.6000      10.0
20040608                   1.0          19.6000      10.0
20040608                   2.0          19.6000      10.0
20040608                   3.0          19.2000      10.0
20040608                   4.0          13.6000      10.0
20040608                   5.0           9.7000      10.0
20040608                   6.0           8.6000      10.0
20040608                   7.0           7.8000      10.0
20040608                   8.0           7.1000      10.0
20040608                   9.0           6.7000      10.0
20040608                  10.0           6.5000      10.0
20040608                  11.0           6.3000      10.0
20040608                  12.0           6.0000      10.0
20040608                  13.0           5.8000      10.0
20040608                  14.0           5.6000      10.0
20040608                  15.0           5.5000      10.0
20040608                  16.0           5.5000      10.0
20040608                  17.0           5.4000      10.0
20040608                  18.0           5.3000      10.0
20040608                  19.0           5.2000      10.0
20040608                  20.0           5.2000      10.0
20040608                  21.0           5.1000      10.0
20040608                  22.0           5.1000      10.0
20040608                  23.0           5.1000      10.0
20040608                  24.0           5.1000      10.0
20040608                  25.0           5.0000      10.0
20040608                  26.0           5.0000      10.0
20040608                  27.0           5.0000      10.0
20040608                  28.0           5.0000      10.0
20040608                  29.0           5.0000      10.0
20040608                  30.0           5.0000      10.0
20040608                  31.0           5.0000      10.0
20040608                  32.0           5.0000      10.0
20040608                  34.0           5.0000      10.0
20040624                   1.0          19.5000      10.0
