Observation #: 8001
-----------------------------------------------------
Time(YYYYMMDD)    Depth(m)  Value(celsius)    Std(%)
20100527                1.0         10.4633      10.0
20100527                2.0          7.9879      10.0
20100527                3.0          6.1571      10.0
20100527                4.0          5.2989      10.0
20100527                6.0          4.5866      10.0
20100527                8.0          4.4141      10.0
20100528                1.0         10.6094      10.0
20100528                2.0          8.1661      10.0
20100528                3.0          6.1357      10.0
20100528                4.0          5.2661      10.0
20100528                6.0          4.5988      10.0
20100528                8.0          4.4125      10.0
20100529                1.0         11.2645      10.0
20100529                2.0          9.0283      10.0
20100529                3.0          6.1410      10.0
20100529                4.0          5.2963      10.0
20100529                6.0          4.6398      10.0
20100529                8.0          4.4578      10.0
20100530                1.0         12.1564      10.0
20100530                2.0          9.7300      10.0
20100530                3.0          6.3603      10.0
20100530                4.0          5.2660      10.0
20100530                6.0          4.5946      10.0
20100530                8.0          4.4231      10.0
20100531                1.0         13.3018      10.0
20100531                2.0          9.8942      10.0
20100531                3.0          6.1715      10.0
20100531                4.0          5.2763      10.0
20100531                6.0          4.6412      10.0
20100531                8.0          4.4448      10.0
20100601                1.0         13.8864      10.0
20100601                2.0          9.8978      10.0
20100601                3.0          6.4142      10.0
20100601                4.0          5.2229      10.0
20100601                6.0          4.5626      10.0
20100601                8.0          4.4033      10.0
20100602                1.0         14.7964      10.0
20100602                2.0         10.0833      10.0
20100602                3.0          6.4634      10.0
20100602                4.0          5.3185      10.0
20100602                6.0          4.6123      10.0
20100602                8.0          4.4515      10.0
20100603                1.0         15.4900      10.0
20100603                2.0         10.3017      10.0
20100603                3.0          6.4858      10.0
20100603                4.0          5.3455      10.0
20100603                6.0          4.6405      10.0
20100603                8.0          4.4703      10.0
20100604                1.0         15.0827      10.0
20100604                2.0         11.2608      10.0
20100604                3.0          6.5589      10.0
20100604                4.0          5.3120      10.0
20100604                6.0          4.6218      10.0
20100604                8.0          4.4504      10.0
20100605                1.0         15.0445      10.0
20100605                2.0         11.7892      10.0
20100605                3.0          6.6256      10.0
20100605                4.0          5.2912      10.0
20100605                6.0          4.5773      10.0
20100605                8.0          4.4086      10.0
20100606                1.0         16.3664      10.0
20100606                2.0         11.7450      10.0
20100606                3.0          6.6843      10.0
20100606                4.0          5.3012      10.0
20100606                6.0          4.6027      10.0
20100606                8.0          4.4298      10.0
20100607                1.0         17.2436      10.0
20100607                2.0         11.6817      10.0
20100607                3.0          6.7868      10.0
20100607                4.0          5.3333      10.0
20100607                6.0          4.5485      10.0
20100607                8.0          4.3877      10.0
20100608                1.0         16.8364      10.0
20100608                2.0         11.6667      10.0
20100608                3.0          6.8653      10.0
20100608                4.0          5.4062      10.0
20100608                6.0          4.6531      10.0
20100608                8.0          4.4666      10.0
20100609                1.0         16.2655      10.0
20100609                2.0         11.8900      10.0
20100609                3.0          6.8496      10.0
20100609                4.0          5.4358      10.0
20100609                6.0          4.6939      10.0
20100609                8.0          4.5260      10.0
20100610                1.0         15.7591      10.0
20100610                2.0         11.8683      10.0
20100610                3.0          7.0250      10.0
20100610                4.0          5.3903      10.0
20100610                6.0          4.6584      10.0
20100610                8.0          4.4848      10.0
20100611                1.0         16.4055      10.0
20100611                2.0         12.1375      10.0
20100611                3.0          7.0158      10.0
20100611                4.0          5.4008      10.0
20100611                6.0          4.6224      10.0
20100611                8.0          4.4580      10.0
20100612                1.0         16.4636      10.0
20100612                2.0         12.4050      10.0
20100612                3.0          7.0446      10.0
20100612                4.0          5.4829      10.0
20100612                6.0          4.7179      10.0
20100612                8.0          4.5222      10.0
20100613                1.0         15.2955      10.0
20100613                2.0         12.6125      10.0
20100613                3.0          7.3290      10.0
20100613                4.0          5.5786      10.0
20100613                6.0          4.7495      10.0
20100613                8.0          4.5518      10.0
20100614                1.0         14.4127      10.0
20100614                2.0         12.8708      10.0
20100614                3.0          7.3924      10.0
20100614                4.0          5.5516      10.0
20100614                6.0          4.7036      10.0
20100614                8.0          4.5258      10.0
20100615                1.0         13.9964      10.0
20100615                2.0         12.3517      10.0
20100615                3.0          7.4978      10.0
20100615                4.0          5.6040      10.0
20100615                6.0          4.7417      10.0
20100615                8.0          4.5468      10.0
20100616                1.0         13.7164      10.0
20100616                2.0         12.2400      10.0
20100616                3.0          7.3607      10.0
20100616                4.0          5.5702      10.0
20100616                6.0          4.6284      10.0
20100616                8.0          4.4659      10.0
20100617                1.0         14.8700      10.0
20100617                2.0         12.1808      10.0
20100617                3.0          7.7430      10.0
20100617                4.0          5.6852      10.0
20100617                6.0          4.6318      10.0
20100617                8.0          4.4539      10.0
20100618                1.0         16.7573      10.0
20100618                2.0         12.1142      10.0
20100618                3.0          7.6446      10.0
20100618                4.0          5.5551      10.0
20100618                6.0          4.6637      10.0
20100618                8.0          4.4681      10.0
20100619                1.0         15.2136      10.0
20100619                2.0         13.0683      10.0
20100619                3.0          8.0131      10.0
20100619                4.0          5.7978      10.0
20100619                6.0          4.7575      10.0
20100619                8.0          4.5718      10.0
20100620                1.0         12.8718      10.0
20100620                2.0         12.8925      10.0
20100620                3.0          9.3633      10.0
20100620                4.0          5.9464      10.0
20100620                6.0          4.7521      10.0
20100620                8.0          4.5623      10.0
20100621                1.0         12.9700      10.0
20100621                2.0         12.0500      10.0
