Observation #: 141
---------------------------------------------------------------
  Time(YYYYMMDD)   Depth(m) Value(celsius)   Std(%)
         20150713        0.2           16.1     10.0
         20150713        0.5           16.1     10.0
         20150713        0.8           16.0     10.0
         20150713        1.1           16.0     10.0
         20150713        1.4           16.0     10.0
         20150713        1.7           16.0     10.0
         20150713        2.0           15.8     10.0
         20150713        2.3           15.5     10.0
         20150713        2.6           14.8     10.0
         20150713        2.9           13.6     10.0
         20150713        3.2           12.7     10.0
         20150713        3.5           11.1     10.0
         20150713        3.8           10.0     10.0
         20150713        4.1            9.4     10.0
         20150713        4.4            9.0     10.0
         20150713        4.8            8.7     10.0
         20150713        5.1            8.4     10.0
         20150713        5.4            8.3     10.0
         20150713        5.7            8.2     10.0
         20150713        6.0            8.1     10.0
         20150713        6.3            8.1     10.0
         20150713        6.6            8.0     10.0
         20150713        7.0            8.0     10.0
         20150825        0.2           16.7     10.0
         20150825        0.5           16.1     10.0
         20150825        0.8           15.9     10.0
         20150825        1.1           15.2     10.0
         20150825        1.4           15.0     10.0
         20150825        1.7           14.9     10.0
         20150825        2.0           14.6     10.0
         20150825        2.3           14.4     10.0
         20150825        2.6           14.3     10.0
         20150825        2.9           14.1     10.0
         20150825        3.2           13.9     10.0
         20150825        3.5           13.7     10.0
         20150825        3.8           13.4     10.0
         20150825        4.1           13.1     10.0
         20150825        4.4           12.6     10.0
         20150825        4.8           12.0     10.0
         20150825        5.1           11.6     10.0
         20150825        5.4           11.2     10.0
         20150825        5.7           10.8     10.0
         20150825        6.0           10.6     10.0
         20150825        6.3           10.5     10.0
         20150825        6.6           10.3     10.0
         20150825        6.8           10.3     10.0
         20151009        0.2           11.0     10.0
         20151009        0.5           11.0     10.0
         20151009        0.8           10.9     10.0
         20151009        1.1           10.8     10.0
         20151009        1.4           10.6     10.0
         20151009        1.7           10.5     10.0
         20151009        2.0           10.5     10.0
         20151009        2.3           10.4     10.0
         20151009        2.6           10.4     10.0
         20151009        2.9           10.3     10.0
         20151009        3.2           10.3     10.0
         20151009        3.5           10.3     10.0
         20151009        3.8           10.3     10.0
         20151009        4.1           10.3     10.0
         20151009        4.4           10.3     10.0
         20151009        4.7           10.3     10.0
         20151009        5.1           10.3     10.0
         20151009        5.4           10.3     10.0
         20151009        5.7           10.3     10.0
         20151009        6.0           10.3     10.0
         20151009        6.3           10.3     10.0
         20151009        6.7           10.3     10.0
         20160607        0.2           17.5     10.0
         20160607        0.5           17.1     10.0
         20160607        0.8           16.1     10.0
         20160607        1.1           14.4     10.0
         20160607        1.4           13.3     10.0
         20160607        1.7           12.6     10.0
         20160607        2.0           11.7     10.0
         20160607        2.3           10.4     10.0
         20160607        2.6            9.4     10.0
         20160607        2.9            8.8     10.0
         20160607        3.2            8.2     10.0
         20160607        3.5            7.9     10.0
         20160607        3.8            7.7     10.0
         20160607        4.1            7.5     10.0
         20160607        4.4            7.3     10.0
         20160607        4.7            7.2     10.0
         20160607        5.0            7.1     10.0
         20160607        5.4            7.1     10.0
         20160607        5.7            7.1     10.0
         20160607        6.0            7.0     10.0
         20160607        6.3            7.1     10.0
         20160607        6.6            7.0     10.0
         20160607        6.7            7.0     10.0
         20160622        0.2           20.2     10.0
         20160622        0.5           19.6     10.0
         20160622        0.8           19.1     10.0
         20160622        1.1           18.6     10.0
         20160622        1.4           18.1     10.0
         20160622        1.7           16.7     10.0
         20160622        2.0           15.3     10.0
         20160622        2.3           13.6     10.0
         20160622        2.6           12.7     10.0
         20160622        2.9           12.2     10.0
         20160622        3.2           11.2     10.0
         20160622        3.5           10.0     10.0
         20160622        3.8            9.0     10.0
         20160622        4.1            8.4     10.0
         20160622        4.4            8.0     10.0
         20160622        4.8            7.8     10.0
         20160622        5.1            7.7     10.0
         20160622        5.4            7.6     10.0
         20160622        5.7            7.6     10.0
         20160622        6.0            7.7     10.0
         20160622        6.3            7.5     10.0
         20160622        6.5            7.6     10.0
         20160720        0.2           19.0     10.0
         20160720        0.5           18.8     10.0
         20160720        0.8           18.6     10.0
         20160720        1.1           18.4     10.0
         20160720        1.4           17.9     10.0
         20160720        1.7           17.4     10.0
         20160720        2.0           17.0     10.0
         20160720        2.3           16.2     10.0
         20160720        2.6           15.3     10.0
         20160720        2.9           14.4     10.0
         20160720        3.2           13.3     10.0
         20160720        3.5           12.3     10.0
         20160720        3.8           11.3     10.0
         20160720        4.1           10.6     10.0
         20160720        4.4           10.0     10.0
         20160720        4.8            9.5     10.0
         20160720        5.1            9.1     10.0
         20160720        5.4            8.8     10.0
         20160720        5.7            8.8     10.0
         20160720        6.0            8.6     10.0
         20160720        6.4            8.6     10.0
         20170510        0.1            9.0     10.0
         20170510        1.0            9.0     10.0
         20170510        2.0            8.1     10.0
         20170510        3.0            7.0     10.0
         20170510        4.0            6.2     10.0
         20170510        5.0            5.6     10.0
         20170510        6.0            5.5     10.0
