Observation #: 7797
---------------------------------------------------
Time(YYYYMMDD)   Depth(m) Value(celsius)    Std(%)
19020109               0.0         4.9000      10.0
19020109               1.0         4.9000      10.0
19020109               2.5         5.0000      10.0
19020109               5.0         5.0000      10.0
19020109               7.5         5.0000      10.0
19020109              10.0         5.0000      10.0
19020109              12.5         5.0000      10.0
19020109              15.0         5.0000      10.0
19020109              20.0         5.0000      10.0
19020109              30.0         5.0000      10.0
19020109              40.0         5.0000      10.0
19020109              60.0         5.0000      10.0
19020109              80.0         4.9000      10.0
19020109              90.0         4.8000      10.0
19020109             100.0         4.6000      10.0
19020109             110.0         4.6000      10.0
19020109             120.0         4.6000      10.0
19020109             130.0         4.5000      10.0
19020109             135.0         4.5000      10.0
19020206               0.0         4.7000      10.0
19020206               1.0         4.7000      10.0
19020206               2.5         4.7000      10.0
19020206               5.0         4.7000      10.0
19020206               7.5         4.7000      10.0
19020206              10.0         4.7000      10.0
19020206              12.5         4.7000      10.0
19020206              15.0         4.7000      10.0
19020206              20.0         4.7000      10.0
19020206              30.0         4.6000      10.0
19020206              40.0         4.4000      10.0
19020206              60.0         4.4000      10.0
19020206              80.0         4.4000      10.0
19020206              90.0         4.5000      10.0
19020206             100.0         4.6000      10.0
19020206             110.0         4.6000      10.0
19020206             120.0         4.5000      10.0
19020206             130.0         4.5000      10.0
19020206             135.0         4.5000      10.0
19020306               0.0         4.9000      10.0
19020306               1.0         4.8000      10.0
19020306               2.5         4.8000      10.0
19020306               5.0         4.8000      10.0
19020306               7.5         4.8000      10.0
19020306              10.0         4.6000      10.0
19020306              12.5         4.6000      10.0
19020306              15.0         4.6000      10.0
19020306              20.0         4.6000      10.0
19020306              30.0         4.6000      10.0
19020306              40.0         4.6000      10.0
19020306              60.0         4.6000      10.0
19020306              80.0         4.5000      10.0
19020306              90.0         4.5000      10.0
19020306             100.0         4.5000      10.0
19020306             110.0         4.5000      10.0
19020306             120.0         4.5000      10.0
19020306             130.0         4.5000      10.0
19020306             135.0         4.5000      10.0
19020410               0.0         8.0000      10.0
19020410               1.0         8.0000      10.0
19020410               2.5         8.1000      10.0
19020410               5.0         8.0000      10.0
19020410               7.5         6.6000      10.0
19020410              10.0         6.3000      10.0
19020410              12.5         6.0000      10.0
19020410              15.0         5.9000      10.0
19020410              20.0         5.6000      10.0
19020410              30.0         5.4000      10.0
19020410              40.0         5.1000      10.0
19020410              60.0         4.8000      10.0
