Observation #: 8397
--------------------------------------------------------------
 Time(YYYYMMDD)  Depth(m) Value(celsius)  Std(%)
        19950509         0           7.8       10
        19950509         1           7.8       10
        19950509         2           7.8       10
        19950509         3           7.8       10
        19950509         4           7.8       10
        19950509         5           7.7       10
        19950509         6           7.7       10
        19950509         7           7.7       10
        19950509         8           7.7       10
        19950509         9           7.7       10
        19950509        10           7.7       10
        19950509        11           7.7       10
        19950509        12           7.7       10
        19950509        13           7.7       10
        19950509        14           7.6       10
        19950509        15           7.6       10
        19950509        16           7.6       10
        19950509        17           7.6       10
        19950509        18           7.6       10
        19950509        19           7.6       10
        19950509        20           7.6       10
        19950509        21           7.6       10
        19950509        22           7.6       10
        19950509        23           7.6       10
        19950523         0          14.0       10
        19950523         1          14.0       10
        19950523         2          14.0       10
        19950523         3          13.9       10
        19950523         4          13.9       10
        19950523         5          13.4       10
        19950523         6          13.3       10
        19950523         7          13.2       10
        19950523         8          13.1       10
        19950523         9          12.9       10
        19950523        10          12.9       10
        19950523        11          12.8       10
        19950523        12          12.6       10
        19950523        13          11.9       10
        19950523        14          11.1       10
        19950523        15          10.8       10
        19950523        16          10.5       10
        19950523        17          10.4       10
        19950523        18          10.2       10
        19950523        19          10.2       10
        19950523        20           9.8       10
        19950523        21           9.6       10
        19950523      21.5           9.6       10
        19950523        22           9.6       10
        19950523      22.5           9.5       10
        19950523        23           9.5       10
        19950606         0          19.3       10
        19950606         1          18.7       10
        19950606         2          18.0       10
        19950606         3          17.9       10
        19950606         4          17.5       10
        19950606         5          15.6       10
        19950606         6          15.1       10
        19950606         7          14.9       10
        19950606         8          14.6       10
        19950606         9          14.1       10
        19950606        10          13.8       10
        19950606        11          13.5       10
        19950606        12          13.0       10
        19950606        13          12.0       10
        19950606        14          11.5       10
        19950606        15          11.2       10
        19950606        16          11.0       10
        19950606        17          10.6       10
        19950606        18          10.3       10
        19950606        19          10.3       10
        19950606        20          10.1       10
        19950606        21          10.0       10
        19950606        22           9.9       10
        19950606        23           9.9       10
        19950606        24           9.8       10
        19950621         0          27.6       10
        19950621         1          27.4       10
        19950621         2          25.6       10
        19950621         3          24.2       10
        19950621         4          22.3       10
        19950621         5          20.1       10
        19950621         6          18.4       10
        19950621         7          17.5       10
        19950621         8          16.5       10
        19950621         9          15.8       10
        19950621        10          14.7       10
        19950621        11          14.3       10
        19950621        12          13.5       10
        19950621        13          13.0       10
        19950621        14          12.1       10
        19950621        15          11.7       10
        19950706         0          21.4       10
        19950706         1          21.5       10
        19950706         2          21.5       10
        19950706         3          21.5       10
        19950706         4          21.5       10
        19950706         5          21.5       10
        19950706         6          21.5       10
        19950706         7          21.5       10
        19950706         8          21.5       10
        19950706         9          21.5       10
        19950706        10          21.5       10
        19950706        11          21.4       10
        19950706        12          15.1       10
        19950706        13          14.2       10
        19950706        14          13.3       10
        19950706        15          12.9       10
        19950706        16          12.1       10
        19950706        17          11.6       10
        19950706        18          11.3       10
        19950706        19          11.0       10
        19950706        20          10.9       10
        19950706        21          10.9       10
        19950706        22          10.6       10
        19950706        23          10.6       10
        19950706        24          10.5       10
        19950706        25          10.4       10
        19950718         0          24.9       10
        19950718         1          25.1       10
        19950718         2          25.1       10
        19950718         3          25.1       10
        19950718         4          25.1       10
        19950718         5          25.1       10
        19950718         6          25.1       10
        19950718         7          25.0       10
        19950718         8          25.0       10
        19950718         9          18.5       10
        19950718        10          15.8       10
        19950718        11          14.3       10
        19950718        12          13.7       10
        19950718        13          13.0       10
        19950718        14          12.8       10
        19950718        15          12.5       10
        19950718        16          12.2       10
        19950718        17          11.8       10
        19950718        18          11.3       10
        19950718        19          11.1       10
        19950718        20          11.1       10
        19950718        21          11.0       10
        19950718        22          10.9       10
