Observation #: 7288
--------------------------------------------------------------
 Time(YYYYMMDD)  Depth(m) Value(celsius)  Std(%)
        19950509         0          11.3       10
        19950509         1          11.3       10
        19950509         2          11.3       10
        19950509         3          11.3       10
        19950509         4          11.2       10
        19950509         5            11       10
        19950509         6          10.5       10
        19950509         7          10.4       10
        19950509         8          10.2       10
        19950509         9           9.8       10
        19950509        10           9.5       10
        19950509        11           9.4       10
        19950509        12           9.4       10
        19950509        13           9.2       10
        19950509        14             9       10
        19950509        15             9       10
        19950509        16           8.9       10
        19950509        17           8.9       10
        19950509        18           8.8       10
        19950523         0          15.3       10
        19950523         2          15.4       10
        19950523         3          15.4       10
        19950523         4          15.3       10
        19950523         5            15       10
        19950523         6          14.9       10
        19950523         7          14.9       10
        19950523         8          14.9       10
        19950523         9          14.6       10
        19950523        10          13.4       10
        19950523        11            12       10
        19950523        12          11.8       10
        19950523        13          11.5       10
        19950523        14          10.8       10
        19950523        15          10.3       10
        19950523        16          10.3       10
        19950523        17          10.2       10
        19950606         0          22.4       10
        19950606         1          22.3       10
        19950606         2          22.2       10
        19950606         3          20.8       10
        19950606         4          17.7       10
        19950606         5          16.3       10
        19950606         6          15.8       10
        19950606         7          15.6       10
        19950606         8          15.3       10
        19950606         9          14.6       10
        19950606        10          13.9       10
        19950606        11            13       10
        19950606        12          12.4       10
        19950606        13          11.9       10
        19950606        14          11.3       10
        19950606        15          10.8       10
        19950606        16          10.5       10
        19950606        17          10.4       10
        19950606        18          10.4       10
        19950621         0          27.6       10
        19950621         1          27.4       10
        19950621         2          26.9       10
        19950621         3          25.1       10
        19950621         4          21.5       10
        19950621         5          20.3       10
        19950621         6          19.1       10
        19950621         7          17.7       10
        19950621         8          16.6       10
        19950621         9          15.3       10
        19950621        10          14.3       10
        19950621        11          13.4       10
        19950621        12          12.6       10
        19950621        13          12.2       10
        19950621        14          11.7       10
        19950621        15          11.5       10
        19950621        16          11.5       10
        19950621        17          11.4       10
        19950621        18          11.3       10
        19950621        19          11.3       10
        19950621        20          11.3       10
        19950707         0          20.9       10
        19950707         1          21.1       10
        19950707         2          21.2       10
        19950707         3          21.2       10
        19950707         4          21.2       10
        19950707         5          21.2       10
        19950707         6          21.2       10
        19950707         7          21.2       10
        19950707         8          20.8       10
        19950707         9          17.2       10
        19950707        10            16       10
        19950707        11          14.6       10
        19950707        12          13.2       10
        19950707        13          12.6       10
        19950707        14            12       10
        19950707        15          11.8       10
        19950707        16          11.7       10
        19950707        17          11.7       10
        19950718         0          25.8       10
        19950718         1          25.8       10
        19950718         2          25.7       10
        19950718         3          25.6       10
        19950718         4          25.4       10
        19950718         5          25.2       10
        19950718         6          22.1       10
        19950718         7          20.4       10
        19950718         8          19.1       10
        19950718         9          17.1       10
        19950718        10          14.8       10
        19950718        11          13.4       10
        19950718        12          12.9       10
        19950718        13          12.6       10
        19950718        14          12.5       10
        19950718        15          12.3       10
        19950718        16          12.2       10
        19950718        17          12.1       10
        19950718        18          12.2       10
        19950718        19          12.2       10
        19950802         0            26       10
        19950802         1          26.1       10
        19950802         2          26.2       10
        19950802         3          26.2       10
        19950802         4          26.2       10
        19950802         5          26.2       10
        19950802       5.5            26       10
        19950802         6          25.1       10
        19950802       6.5          23.5       10
        19950802         7          22.2       10
        19950802       7.5          21.3       10
        19950802         8          20.5       10
        19950802         9          17.5       10
        19950802       9.5          16.6       10
        19950802        10          15.5       10
        19950802        11          14.8       10
        19950802        12          13.6       10
        19950802        13          12.9       10
        19950802        14          12.5       10
        19950802        15          12.3       10
        19950802        16          12.3       10
        19950802        17          12.2       10
        19950802        18          12.2       10
        19950802        19          12.2       10
        19950802        20          12.3       10
        19950814         0          27.8       10
        19950814         1          27.9       10
        19950814         2          27.9       10
        19950814         3          27.9       10
        19950814         4          27.6       10
        19950814         5          26.6       10
        19950814       5.5          26.3       10
        19950814         6          25.3       10
        19950814       6.5          24.7       10
        19950814         7          24.5       10
        19950814       7.5          20.8       10
        19950814         8          18.9       10
        19950814       8.5            17       10
        19950814         9          16.1       10
        19950814       9.5          15.3       10
        19950814        10          14.8       10
        19950814      10.5          14.1       10
        19950814        11          13.7       10
        19950814      11.5          13.5       10
        19950814        12          13.4       10
        19950814        13          13.3       10
        19950814        14            13       10
        19950814        15          12.6       10
        19950814        16          12.5       10
        19950814        17          12.4       10
        19950814        18          12.4       10
        19950814        19          12.4       10
        19950814        20          12.4       10
        19950830         0            26       10
        19950830         1            26       10
        19950830         2          25.9       10
        19950830         3          25.9       10
        19950830         4          25.7       10
        19950830         5          25.6       10
        19950830         6          25.6       10
        19950830         7          25.5       10
        19950830       7.5          23.4       10
        19950830         8          22.7       10
        19950830       8.5            19       10
        19950830         9          17.9       10
        19950830       9.5          15.9       10
        19950830        10          15.5       10
        19950830        11          14.5       10
        19950830        12          13.9       10
        19950830        13          13.4       10
        19950830        14            13       10
        19950830        15          12.7       10
        19950830        16          12.6       10
        19950830        17          12.5       10
        19950830        18          12.5       10
        19950830        19          12.4       10
        19950830      19.5          12.4       10
        19950911         0          21.4       10
        19950911         1          21.4       10
        19950911         2          21.4       10
        19950911         3          21.1       10
        19950911         4            21       10
        19950911         5            21       10
        19950911         6            21       10
        19950911         7            21       10
        19950911         8          20.9       10
        19950911         9          20.8       10
        19950911       9.5          20.7       10
        19950911        10          17.7       10
        19950911      10.5            17       10
        19950911        11          15.5       10
        19950911      11.5          14.7       10
        19950911        12          14.1       10
        19950911      12.5          13.8       10
        19950911        13          13.5       10
        19950911      13.5          13.2       10
        19950911        14            13       10
        19950911      14.5          12.8       10
        19950911        15          12.7       10
        19950911      15.5          12.6       10
        19950911        16          12.5       10
        19950911        17          12.4       10
        19950911        18          12.4       10
        19950911        19          12.4       10
        19950911        20          12.4       10
        19950911        21          12.3       10
        19950925         0          16.4       10
        19950925         1          16.4       10
        19950925         2          16.4       10
        19950925         3          16.4       10
        19950925         4          16.4       10
        19950925         5          16.4       10
        19950925         6          16.4       10
        19950925         7          16.2       10
        19950925         8          16.2       10
        19950925         9          16.2       10
        19950925        10          16.2       10
        19950925        11          16.1       10
        19950925      11.5          16.1       10
        19950925        12          15.2       10
        19950925      12.5          14.9       10
        19950925        13          14.5       10
        19950925      13.5          13.7       10
        19950925        14          13.3       10
        19950925      14.5            13       10
        19950925        15          12.7       10
        19950925      15.5          12.6       10
        19950925        16          12.5       10
        19950925        17          12.4       10
        19950925        18          12.3       10
        19950925        19          12.3       10
        19951011         0          15.3       10
        19951011         1          15.3       10
        19951011         2          15.2       10
        19951011         3          15.2       10
        19951011         4          15.2       10
        19951011         5          15.2       10
        19951011         6          15.2       10
        19951011         7          15.1       10
        19951011         8          15.1       10
        19951011         9          15.1       10
        19951011        10          15.1       10
        19951011        11          15.1       10
        19951011        12          15.1       10
        19951011        13            15       10
        19951011        14          14.9       10
        19951011        15          14.8       10
        19951011      15.5          14.8       10
        19951011        16          14.6       10
        19951011      16.5          14.5       10
        19951011        17          14.5       10
        19951011      17.5          14.4       10
        19951025         0          11.8       10
        19951025         1          11.8       10
        19951025         2          11.8       10
        19951025         3          11.8       10
        19951025         4          11.8       10
        19951025         5          11.8       10
        19951025         6          11.8       10
        19951025         7          11.8       10
        19951025         8          11.8       10
        19951025         9          11.8       10
        19951025        10          11.8       10
        19951025        11          11.8       10
        19951025        12          11.8       10
        19951025        13          11.8       10
        19951025        14          11.8       10
        19951025        15          11.8       10
        19951025        16          11.7       10
        19951025        17          11.7       10
        19951025        18          11.7       10
        19951025      18.5          11.7       10
        19951107         0           7.4       10
        19951107         1           7.5       10
        19951107         2           7.5       10
        19951107         3           7.5       10
        19951107         4           7.5       10
        19951107         5           7.5       10
        19951107         6           7.5       10
        19951107         7           7.5       10
        19951107         8           7.5       10
        19951107         9           7.5       10
        19951107        10           7.5       10
        19951107        11           7.5       10
        19951107        12           7.5       10
        19951107        13           7.5       10
        19951107        14           7.5       10
        19951107        15           7.5       10
        19951107        16           7.5       10
        19951107        17           7.5       10
        19951122         0           3.7       10
        19951122         1           3.8       10
        19951122         2           3.8       10
        19951122         3           3.8       10
        19951122         4           3.9       10
        19951122         5           3.8       10
        19951122         6           3.9       10
        19951122         7           3.9       10
        19951122         8           3.9       10
        19951122         9           3.9       10
        19951122        10           3.9       10
        19951122        11           3.9       10
        19951122        12           3.9       10
        19951122        13           3.9       10
        19951122        14           3.9       10
        19951122        15           3.9       10
        19951122        16           3.9       10
        19951122        17             4       10
        19960206         1           1.3       10
        19960206         4           1.7       10
        19960206         8           2.5       10
        19960206        10           2.8       10
        19960206        12           2.8       10
        19960206        14           2.9       10
        19960206        16           3.2       10
        19960206        18           3.4       10
        19960206        20           3.7       10
        19960403         0           3.9       10
        19960403         1           3.9       10
        19960403         2           3.9       10
        19960403         3           3.9       10
        19960403         4           3.9       10
        19960403         5           3.9       10
        19960403         6           3.9       10
        19960403         7           3.9       10
        19960403         8           3.9       10
        19960403         9           3.9       10
        19960403        10           3.9       10
        19960403        11           3.9       10
        19960403        12           3.9       10
        19960403        13           3.9       10
        19960403        14           3.9       10
        19960403        15           3.9       10
        19960403        16           3.9       10
        19960403        17           3.9       10
        19960403        18           3.9       10
        19960403        19           3.9       10
        19960403        20           3.9       10
        19960403        21           3.9       10
        19960416         0           5.6       10
        19960416         1           5.6       10
        19960416         2           5.6       10
        19960416         3           5.5       10
        19960416         4           5.5       10
        19960416         5           5.5       10
        19960416         6           5.5       10
        19960416         7           5.5       10
        19960416         8           5.5       10
        19960416         9           5.5       10
        19960416        10           5.5       10
        19960416        11           5.5       10
        19960416        12           5.5       10
        19960416        13           5.5       10
        19960416        14           5.5       10
        19960416        15           5.5       10
        19960416        16           5.5       10
        19960416        17           5.5       10
        19960416        18           5.5       10
        19960416        19           5.5       10
        19960416        20           5.5       10
        19960501         0           8.6       10
        19960501         1           8.6       10
        19960501         2           8.6       10
        19960501         3           8.6       10
        19960501         4           8.6       10
        19960501         5           8.6       10
        19960501         6           8.6       10
        19960501         7           8.6       10
        19960501         8           8.6       10
        19960501         9           8.6       10
        19960501        10           8.6       10
        19960501        11           8.6       10
        19960501        12           8.5       10
        19960501        13           8.5       10
        19960501        14           8.5       10
        19960501        15           8.5       10
        19960501        16           8.5       10
        19960501        17           8.5       10
        19960501        18           8.5       10
        19960501        19           8.5       10
        19960501        20           8.4       10
        19960501        21           8.4       10
        19960514         0          10.7       10
        19960514         1          10.7       10
        19960514         2          10.7       10
        19960514         3          10.7       10
        19960514         4          10.7       10
        19960514         5          10.7       10
        19960514         6          10.7       10
        19960514         7          10.6       10
        19960514         8          10.5       10
        19960514         9          10.4       10
        19960514        10           9.9       10
        19960514        11           9.8       10
        19960514        12           9.8       10
        19960514        13           9.8       10
        19960514        14           9.7       10
        19960514        15           9.5       10
        19960514        16           9.5       10
        19960514        17           9.4       10
        19960514        18           9.4       10
        19960529         0          13.3       10
        19960529         1          13.3       10
        19960529         2          13.1       10
        19960529         3            13       10
        19960529         4            13       10
        19960529         5            13       10
        19960529         6            13       10
        19960529         7          12.9       10
        19960529         8          12.9       10
        19960529         9          12.9       10
        19960529        10          12.9       10
        19960529        11          12.9       10
        19960529        12          12.9       10
        19960529        13          12.9       10
        19960529        14          12.9       10
        19960529        15          11.8       10
        19960529        16          11.4       10
        19960529        17          11.2       10
        19960529        18          11.1       10
        19960529        19          10.9       10
        19960529        20          10.8       10
        19960529        21          10.8       10
        19960529      21.5          10.7       10
        19960610         0          16.1       10
        19960610         1          15.8       10
        19960610         2          15.7       10
        19960610         3          15.7       10
        19960610         4          15.6       10
        19960610         5          15.6       10
        19960610         6          15.6       10
        19960610         7          15.6       10
        19960610         8          15.6       10
        19960610         9          15.6       10
        19960610        10          15.1       10
        19960610        11          14.6       10
        19960610        12          13.4       10
        19960610        13          12.8       10
        19960610        14          12.6       10
        19960610        15          12.5       10
        19960610        16          12.3       10
        19960610        17          12.2       10
        19960610        18          12.1       10
        19960610        19          12.1       10
        19960610        20            12       10
        19960626         0          21.6       10
        19960626         1          21.5       10
        19960626         2          21.5       10
        19960626         3          21.5       10
        19960626         4          21.4       10
        19960626         5          21.1       10
        19960626         6          17.4       10
        19960626         7          16.4       10
        19960626         8          15.9       10
        19960626         9          15.3       10
        19960626        10          14.7       10
        19960626        11          13.8       10
        19960626        12          13.3       10
        19960626        13          12.9       10
        19960626        14          12.7       10
        19960626        15          12.4       10
        19960626        16          12.4       10
        19960626        17          12.3       10
        19960626        18          12.3       10
        19960626        19          12.2       10
        19960626        20          12.2       10
        19960709         0          23.5       10
        19960709         1          23.6       10
        19960709         2          23.6       10
        19960709         3          23.6       10
        19960709         4          23.6       10
        19960709         5          23.6       10
        19960709         6          23.5       10
        19960709         7          20.3       10
        19960709         8            18       10
        19960709         9          15.6       10
        19960709        10          14.7       10
        19960709        11          13.8       10
        19960709        12          13.3       10
        19960709        13          13.1       10
        19960709        14          12.8       10
        19960709        15          12.6       10
        19960709        16          12.6       10
        19960709        17          12.6       10
        19960709        18          12.5       10
        19960709        19          12.6       10
        19960722         0          23.2       10
        19960722         1          23.2       10
        19960722         2          23.2       10
        19960722         3          23.2       10
        19960722         4          23.2       10
        19960722         5          23.2       10
        19960722         6          23.1       10
        19960722         7          21.9       10
        19960722       7.5          19.7       10
        19960722         8          18.6       10
        19960722         9          15.9       10
        19960722        10          14.7       10
        19960722        11          14.1       10
        19960722        12          13.2       10
        19960722        13            13       10
        19960722        14          12.8       10
        19960722        15          12.6       10
        19960722        16          12.5       10
        19960722        17          12.4       10
        19960722        18          12.4       10
        19960805         0          23.6       10
        19960805         1          23.5       10
        19960805         2          23.5       10
        19960805         3          23.3       10
        19960805         4          22.8       10
        19960805         5          22.6       10
        19960805         6          22.6       10
        19960805         7          22.5       10
        19960805         8          22.1       10
        19960805         9          16.8       10
        19960805        10          15.3       10
        19960805        11          14.1       10
        19960805        12          13.2       10
        19960805        13          12.9       10
        19960805        14          12.7       10
        19960805        15          12.7       10
        19960805        16          12.4       10
        19960805        17          12.4       10
        19960805        18          12.4       10
        19960805        19          12.3       10
        19960805        20          12.3       10
        19960819         0          23.9       10
        19960819         1          23.9       10
        19960819         2          23.8       10
        19960819         3          23.6       10
        19960819         4          23.5       10
        19960819         5          23.5       10
        19960819         6          23.5       10
        19960819         7            23       10
        19960819         8          21.3       10
        19960819         9          17.8       10
        19960819        10          15.4       10
        19960819        11          14.5       10
        19960819        12          13.7       10
        19960819        13          13.1       10
        19960819        14          12.6       10
        19960819        15          12.6       10
        19960819        16          12.5       10
        19960819        17          12.5       10
        19960819        18          12.5       10
        19960819        19          12.5       10
        19960819        20          12.5       10
        19960819        21          12.5       10
        19960819        22          12.4       10
        19960905         0          26.1       10
        19960905         1          25.5       10
        19960905         2          24.9       10
        19960905         3          24.6       10
        19960905         4          24.2       10
        19960905         5          23.9       10
        19960905         6          23.6       10
