Observation #: 3837
-------------------------------------------------------
Time(YYYYMMDD)     Depth(m)  Value(celsius)     Std(%)
19630430                 0.0          6.8000       10.0
19630430                10.0          4.3000       10.0
19630430                20.0          3.9000       10.0
19630430                30.0          3.9000       10.0
19630430                40.0          3.9000       10.0
19630430               100.0          3.6000       10.0
19630430               140.0          3.6000       10.0
19630430               152.0          3.5000       10.0
19630924                 0.0         18.4000       10.0
19630924                10.0         16.7000       10.0
19630924                15.0         16.1000       10.0
19630924                20.0         12.5000       10.0
19630924                30.0          5.8000       10.0
19630924                40.0          4.7000       10.0
19630924               100.0          3.9000       10.0
19630924               140.0          3.8000       10.0
19630924               152.0          3.8000       10.0
19640428                 0.0          8.5000       10.0
19640428                10.0          6.4000       10.0
19640428                20.0          6.3000       10.0
19640428                30.0          4.3000       10.0
19640428                40.0          4.0000       10.0
19640428               100.0          3.3000       10.0
19640929                25.0          8.0000       10.0
19650428                 0.0          4.8000       10.0
19650428                10.0          4.8000       10.0
19650428                20.0          4.8000       10.0
19650428                30.0          4.7000       10.0
19650428                40.0          4.7000       10.0
19650428               100.0          4.7000       10.0
19650428               140.0          4.6000       10.0
19650928                10.0         14.3000       10.0
19650928                20.0         14.1000       10.0
19650928                30.0         12.4000       10.0
19650928                40.0          8.1000       10.0
19650928               100.0          5.1000       10.0
19650928               140.0          5.0000       10.0
19650928               152.0          5.0000       10.0
19660426                 0.0          8.2000       10.0
19660426                10.0          7.9000       10.0
19660426                20.0          7.2000       10.0
19660426                30.0          6.1000       10.0
19660426                40.0          5.7000       10.0
19660426               100.0          5.3000       10.0
19660426               140.0          5.2000       10.0
19660426               152.0          5.2000       10.0
19660927                 0.0         16.3000       10.0
19660927                10.0         15.9000       10.0
19660927                20.0         15.3000       10.0
19660927                25.0         12.5000       10.0
19660927                30.0          8.2000       10.0
19660927                40.0          6.8000       10.0
19660927               100.0          5.3000       10.0
19660927               140.0          5.3000       10.0
19660927               152.0          5.3000       10.0
19670425                 0.0          7.2000       10.0
19670425                10.0          7.1000       10.0
19670425                20.0          7.1000       10.0
19670425                30.0          7.1000       10.0
19670425                40.0          7.0000       10.0
19670425               100.0          6.0000       10.0
19670425               140.0          5.8000       10.0
19670425               152.0          5.7000       10.0
19670926                 0.0         17.1000       10.0
19670926                10.0         16.2000       10.0
19670926                20.0         15.4000       10.0
19670926                25.0         11.8000       10.0
19670926                30.0          9.5000       10.0
19670926                40.0          7.8000       10.0
19670926               100.0          6.1000       10.0
19670926               140.0          5.8000       10.0
19670926               152.0          5.8000       10.0
19680430                 0.0          9.0000       10.0
19680430                10.0          7.0000       10.0
19680430                20.0          5.7000       10.0
19680430                30.0          5.5000       10.0
19680430                40.0          5.4000       10.0
19680430               100.0          5.2000       10.0
19680430               140.0          5.1000       10.0
19680430               152.0          5.1000       10.0
19681001                 0.0         15.0000       10.0
19681001                10.0         14.7000       10.0
19681001                20.0         14.7000       10.0
19681001                25.0         12.2000       10.0
19681001                30.0          8.6000       10.0
19681001                40.0          7.1000       10.0
19681001               100.0          5.3000       10.0
19681001               140.0          5.2000       10.0
19681001               152.0          5.2000       10.0
19690421                 0.0          7.7000       10.0
19690421                10.0          6.6000       10.0
19690421                20.0          5.8000       10.0
19690421                30.0          5.6000       10.0
19690421               100.0          5.2000       10.0
19690421               140.0          4.9000       10.0
19690421               152.0          4.9000       10.0
19690930                 0.0         17.7000       10.0
19690930                10.0         17.0000       10.0
19690930                15.0         14.8000       10.0
19690930                20.0         11.3000       10.0
19690930                30.0          8.3000       10.0
19690930                40.0          6.5000       10.0
19690930               100.0          5.1000       10.0
19690930               140.0          5.1000       10.0
19690930               152.0          5.0000       10.0
19700428                 0.0          5.0000       10.0
19700428                10.0          5.0000       10.0
19700428                20.0          4.7000       10.0
19700428                30.0          4.6000       10.0
19700428                40.0          4.6000       10.0
19700428               100.0          4.3000       10.0
19700428               140.0          4.3000       10.0
19700428               152.0          4.3000       10.0
19701006                 0.0         15.2000       10.0
19701006                10.0         13.9000       10.0
19701006                20.0         13.5000       10.0
19701006                30.0          7.8000       10.0
19701006                40.0          6.1000       10.0
19701006               100.0          4.7000       10.0
19701006               140.0          4.5000       10.0
19701006               152.0          4.5000       10.0
19710427                 0.0          8.7000       10.0
19710427                10.0          5.9000       10.0
19710427                20.0          4.7000       10.0
19710427                30.0          4.4000       10.0
19710427                40.0          4.3000       10.0
19710427               100.0          4.1000       10.0
19710427               140.0          4.0000       10.0
19710427               152.0          4.0000       10.0
19710928                 0.0         15.8000       10.0
19710928                10.0         15.0000       10.0
19710928                20.0         13.2000       10.0
19710928                30.0          8.6000       10.0
19710928                40.0          5.4000       10.0
19710928               100.0          4.3000       10.0
19710928               140.0          4.1000       10.0
19710928               152.0          4.1000       10.0
19720502                 0.0          8.2000       10.0
19720502                10.0          6.5000       10.0
19720502                20.0          6.2000       10.0
19720502                30.0          6.0000       10.0
19720502                40.0          6.0000       10.0
19720502               100.0          5.9000       10.0
19720502               140.0          5.6000       10.0
19720502               152.0          5.5000       10.0
19720926                 0.0         14.2000       10.0
19720926                10.0         14.0000       10.0
19720926                20.0         14.1000       10.0
19720926                30.0          8.0000       10.0
19720926                40.0          7.0000       10.0
19720926               100.0          6.0000       10.0
19720926               140.0          6.0000       10.0
19730501                 0.0          8.4000       10.0
19730501                10.0          6.6000       10.0
19730501                20.0          6.1000       10.0
19730501                30.0          5.8000       10.0
19730501                40.0          5.8000       10.0
