Observation #: 810
-----------------------------------------------------
Time(YYYYMMDD)     Depth(m) Value(celsius)     Std%)
19880617                 0.0        22.2000      10.0
19880617                 1.0        22.2000      10.0
19880617                 3.0        22.2000      10.0
19880617                 5.0        20.4000      10.0
19880617                 7.0        13.1000      10.0
19880617                 9.0         9.5000      10.0
19880617                11.0         8.6000      10.0
19880617                13.0         8.2000      10.0
19880617                15.0         8.1000      10.0
19880617                17.0         7.7000      10.0
19880617                19.0         7.5000      10.0
19880617                21.0         7.4000      10.0
19880617                23.0         7.3000      10.0
19880617                25.0         7.1000      10.0
19970212                 0.0         2.0000      10.0
19970212                 1.0         1.9000      10.0
19970212                 3.0         1.8000      10.0
19970212                 5.0         1.8000      10.0
19970212                 7.0         1.8000      10.0
19970212                 9.0         1.8000      10.0
19970212                11.0         1.7000      10.0
19970212                13.0         1.8000      10.0
19970212                15.0         1.8000      10.0
19970212                17.0         1.8000      10.0
19970212                19.0         1.8000      10.0
19970212                21.0         1.8000      10.0
19970212                23.0         1.8000      10.0
19970212                25.0         1.8000      10.0
19970417                 0.0         5.6000      10.0
19970417                 1.0         5.5000      10.0
19970417                 3.0         5.5000      10.0
19970417                 5.0         5.5000      10.0
19970417                 7.0         5.5000      10.0
19970417                 9.0         5.5000      10.0
19970417                11.0         5.5000      10.0
19970417                13.0         5.4000      10.0
19970417                15.0         5.4000      10.0
19970417                17.0         5.4000      10.0
19970417                19.0         5.4000      10.0
19970417                21.0         5.4000      10.0
19970417                23.0         5.3000      10.0
19970417                25.0         5.3000      10.0
19970603                 0.0        15.9000      10.0
19970603                 1.0        15.9000      10.0
19970603                 3.0        15.8000      10.0
19970603                 5.0        15.3000      10.0
19970603                 7.0        14.1000      10.0
19970603                 9.0        12.9000      10.0
19970603                11.0        11.7000      10.0
19970603                13.0        10.9000      10.0
19970603                15.0        10.4000      10.0
19970603                17.0        10.0000      10.0
19970603                19.0         9.4000      10.0
19970603                21.0         8.0000      10.0
19970603                23.0         7.1000      10.0
19970603                25.0         6.8000      10.0
19970715                 0.0        25.6000      10.0
19970715                 1.0        25.6000      10.0
19970715                 3.0        25.5000      10.0
19970715                 5.0        22.2000      10.0
19970715                 7.0        18.3000      10.0
19970715                 9.0        13.3000      10.0
19970715                11.0        12.1000      10.0
19970715                13.0        11.2000      10.0
19970715                15.0        10.6000      10.0
19970715                17.0         9.9000      10.0
19970715                19.0         9.0000      10.0
19970715                21.0         8.2000      10.0
19970715                23.0         7.6000      10.0
19970715                25.0         7.3000      10.0
19980420                 1.0         9.9000      10.0
19980420                 3.0         9.1000      10.0
19980420                 5.0         8.7000      10.0
19980420                 7.0         8.5000      10.0
19980420                 9.0         8.2000      10.0
19980420                11.0         8.0000      10.0
19980420                13.0         7.9000      10.0
19980420                15.0         7.7000      10.0
19980420                17.0         7.6000      10.0
19980420                19.0         7.5000      10.0
19980420                21.0         7.3000      10.0
19980420                23.0         7.2000      10.0
19980420                25.0         7.1000      10.0
19980622                 1.0        24.5000      10.0
19980622                 3.0        23.8000      10.0
19980622                 5.0        19.4000      10.0
19980622                 7.0        15.2000      10.0
19980622                 9.0        11.1000      10.0
19980622                11.0         9.6000      10.0
19980622                13.0         8.8000      10.0
19980622                15.0         8.2000      10.0
19980622                17.0         7.8000      10.0
19980622                19.0         7.6000      10.0
19980622                21.0         7.4000      10.0
19980622                23.0         7.3000      10.0
19980622                25.0         7.1000      10.0
19980729                 1.0        25.2000      10.0
19980729                 3.0        25.1000      10.0
19980729                 5.0        25.0000      10.0
19980729                 7.0        16.7000      10.0
19980729                 9.0        12.6000      10.0
19980729                11.0         9.8000      10.0
19980729                13.0         8.9000      10.0
19980729                15.0         8.4000      10.0
19980729                17.0         8.1000      10.0
19980729                19.0         7.8000      10.0
19980729                21.0         7.6000      10.0
19980729                23.0         7.4000      10.0
19980729                25.0         7.1000      10.0
19980824                 0.0        25.5000      10.0
19980824                 1.0        25.5000      10.0
19980824                 3.0        25.4000      10.0
19980824                 5.0        24.5000      10.0
19980824                 7.0        19.5000      10.0
19980824                 9.0        13.2000      10.0
19980824                11.0        10.6000      10.0
19980824                13.0         9.4000      10.0
19980824                15.0         8.8000      10.0
19980824                17.0         8.3000      10.0
19980824                19.0         7.9000      10.0
19980824                21.0         7.6000      10.0
19980824                23.0         7.5000      10.0
19980824                25.0         7.3000      10.0
19990210                 1.0         2.5000      10.0
19990210                 3.0         2.4000      10.0
19990210                 5.0         2.3000      10.0
19990210                 7.0         2.3000      10.0
19990210                 9.0         2.3000      10.0
19990210                11.0         2.3000      10.0
19990210                13.0         2.2000      10.0
19990210                15.0         2.2000      10.0
19990210                17.0         2.2000      10.0
19990210                19.0         2.2000      10.0
19990210                21.0         2.2000      10.0
19990210                23.0         2.2000      10.0
19990210                25.0         2.3000      10.0
19990420                 1.0         8.8000      10.0
19990420                 3.0         8.7000      10.0
19990420                 5.0         8.3000      10.0
19990420                 7.0         8.2000      10.0
19990420                 9.0         8.0000      10.0
19990420                11.0         7.7000      10.0
19990420                13.0         7.6000      10.0
19990420                15.0         7.2000      10.0
19990420                17.0         7.0000      10.0
19990420                19.0         6.9000      10.0
19990420                21.0         6.8000      10.0
19990420                23.0         6.8000      10.0
19990420                25.0         6.8000      10.0
19990618                 1.0        21.5000      10.0
19990618                 3.0        21.5000      10.0
19990618                 5.0        20.9000      10.0
19990618                 7.0        14.9000      10.0
19990618                 9.0        12.9000      10.0
19990618                11.0        10.3000      10.0
19990618                13.0         9.3000      10.0
19990618                15.0         8.8000      10.0
19990618                17.0         8.4000      10.0
19990618                19.0         8.2000      10.0
19990618                21.0         8.0000      10.0
19990618                23.0         7.9000      10.0
19990618                25.0         7.8000      10.0
19990712                 0.0        25.6000      10.0
19990712                 1.0        25.3000      10.0
19990712                 3.0        25.0000      10.0
19990712                 5.0        24.4000      10.0
19990712                 7.0        16.5000      10.0
19990712                 9.0        12.6000      10.0
19990712                11.0        10.5000      10.0
19990712                13.0         9.6000      10.0
19990712                15.0         8.9000      10.0
19990712                17.0         8.4000      10.0
19990712                19.0         8.2000      10.0
19990712                21.0         8.0000      10.0
19990712                23.0         7.9000      10.0
19990712                25.0         7.8000      10.0
19990809                 1.0        24.2000      10.0
19990809                 3.0        24.2000      10.0
19990809                 5.0        24.1000      10.0
19990809                 7.0        19.0000      10.0
19990809                 9.0        13.1000      10.0
19990809                11.0        10.8000      10.0
19990809                13.0         9.6000      10.0
19990809                15.0         9.0000      10.0
19990809                17.0         8.6000      10.0
19990809                19.0         8.2000      10.0
19990809                21.0         8.0000      10.0
19990809                23.0         7.9000      10.0
19990809                25.0         7.7000      10.0
20000215                 1.0         1.6000      10.0
20000215                 3.0         1.6000      10.0
20000215                 5.0         1.6000      10.0
20000215                 7.0         1.7000      10.0
20000215                 9.0         1.7000      10.0
20000215                11.0         1.7000      10.0
20000215                13.0         1.7000      10.0
20000215                15.0         1.8000      10.0
20000215                17.0         1.8000      10.0
20000215                19.0         1.8000      10.0
20000215                21.0         1.8000      10.0
20000215                23.0         1.8000      10.0
20000215                25.0         1.9000      10.0
20000412                 1.0         6.1000      10.0
20000412                 3.0         6.1000      10.0
20000412                 5.0         6.1000      10.0
20000412                 7.0         6.1000      10.0
20000412                 9.0         6.1000      10.0
20000412                11.0         6.1000      10.0
20000412                13.0         6.1000      10.0
20000412                15.0         6.0000      10.0
20000412                17.0         6.0000      10.0
20000412                19.0         6.0000      10.0
20000412                21.0         6.0000      10.0
20000412                23.0         6.0000      10.0
20000412                25.0         6.0000      10.0
20000615                 0.0        20.1000      10.0
20000615                 1.0        20.1000      10.0
20000615                 3.0        20.1000      10.0
20000615                 5.0        19.9000      10.0
20000615                 7.0        15.0000      10.0
20000615                 9.0        11.5000      10.0
20000615                11.0         9.3000      10.0
20000615                13.0         8.6000      10.0
20000615                15.0         7.8000      10.0
20000615                17.0         7.5000      10.0
20000615                19.0         7.4000      10.0
20000615                21.0         7.2000      10.0
20000615                23.0         7.1000      10.0
20000615                25.0         7.0000      10.0
20000712                 0.0        23.8000      10.0
20000712                 1.0        23.8000      10.0
20000712                 3.0        23.8000      10.0
20000712                 5.0        22.6000      10.0
20000712                 7.0        18.4000      10.0
20000712                 9.0        11.9000      10.0
20000712                11.0         9.6000      10.0
20000712                13.0         8.8000      10.0
20000712                15.0         8.1000      10.0
20000712                17.0         7.7000      10.0
20000712                19.0         7.3000      10.0
20000712                21.0         7.2000      10.0
20000712                23.0         7.1000      10.0
20000712                25.0         7.0000      10.0
20000816                 0.0        25.3000      10.0
20000816                 1.0        25.3000      10.0
20000816                 3.0        25.3000      10.0
20000816                 5.0        25.2000      10.0
20000816                 7.0        20.5000      10.0
20000816                 9.0        12.9000      10.0
20000816                11.0         9.8000      10.0
20000816                13.0         8.7000      10.0
20000816                15.0         8.2000      10.0
20000816                17.0         7.7000      10.0
20000816                19.0         7.5000      10.0
20000816                21.0         7.3000      10.0
20000816                23.0         7.2000      10.0
20000816                25.0         7.1000      10.0
20010214                 3.0         2.5000      10.0
20010214                 5.0         2.5000      10.0
20010214                 7.0         2.5000      10.0
20010214                 9.0         2.4000      10.0
20010214                11.0         2.4000      10.0
20010214                13.0         2.3000      10.0
20010214                15.0         2.4000      10.0
20010214                17.0         2.3000      10.0
20010214                19.0         2.4000      10.0
20010214                21.0         2.4000      10.0
20010214                23.0         2.5000      10.0
20010214                25.0         2.6000      10.0
20010424                 0.0         8.5000      10.0
20010424                 1.0         8.5000      10.0
20010424                 3.0         8.4000      10.0
20010424                 5.0         8.4000      10.0
20010424                 7.0         8.4000      10.0
20010424                 9.0         8.4000      10.0
20010424                11.0         8.3000      10.0
20010424                13.0         8.3000      10.0
20010424                15.0         8.1000      10.0
20010424                17.0         7.7000      10.0
20010424                19.0         7.0000      10.0
20010424                21.0         6.8000      10.0
20010424                23.0         6.7000      10.0
20010424                25.0         6.3000      10.0
20010620                 0.0        22.4000      10.0
20010620                 1.0        22.4000      10.0
20010620                 3.0        22.0000      10.0
20010620                 5.0        19.2000      10.0
20010620                 7.0        15.4000      10.0
20010620                 9.0        12.6000      10.0
20010620                11.0        10.2000      10.0
20010620                13.0         9.2000      10.0
20010620                15.0         8.5000      10.0
20010620                17.0         7.8000      10.0
20010620                19.0         7.4000      10.0
20010620                21.0         7.3000      10.0
20010620                23.0         7.0000      10.0
20010620                25.0         6.9000      10.0
20010821                 0.0        23.2000      10.0
20010821                 1.0        23.1000      10.0
20010821                 3.0        23.1000      10.0
20010821                 5.0        22.7000      10.0
20010821                 7.0        17.4000      10.0
20010821                 9.0        13.2000      10.0
20010821                11.0        10.3000      10.0
20010821                13.0         9.4000      10.0
20010821                15.0         8.6000      10.0
20010821                17.0         8.1000      10.0
20010821                19.0         7.5000      10.0
20010821                21.0         7.4000      10.0
20010821                23.0         7.1000      10.0
20010821                25.0         6.9000      10.0
20020417                 0.0        10.0000      10.0
20020417                 1.0        10.0000      10.0
20020417                 3.0         9.2000      10.0
20020417                 5.0         8.3000      10.0
20020417                 7.0         6.7000      10.0
20020417                 9.0         6.4000      10.0
20020417                11.0         5.8000      10.0
20020417                13.0         5.3000      10.0
20020417                15.0         4.9000      10.0
20020417                17.0         4.8000      10.0
20020417                19.0         4.8000      10.0
20020417                21.0         4.7000      10.0
20020417                23.0         4.3000      10.0
20020417                25.0         4.2000      10.0
20020611                 0.0        22.1000      10.0
20020611                 1.0        22.1000      10.0
20020611                 3.0        22.0000      10.0
20020611                 5.0        17.0000      10.0
20020611                 7.0        14.5000      10.0
20020611                 9.0        12.3000      10.0
20020611                11.0        11.2000      10.0
20020611                13.0        10.5000      10.0
20020611                15.0         9.9000      10.0
20020611                17.0         7.9000      10.0
20020611                19.0         6.7000      10.0
20020611                21.0         6.4000      10.0
20020611                23.0         6.1000      10.0
20020611                25.0         5.9000      10.0
20020709                 0.0        27.4000      10.0
20020709                 1.0        27.4000      10.0
20020709                 3.0        27.3000      10.0
20020709                 5.0        22.3000      10.0
20020709                 7.0        14.2000      10.0
20020709                 9.0        12.4000      10.0
20020709                11.0        11.8000      10.0
20020709                13.0        11.0000      10.0
20020709                15.0         9.8000      10.0
20020709                17.0         8.5000      10.0
20020709                19.0         7.1000      10.0
20020709                21.0         6.7000      10.0
20020709                23.0         6.4000      10.0
20020709                25.0         6.1000      10.0
20020808                 0.0        25.7000      10.0
20020808                 1.0        25.3000      10.0
20020808                 3.0        24.9000      10.0
20020808                 5.0        24.7000      10.0
20020808                 7.0        17.0000      10.0
20020808                 9.0        13.1000      10.0
20020808                11.0        11.6000      10.0
20020808                13.0        10.7000      10.0
20020808                15.0         9.8000      10.0
20020808                17.0         8.5000      10.0
20020808                19.0         7.2000      10.0
20020808                21.0         6.6000      10.0
20020808                23.0         6.4000      10.0
20020808                25.0         6.2000      10.0
20030611                 0.0        18.6000      10.0
20030611                 1.0        18.6000      10.0
20030611                 3.0        18.6000      10.0
20030611                 5.0        18.6000      10.0
20030611                 7.0        14.3000      10.0
20030611                 9.0        12.5000      10.0
20030611                11.0        11.2000      10.0
20030611                13.0        10.3000      10.0
20030611                15.0         9.2000      10.0
20030611                17.0         7.7000      10.0
20030611                19.0         7.1000      10.0
20030611                21.0         6.7000      10.0
20030611                23.0         6.5000      10.0
20030611                25.0         6.3000      10.0
20030708                 0.0        25.7000      10.0
20030708                 1.0        25.7000      10.0
20030708                 3.0        25.7000      10.0
20030708                 5.0        23.5000      10.0
20030708                 7.0        16.3000      10.0
20030708                 9.0        12.6000      10.0
20030708                11.0        11.1000      10.0
20030708                13.0        10.2000      10.0
20030708                15.0         9.6000      10.0
20030708                17.0         8.4000      10.0
20030708                19.0         7.2000      10.0
20030708                21.0         6.9000      10.0
20030708                23.0         6.7000      10.0
20030708                25.0         6.5000      10.0
20030819                 0.0        25.4000      10.0
20030819                 1.0        25.4000      10.0
20030819                 3.0        25.4000      10.0
20030819                 5.0        24.0000      10.0
20030819                 7.0        20.2000      10.0
20030819                 9.0        13.5000      10.0
20030819                11.0        11.1000      10.0
20030819                13.0        10.3000      10.0
20030819                15.0         9.6000      10.0
20030819                17.0         8.4000      10.0
20030819                19.0         7.3000      10.0
20030819                21.0         6.7000      10.0
20030819                23.0         6.7000      10.0
20030819                25.0         6.6000      10.0
20040608                 0.0        21.7000      10.0
20040608                 1.0        21.7000      10.0
20040608                 3.0        19.5000      10.0
20040608                 5.0        16.7000      10.0
20040608                 7.0        15.4000      10.0
20040608                 9.0        12.2000      10.0
20040608                11.0        11.2000      10.0
20040608                13.0        10.8000      10.0
20040608                15.0        10.1000      10.0
20040608                17.0         8.9000      10.0
20040608                19.0         7.7000      10.0
20040608                21.0         7.0000      10.0
20040608                23.0         6.7000      10.0
20040608                25.0         6.5000      10.0
20040715                 0.0        24.3000      10.0
20040715                 1.0        24.3000      10.0
20040715                 3.0        24.1000      10.0
20040715                 5.0        21.5000      10.0
20040715                 7.0        17.0000      10.0
20040715                 9.0        13.4000      10.0
20040715                11.0        11.6000      10.0
20040715                13.0        10.6000      10.0
20040715                15.0         9.9000      10.0
20040715                17.0         8.3000      10.0
20040715                19.0         7.5000      10.0
20040715                21.0         7.1000      10.0
20040715                23.0         6.8000      10.0
20040715                25.0         6.7000      10.0
20040817                 0.0        21.5000      10.0
20040817                 1.0        21.4000      10.0
20040817                 3.0        20.6000      10.0
20040817                 5.0        20.4000      10.0
20040817                 7.0        19.6000      10.0
20040817                 9.0        13.5000      10.0
20040817                11.0        11.5000      10.0
20040817                13.0        10.6000      10.0
20040817                15.0         9.8000      10.0
20040817                17.0         8.6000      10.0
20040817                19.0         7.8000      10.0
20040817                21.0         7.1000      10.0
20040817                23.0         6.9000      10.0
20040817                25.0         6.7000      10.0
20050216                 1.0         1.9000      10.0
20050216                 3.0         1.9000      10.0
20050216                 5.0         1.9000      10.0
20050216                 7.0         1.9000      10.0
20050216                 9.0         1.8000      10.0
20050216                11.0         1.8000      10.0
20050216                13.0         1.9000      10.0
20050216                15.0         1.9000      10.0
20050216                17.0         1.9000      10.0
20050216                19.0         1.9000      10.0
20050216                21.0         1.9000      10.0
20050216                23.0         2.0000      10.0
20050608                 0.0        23.9000      10.0
20050608                 1.0        23.6000      10.0
20050608                 3.0        21.1000      10.0
20050608                 5.0        15.2000      10.0
20050608                 7.0        12.5000      10.0
20050608                 9.0        10.8000      10.0
20050608                11.0         9.2000      10.0
20050608                13.0         8.3000      10.0
20050608                15.0         7.6000      10.0
20050608                17.0         6.8000      10.0
20050608                19.0         6.2000      10.0
20050608                21.0         5.5000      10.0
20050608                23.0         5.2000      10.0
20050608                25.0         4.9000      10.0
20050714                 0.0        26.7000      10.0
20050714                 1.0        26.5000      10.0
20050714                 3.0        25.3000      10.0
20050714                 5.0        18.0000      10.0
20050714                 7.0        12.6000      10.0
20050714                 9.0        10.1000      10.0
20050714                11.0         8.7000      10.0
20050714                13.0         7.8000      10.0
20050714                15.0         6.7000      10.0
20050714                17.0         5.7000      10.0
20050714                19.0         5.4000      10.0
20050714                21.0         5.2000      10.0
20050714                23.0         5.0000      10.0
20050714                25.0         4.9000      10.0
20050824                 0.0        23.4000      10.0
20050824                 1.0        23.4000      10.0
20050824                 3.0        23.4000      10.0
20050824                 5.0        22.9000      10.0
20050824                 7.0        13.6000      10.0
20050824                 9.0        10.2000      10.0
20050824                11.0         8.7000      10.0
20050824                13.0         7.8000      10.0
20050824                15.0         6.9000      10.0
20050824                17.0         5.9000      10.0
20050824                19.0         5.5000      10.0
20050824                21.0         5.3000      10.0
20050824                23.0         5.2000      10.0
20050824                25.0         5.0000      10.0
20060410                 0.0         6.2000      10.0
20060410                 1.0         6.1000      10.0
20060410                 3.0         5.9000      10.0
20060410                 5.0         5.9000      10.0
20060410                 7.0         5.6000      10.0
20060410                 9.0         5.6000      10.0
20060410                11.0         5.5000      10.0
20060410                13.0         5.5000      10.0
20060410                15.0         5.5000      10.0
20060410                17.0         5.4000      10.0
20060410                19.0         5.4000      10.0
20060410                21.0         5.4000      10.0
20060410                23.0         5.3000      10.0
20060410                25.0         5.3000      10.0
20060613                 0.0        21.4000      10.0
20060613                 1.0        20.9000      10.0
20060613                 3.0        20.6000      10.0
20060613                 5.0        16.9000      10.0
20060613                 7.0        13.8000      10.0
20060613                 9.0        12.5000      10.0
20060613                11.0        10.9000      10.0
20060613                13.0         9.5000      10.0
20060613                15.0         7.9000      10.0
20060613                17.0         6.8000      10.0
20060613                19.0         6.5000      10.0
20060613                21.0         6.4000      10.0
20060613                23.0         6.3000      10.0
20060613                25.0         6.2000      10.0
20060725                 0.0        25.9000      10.0
20060725                 1.0        25.9000      10.0
20060725                 3.0        25.8000      10.0
20060725                 5.0        21.5000      10.0
20060725                 7.0        14.5000      10.0
20060725                 9.0        12.1000      10.0
20060725                11.0        10.7000      10.0
20060725                13.0         9.3000      10.0
20060725                15.0         7.9000      10.0
20060725                17.0         6.9000      10.0
20060725                19.0         6.5000      10.0
20060725                21.0         6.4000      10.0
20060725                23.0         6.2000      10.0
20060725                25.0         6.1000      10.0
20060829                 0.0        23.6000      10.0
20060829                 1.0        23.4000      10.0
20060829                 3.0        23.1000      10.0
20060829                 5.0        23.1000      10.0
20060829                 7.0        16.6000      10.0
20060829                 9.0        12.3000      10.0
20060829                11.0        10.5000      10.0
20060829                13.0         9.5000      10.0
20060829                15.0         8.0000      10.0
20060829                17.0         7.0000      10.0
20060829                19.0         6.6000      10.0
20060829                21.0         6.5000      10.0
20060829                23.0         6.3000      10.0
20080423                 0.0        11.7000      10.0
20080423                 1.0         9.8000      10.0
20080423                 3.0         6.9000      10.0
20080423                 5.0         6.0000      10.0
20080423                 7.0         5.6000      10.0
20080423                 9.0         5.4000      10.0
20080423                11.0         5.3000      10.0
20080423                13.0         5.0000      10.0
20080423                15.0         5.0000      10.0
20080423                17.0         4.8000      10.0
20080423                19.0         4.8000      10.0
20080423                21.0         4.8000      10.0
20080423                23.0         4.7000      10.0
20080423                25.0         4.7000      10.0
20080624                 0.0        23.1000      10.0
20080624                 1.0        22.7000      10.0
20080624                 3.0        21.2000      10.0
20080624                 5.0        20.3000      10.0
20080624                 7.0        17.0000      10.0
20080624                 9.0        12.5000      10.0
20080624                11.0         9.4000      10.0
20080624                13.0         8.2000      10.0
20080624                15.0         7.1000      10.0
20080624                17.0         6.3000      10.0
20080624                19.0         5.9000      10.0
20080624                21.0         5.6000      10.0
20080624                23.0         5.6000      10.0
20080624                25.0         5.3000      10.0
20080724                 0.0        25.8000      10.0
20080724                 1.0        25.4000      10.0
20080724                 3.0        25.1000      10.0
20080724                 5.0        22.6000      10.0
20080724                 7.0        17.2000      10.0
20080724                 9.0        12.6000      10.0
20080724                11.0         9.5000      10.0
20080724                13.0         8.6000      10.0
20080724                15.0         7.3000      10.0
20080724                17.0         6.7000      10.0
20080724                19.0         6.1000      10.0
20080724                21.0         6.0000      10.0
20080724                23.0         5.7000      10.0
20080724                25.0         5.6000      10.0
20080825                 0.0        23.7000      10.0
20080825                 1.0        23.7000      10.0
20080825                 3.0        23.6000      10.0
20080825                 5.0        23.2000      10.0
20080825                 7.0        16.2000      10.0
20080825                 9.0        11.9000      10.0
20080825                11.0        10.1000      10.0
20080825                13.0         8.3000      10.0
20080825                15.0         7.1000      10.0
20080825                17.0         6.4000      10.0
20080825                19.0         6.1000      10.0
20080825                21.0         6.0000      10.0
20080825                23.0         5.8000      10.0
20080825                25.0         5.6000      10.0
20100408                 0.0         7.8000      10.0
20100408                 1.0         7.8000      10.0
20100408                 3.0         7.8000      10.0
20100408                 5.0         7.8000      10.0
20100408                 7.0         7.8000      10.0
20100408                 9.0         7.8000      10.0
20100408                11.0         7.8000      10.0
20100408                13.0         7.8000      10.0
20100408                15.0         7.8000      10.0
20100408                17.0         7.7000      10.0
20100408                19.0         5.4000      10.0
20100408                21.0         5.2000      10.0
20100408                23.0         5.0000      10.0
20100408                25.0         5.0000      10.0
20100624                 0.0        24.8000      10.0
20100624                 1.0        24.3000      10.0
20100624                 3.0        23.7000      10.0
20100624                 5.0        16.4000      10.0
20100624                 7.0        13.9000      10.0
20100624                 9.0        13.0000      10.0
20100624                11.0        12.1000      10.0
20100624                13.0        11.1000      10.0
20100624                15.0         9.8000      10.0
20100624                17.0         8.2000      10.0
20100624                19.0         6.8000      10.0
20100624                21.0         6.6000      10.0
20100624                23.0         6.5000      10.0
20100624                25.0         6.2000      10.0
20100727                 0.0        26.8000      10.0
20100727                 1.0        26.5000      10.0
20100727                 3.0        26.0000      10.0
20100727                 5.0        24.5000      10.0
20100727                 7.0        15.7000      10.0
20100727                 9.0        12.8000      10.0
20100727                11.0        11.2000      10.0
20100727                13.0        10.4000      10.0
20100727                15.0         9.2000      10.0
20100727                17.0         7.7000      10.0
20100727                19.0         6.9000      10.0
20100727                21.0         6.6000      10.0
