Observation #: 1076
-----------------------------------------------------
Time(YYYYMMDD)     Depth(m) Value(celsius)    Std(%)
20120326                 0.0         0.3000      10.0
20120326                 1.0         1.4000      10.0
20120326                 2.0         1.6000      10.0
20120326                 3.0         1.7000      10.0
20120326                 4.0         1.8000      10.0
20120326                 5.0         1.9000      10.0
20120326                 6.0         1.9000      10.0
20120326                 7.0         1.9000      10.0
20120326                 8.0         2.0000      10.0
20120326                 9.0         2.0000      10.0
20120326                10.0         2.0000      10.0
20120326                11.0         2.0000      10.0
20120326                12.0         2.1000      10.0
20120326                13.0         2.1000      10.0
20120326                14.0         2.1000      10.0
20120326                15.0         2.1000      10.0
20120326                16.0         2.1000      10.0
20120326                17.0         2.1000      10.0
20120326                18.0         2.2000      10.0
20120326                19.0         2.2000      10.0
20120326                20.0         2.2000      10.0
20120326                25.0         2.3000      10.0
20120326                30.0         2.3000      10.0
20120326                35.0         2.3000      10.0
20120326                40.0         2.4000      10.0
20120326                45.0         2.4000      10.0
20120326                50.0         2.5000      10.0
20120326                55.0         2.6000      10.0
20120326                60.0         2.6000      10.0
20120326                65.0         2.7000      10.0
20120515                 0.0         6.1000      10.0
20120515                 1.0         6.0000      10.0
20120515                 2.0         5.9000      10.0
20120515                 3.0         5.9000      10.0
20120515                 4.0         5.9000      10.0
20120515                 5.0         5.9000      10.0
20120515                 6.0         5.8000      10.0
20120515                 7.0         5.8000      10.0
20120515                 8.0         5.8000      10.0
20120515                 9.0         5.8000      10.0
20120515                10.0         5.7000      10.0
20120515                11.0         5.7000      10.0
20120515                12.0         5.7000      10.0
20120515                13.0         5.5000      10.0
20120515                14.0         5.5000      10.0
20120515                15.0         5.4000      10.0
20120515                16.0         5.4000      10.0
20120515                17.0         5.4000      10.0
20120515                18.0         5.3000      10.0
20120515                19.0         5.3000      10.0
20120515                20.0         5.3000      10.0
20120515                25.0         5.3000      10.0
20120515                30.0         5.2000      10.0
20120515                35.0         4.9000      10.0
20120515                40.0         4.8000      10.0
20120515                45.0         4.7000      10.0
20120515                50.0         4.6000      10.0
20120515                55.0         4.6000      10.0
20120515                60.0         4.5000      10.0
20120515                65.0         4.5000      10.0
20120611                 0.0        14.5000      10.0
20120611                 1.0        13.7000      10.0
20120611                 2.0        13.6000      10.0
20120611                 3.0        13.5000      10.0
20120611                 4.0        12.7000      10.0
20120611                 5.0        12.2000      10.0
20120611                 6.0        11.5000      10.0
20120611                 7.0        10.1000      10.0
20120611                 8.0         9.0000      10.0
20120611                 9.0         8.4000      10.0
20120611                10.0         8.0000      10.0
20120611                11.0         8.0000      10.0
20120611                12.0         7.8000      10.0
20120611                13.0         7.7000      10.0
20120611                14.0         7.7000      10.0
20120611                15.0         7.6000      10.0
20120611                16.0         7.5000      10.0
20120611                17.0         7.2000      10.0
20120611                18.0         7.1000      10.0
20120611                19.0         7.0000      10.0
20120611                20.0         6.7000      10.0
20120611                25.0         5.7000      10.0
20120611                30.0         5.3000      10.0
20120611                35.0         5.0000      10.0
20120611                40.0         4.9000      10.0
20120611                45.0         4.9000      10.0
