Observation #: 19240
-------------------------------------------------------
Time(YYYYMMDD)     Depth(m)  Value(celsius)     Std(%)
19631021                 0.0         18.8000       10.0
19631021                 1.0         18.8000       10.0
19631021                 2.0         17.5000       10.0
19631021                 3.0         17.5000       10.0
19631021                 4.0         17.2000       10.0
19631021                 5.0         17.2000       10.0
19631021                 6.0         15.5000       10.0
19631021                 7.0         15.5000       10.0
19631021                 8.0         15.5000       10.0
19631021                 9.0         15.5000       10.0
19631021                10.0         15.5000       10.0
19631021                11.0         15.5000       10.0
19631021                12.0         15.1000       10.0
19631021                13.0         15.1000       10.0
19631021                14.0         15.1000       10.0
19631021                15.0         15.1000       10.0
19631021                16.0         14.7000       10.0
19631021                17.0         14.7000       10.0
19631021                18.0         14.7000       10.0
19631021                19.0         14.7000       10.0
19631021                20.0         14.7000       10.0
19631021                21.0         14.7000       10.0
19631021                22.0         14.7000       10.0
19631021                23.0         14.7000       10.0
19631021                24.0         14.7000       10.0
19631021                25.0         14.7000       10.0
19631021                26.0         14.7000       10.0
19631021                27.0         14.7000       10.0
19631021                28.0         14.7000       10.0
19631021                29.0         14.7000       10.0
19631021                30.0         14.7000       10.0
19631021                31.0         14.7000       10.0
19631021                32.0         14.7000       10.0
19631021                33.0         14.7000       10.0
19631021                34.0         14.7000       10.0
19631021                35.0         14.7000       10.0
19631021                36.0         14.7000       10.0
19631021                37.0         14.7000       10.0
19631021                38.0         14.7000       10.0
19631021                39.0         14.7000       10.0
19631021                40.0         14.7000       10.0
19631021                41.0         14.7000       10.0
19631021                42.0         14.7000       10.0
19631021                43.0         14.7000       10.0
19631021                44.0         14.7000       10.0
19631021                45.0         14.7000       10.0
19631021                46.0         14.7000       10.0
19631021                47.0         14.7000       10.0
19631021                48.0         14.7000       10.0
19631021                49.0         14.7000       10.0
19631021                50.0         14.7000       10.0
19631119                 2.0         14.5000       10.0
19631119                 3.0         14.5000       10.0
19631119                 4.0         14.5000       10.0
19631119                 5.0         14.5000       10.0
19631119                 6.0         14.5000       10.0
19631119                 7.0         14.5000       10.0
19631119                 8.0         14.5000       10.0
19631119                 9.0         14.5000       10.0
19631119                10.0         14.5000       10.0
19631119                11.0         14.5000       10.0
19631119                12.0         14.5000       10.0
19631119                13.0         14.5000       10.0
19631119                14.0         14.5000       10.0
19631119                15.0         14.5000       10.0
19631119                16.0         14.5000       10.0
19631119                17.0         14.5000       10.0
19631119                18.0         14.5000       10.0
19631119                19.0         14.5000       10.0
19631119                20.0         14.5000       10.0
19631119                21.0         14.5000       10.0
19631119                22.0         14.5000       10.0
19631119                23.0         13.9000       10.0
19631119                24.0         13.9000       10.0
19631119                25.0         13.9000       10.0
19631119                26.0         13.2000       10.0
19631119                27.0         13.2000       10.0
19631119                28.0         12.5000       10.0
19631119                29.0         12.5000       10.0
19631119                30.0         12.5000       10.0
19631119                31.0         12.5000       10.0
19631119                32.0         12.5000       10.0
19631119                33.0         12.5000       10.0
19631119                34.0         12.5000       10.0
19631119                35.0         12.5000       10.0
19631119                36.0         12.5000       10.0
19631119                37.0         12.5000       10.0
19631119                38.0         12.5000       10.0
19631119                39.0         12.5000       10.0
19631119                40.0         12.5000       10.0
19631119                41.0         12.5000       10.0
19631119                42.0         12.5000       10.0
19631119                43.0         12.5000       10.0
19631119                44.0         12.5000       10.0
19631119                45.0         12.5000       10.0
19631119                46.0         12.5000       10.0
19631119                47.0         12.5000       10.0
19631119                48.0         12.5000       10.0
19631119                49.0         12.5000       10.0
19631119                50.0         12.5000       10.0
19640127                 0.0          2.9000       10.0
19640127                 1.0          2.9000       10.0
19640127                 2.0          2.9000       10.0
19640127                 3.0          2.9000       10.0
19640127                 4.0          2.9000       10.0
19640127                 5.0          2.9000       10.0
19640127                 6.0          2.9000       10.0
19640127                 7.0          2.9000       10.0
19640127                 8.0          2.9000       10.0
19640127                 9.0          2.9000       10.0
19640127                10.0          2.9000       10.0
19640127                11.0          2.9000       10.0
19640127                12.0          2.9000       10.0
19640127                13.0          2.9000       10.0
19640127                14.0          2.6000       10.0
19640127                15.0          2.6000       10.0
19640127                16.0          2.6000       10.0
19640127                17.0          2.6000       10.0
19640127                18.0          2.6000       10.0
19640127                19.0          2.6000       10.0
19640127                20.0          2.6000       10.0
19640127                21.0          2.6000       10.0
19640127                22.0          2.6000       10.0
19640127                23.0          2.6000       10.0
19640127                24.0          2.4000       10.0
19640127                25.0          2.4000       10.0
19640127                26.0          2.4000       10.0
19640127                27.0          2.4000       10.0
19640127                28.0          2.4000       10.0
19640127                29.0          2.4000       10.0
19640127                30.0          2.4000       10.0
19640127                31.0          2.4000       10.0
19640127                32.0          2.4000       10.0
19640127                33.0          2.4000       10.0
19640127                34.0          2.4000       10.0
19640127                35.0          2.4000       10.0
19640127                36.0          2.4000       10.0
19640127                37.0          2.4000       10.0
19640127                38.0          2.4000       10.0
19640127                39.0          2.4000       10.0
19640127                40.0          2.4000       10.0
19640127                41.0          2.4000       10.0
19640127                42.0          2.4000       10.0
19640127                43.0          2.4000       10.0
19640127                44.0          2.4000       10.0
19640127                45.0          2.4000       10.0
19640127                46.0          2.4000       10.0
19640127                47.0          2.4000       10.0
19640127                48.0          2.4000       10.0
19640127                49.0          2.4000       10.0
19640127                50.0          2.4000       10.0
19640306                 0.0          7.4000       10.0
19640306                10.0          6.9000       10.0
19640306                17.0          6.9000       10.0
19640306                25.0          3.1000       10.0
19640306                30.0          2.4000       10.0
19640306                35.0          2.4000       10.0
19640306                40.0          2.4000       10.0
19640307                 0.0          7.4000       10.0
19640307                 1.0          7.4000       10.0
19640307                 2.0          7.4000       10.0
19640307                 3.0          7.4000       10.0
19640307                 4.0          7.4000       10.0
19640307                 5.0          7.4000       10.0
19640307                 6.0          7.4000       10.0
19640307                 7.0          7.3000       10.0
19640307                 8.0          7.3000       10.0
19640307                 9.0          6.9000       10.0
19640307                10.0          6.9000       10.0
19640307                11.0          6.9000       10.0
19640307                12.0          6.6000       10.0
19640307                13.0          6.6000       10.0
19640307                14.0          6.6000       10.0
19640307                15.0          6.6000       10.0
19640307                16.0          6.6000       10.0
19640307                17.0          6.6000       10.0
19640307                18.0          6.6000       10.0
19640307                19.0          6.6000       10.0
19640307                20.0          5.7000       10.0
19640307                21.0          5.7000       10.0
19640307                22.0          5.6000       10.0
19640307                23.0          4.6000       10.0
19640307                24.0          3.8000       10.0
19640307                25.0          3.1000       10.0
19640307                26.0          3.1000       10.0
19640307                27.0          3.1000       10.0
19640307                28.0          3.1000       10.0
19640307                29.0          2.5000       10.0
19640307                30.0          2.5000       10.0
19640307                31.0          2.5000       10.0
19640307                32.0          2.5000       10.0
19640307                33.0          2.5000       10.0
19640307                34.0          2.5000       10.0
19640307                35.0          2.5000       10.0
19640307                36.0          2.5000       10.0
19640307                37.0          2.5000       10.0
19640307                38.0          2.5000       10.0
19640307                39.0          2.5000       10.0
19640307                40.0          2.5000       10.0
19640307                41.0          2.5000       10.0
19640307                42.0          2.5000       10.0
19640307                43.0          2.5000       10.0
19640307                44.0          2.5000       10.0
19640307                45.0          2.5000       10.0
19640307                46.0          2.5000       10.0
19640307                47.0          2.5000       10.0
19640307                48.0          2.5000       10.0
19640307                49.0          2.5000       10.0
19640307                50.0          2.5000       10.0
