Observation #: 11074
--------------------------------------------------------------------
  Time(YYYYMMDD)   Depth(m)  Value(celsius)    Std(%)
         19810604          0            18.9        10
         19810604          1            17.6        10
         19810604          2            17.2        10
         19810604          3            17.1        10
         19810604          4            16.9        10
         19810604          5            14.6        10
         19810604          6            11.3        10
         19810604          7            10.3        10
         19810604          8             9.4        10
         19810604          9               9        10
         19810604         10             8.6        10
         19810604         11             8.1        10
         19810604         12             7.7        10
         19810604         13             7.3        10
         19810604         14             6.9        10
         19810604         15             6.6        10
         19810604         16             6.4        10
         19810604         17             6.3        10
         19810604         18             6.3        10
         19810604         19             6.3        10
         19810616          0            18.9        10
         19810616          1            18.9        10
         19810616          2            18.9        10
         19810616          3            18.8        10
         19810616          4            18.7        10
         19810616          5            18.3        10
         19810616          6              15        10
         19810616          7            11.6        10
         19810616          8            10.4        10
         19810616          9             9.5        10
         19810616         10             8.6        10
         19810616         11               8        10
         19810616         12             7.6        10
         19810616         13             7.1        10
         19810616         14             6.9        10
         19810616         15             6.6        10
         19810616         16             6.6        10
         19810616         17             6.4        10
         19810616         18             6.4        10
         19810616         19             6.3        10
         19810616         20             6.3        10
         19810630          0            20.7        10
         19810630          1            20.5        10
         19810630          2            20.4        10
         19810630          3              20        10
         19810630          4            19.8        10
         19810630          5            19.5        10
         19810630          6              18        10
         19810630          7            13.8        10
         19810630          8            11.2        10
         19810630          9              10        10
         19810630         10             9.3        10
         19810630         11             8.5        10
         19810630         12               8        10
         19810630         13             7.6        10
         19810630         14             7.2        10
         19810630         15             6.9        10
         19810630         16             6.8        10
         19810630         17             6.7        10
         19810630         18             6.7        10
         19810630         19             6.6        10
         19810630         20             6.5        10
         19810716          0            23.6        10
         19810716          1            23.3        10
         19810716          2              23        10
         19810716          3            22.9        10
         19810716          4            22.9        10
         19810716          5            21.7        10
         19810716          6            18.5        10
         19810716          7            15.5        10
         19810716          8            11.9        10
         19810716          9            10.4        10
         19810716         10             9.5        10
         19810716         11             8.7        10
         19810716         12             8.1        10
         19810716         13             7.6        10
         19810716         14             7.2        10
         19810716         15             6.9        10
         19810716         16             6.8        10
         19810716         17             6.7        10
         19810716         18             6.6        10
         19810716         19             6.4        10
         19810716         20             6.3        10
         19810727          0            21.9        10
         19810727          1            21.9        10
         19810727          2            21.7        10
         19810727          3            21.4        10
         19810727          4            21.3        10
         19810727          5            21.3        10
         19810727          6            21.1        10
         19810727          7            16.1        10
         19810727          8            12.5        10
         19810727          9            10.8        10
         19810727         10             9.7        10
         19810727         11             8.8        10
         19810727         12             8.1        10
         19810727         13             7.8        10
         19810727         14             7.4        10
         19810727         15               7        10
         19810727         16             6.8        10
         19810727         17             6.7        10
         19810727         18             6.6        10
         19810727         19             6.4        10
         19810811          0            22.8        10
         19810811          1            22.2        10
         19810811          2            22.1        10
         19810811          3              22        10
         19810811          4            21.9        10
         19810811          5            21.9        10
         19810811          6            21.5        10
         19810811          7            17.4        10
         19810811          8            13.7        10
         19810811          9            11.3        10
         19810811         10            10.2        10
         19810811         11             9.1        10
         19810811         12             8.4        10
         19810811         13             7.9        10
         19810811         14             7.5        10
         19810811         15             7.2        10
         19810811         16               7        10
         19810811         17             6.8        10
         19810811         18             6.6        10
         19810811         19             6.5        10
         19810825          0            22.1        10
         19810825          1              22        10
         19810825          2            21.8        10
         19810825          3            21.8        10
         19810825          4            21.7        10
         19810825          5            21.6        10
         19810825          6            21.2        10
         19810825          7            20.3        10
         19810825          8            14.9        10
         19810825          9            12.2        10
