Observation #: 9738
-------------------------------------------------------
Time(YYYYMMDD)     Depth(m)  Value(celsius)     Std(%)
19960214                 0.0          1.0000       10.0
19960214                 1.0          2.1000       10.0
19960214                 2.0          2.5000       10.0
19960214                 3.0          2.7000       10.0
19960214                 5.0          3.0000       10.0
19960214                10.0          3.4000       10.0
19960214                20.0          3.5000       10.0
19960214                30.0          3.7000       10.0
19960214                40.0          4.0000       10.0
19960214                50.0          4.0000       10.0
19960214                60.0          4.1000       10.0
19960214                65.0          4.2000       10.0
19960214                66.0          4.2000       10.0
19960419                 0.0          7.0000       10.0
19960419                 1.0          6.7000       10.0
19960419                 2.0          6.4000       10.0
19960419                 3.0          6.3000       10.0
19960419                 4.0          5.8000       10.0
19960419                 5.0          5.3000       10.0
19960419                 6.0          5.2000       10.0
19960419                 7.0          5.1000       10.0
19960419                 8.0          4.9000       10.0
19960419                 9.0          4.9000       10.0
19960419                10.0          4.7000       10.0
19960419                15.0          4.4000       10.0
19960419                20.0          4.2000       10.0
19960419                25.0          4.1000       10.0
19960419                30.0          4.0000       10.0
19960419                35.0          4.0000       10.0
19960419                40.0          3.9000       10.0
19960419                45.0          3.8000       10.0
19960419                50.0          3.8000       10.0
19960419                55.0          3.8000       10.0
19960419                60.0          3.8000       10.0
19960419                65.0          3.8000       10.0
19960419                66.0          3.8000       10.0
19960419                67.0          3.8000       10.0
19960510                 0.0          8.6000       10.0
19960510                 5.0          8.6000       10.0
19960510                 8.0          7.1000       10.0
19960510                 9.0          6.7000       10.0
19960510                10.0          6.6000       10.0
19960510                13.0          5.5000       10.0
19960510                15.0          5.1000       10.0
19960510                20.0          4.6000       10.0
19960510                25.0          4.5000       10.0
19960510                30.0          4.4000       10.0
19960510                40.0          4.4000       10.0
19960510                50.0          4.3000       10.0
19960510                60.0          4.3000       10.0
19960510                65.0          4.3000       10.0
19960510                66.0          4.3000       10.0
19960510                67.0          4.3000       10.0
19960521                 0.0         13.2000       10.0
19960521                 1.0         13.2000       10.0
19960521                 2.0         13.1000       10.0
19960521                 3.0         13.0000       10.0
19960521                 4.0         12.2000       10.0
19960521                 5.0         11.7000       10.0
19960521                 6.0         11.3000       10.0
19960521                 7.0          9.5000       10.0
19960521                 8.0          8.1000       10.0
19960521                 9.0          7.5000       10.0
19960521                10.0          6.9000       10.0
19960521                15.0          5.2000       10.0
19960521                20.0          4.9000       10.0
19960521                25.0          4.8000       10.0
19960521                30.0          4.6000       10.0
19960521                35.0          4.4000       10.0
19960521                40.0          4.4000       10.0
19960521                45.0          4.3000       10.0
19960521                50.0          4.3000       10.0
19960521                55.0          4.3000       10.0
19960521                60.0          4.3000       10.0
19960521                65.0          4.3000       10.0
19960521                66.0          4.3000       10.0
19960605                 0.0         17.3000       10.0
19960605                 1.0         16.5000       10.0
19960605                 2.0         15.8000       10.0
19960605                 3.0         15.4000       10.0
19960605                 4.0         14.9000       10.0
19960605                 5.0         14.7000       10.0
19960605                 6.0         13.2000       10.0
19960605                 7.0         12.4000       10.0
19960605                 8.0         10.4000       10.0
19960605                 9.0          9.0000       10.0
19960605                10.0          7.9000       10.0
19960605                11.0          7.4000       10.0
19960605                12.0          6.9000       10.0
19960605                13.0          6.6000       10.0
19960605                14.0          6.1000       10.0
19960605                15.0          5.8000       10.0
19960605                20.0          5.3000       10.0
19960605                25.0          5.1000       10.0
19960605                30.0          4.8000       10.0
19960605                35.0          4.7000       10.0
19960605                40.0          4.4000       10.0
19960605                45.0          4.4000       10.0
19960605                50.0          4.4000       10.0
19960605                55.0          4.4000       10.0
19960605                60.0          4.4000       10.0
19960605                65.0          4.4000       10.0
19960605                66.0          4.4000       10.0
19960605                67.0          4.4000       10.0
19960618                 0.0         18.5000       10.0
19960618                 1.0         18.5000       10.0
19960618                 2.0         18.5000       10.0
19960618                 3.0         18.5000       10.0
19960618                 4.0         18.5000       10.0
19960618                 5.0         17.6000       10.0
19960618                 6.0         15.4000       10.0
19960618                 7.0         13.7000       10.0
19960618                 8.0         11.4000       10.0
19960618                 9.0         10.0000       10.0
19960618                10.0          8.7000       10.0
19960618                11.0          7.7000       10.0
19960618                12.0          7.3000       10.0
19960618                13.0          6.8000       10.0
19960618                14.0          6.5000       10.0
19960618                15.0          6.1000       10.0
19960618                20.0          5.4000       10.0
19960618                25.0          5.1000       10.0
19960618                30.0          4.9000       10.0
19960618                35.0          4.7000       10.0
19960618                40.0          4.5000       10.0
19960618                45.0          4.5000       10.0
19960618                50.0          4.4000       10.0
19960618                55.0          4.4000       10.0
19960618                60.0          4.4000       10.0
19960618                65.0          4.4000       10.0
19960618                66.0          4.4000       10.0
19960702                 0.0         16.4000       10.0
19960702                 1.0         16.4000       10.0
19960702                 2.0         16.4000       10.0
19960702                 3.0         16.4000       10.0
19960702                 4.0         16.4000       10.0
19960702                 5.0         16.4000       10.0
19960702                 6.0         16.4000       10.0
19960702                 7.0         16.4000       10.0
19960702                 8.0         13.7000       10.0
19960702                 9.0         11.1000       10.0
19960702                10.0          9.1000       10.0
19960702                11.0          8.4000       10.0
19960702                12.0          7.7000       10.0
19960702                13.0          7.3000       10.0
19960702                14.0          6.6000       10.0
19960702                15.0          6.2000       10.0
19960702                20.0          5.4000       10.0
19960702                25.0          4.9000       10.0
19960702                30.0          4.8000       10.0
19960702                35.0          4.6000       10.0
19960702                40.0          4.6000       10.0
19960702                45.0          4.6000       10.0
19960702                50.0          4.4000       10.0
19960702                55.0          4.4000       10.0
19960702                60.0          4.4000       10.0
19960702                65.0          4.4000       10.0
19960718                 0.0         17.4000       10.0
19960718                 1.0         17.4000       10.0
19960718                 2.0         17.4000       10.0
19960718                 3.0         17.4000       10.0
