Observation #: 16319
---------------------------------------------------------------------
 Time(YYYYMMDD)  Depth(m) Value(celsius)    Std(%)
        19860703         0           18.2        10
        19860703       0.5           18.2        10
        19860703         2           18.2        10
        19860703         5           18.1        10
        19860703        10           17.3        10
        19860703        13           17.1        10
        19860703        15             13        10
        19860703        20           11.2        10
        19860703        25           10.2        10
        19860803       0.1             24        10
        19860803       0.5             23        10
        19860803       3.5             22        10
        19860803         7             21        10
        19860803         8             20        10
        19860803       8.5             19        10
        19860803        10           16.5        10
        19860803        11           15.5        10
        19860803        12           13.5        10
        19860803      13.5             12        10
        19860806       0.1           22.4        10
        19860806         1           22.3        10
        19860806         2           22.2        10
        19860806         3             22        10
        19860806         4             22        10
        19860806         5             22        10
        19860806         6           21.5        10
        19860806         7           20.7        10
        19860806         8           18.7        10
        19860806         9           17.2        10
        19860806        10           15.9        10
        19860806        11           14.2        10
        19860806        12           12.5        10
        19860806        13           11.5        10
        19860806        14           10.8        10
        19860806        15           10.2        10
        19860806        20              9        10
        19860806        25            8.8        10
        19860806        30            8.2        10
        19860902       0.1             20        10
        19860902       0.5             19        10
        19860902         1           19.5        10
        19860902         2           19.5        10
        19860902         3             19        10
        19860902         4             19        10
        19860902         5             19        10
        19860902         6             19        10
        19860902         7             19        10
        19860902         8             19        10
        19860902         9           18.5        10
        19860902        10           18.5        10
        19860902        11             18        10
        19860902      11.5             16        10
        19860902        12             15        10
        19860902      12.5             14        10
        19860902        13             13        10
        19860902        14             12        10
        19860902        15           11.5        10
        19860902        16             11        10
        19860902        17           10.5        10
        19860902        18             10        10
        19860902        19             10        10
        19860902        21             10        10
        19860902        22             10        10
        19860902      22.5             10        10
        19870529       0.1           19.5        10
        19870529       0.5             19        10
        19870529         1             18        10
        19870529         2           16.5        10
        19870529       2.5             16        10
        19870529         3             16        10
        19870529         4             15        10
        19870529         5           14.8        10
        19870529       5.5             14        10
        19870529         6           13.5        10
        19870529         7             13        10
        19870529         8           12.5        10
        19870529         9             11        10
        19870529        10           10.5        10
        19870529        11             10        10
        19870529        12            9.5        10
        19870529        13              9        10
        19870529        14              9        10
        19870529        15              9        10
        19870529        16              9        10
        19870529        17              8        10
        19870529      17.5              8        10
        19870701       0.1             21        10
        19870701       0.5             22        10
        19870701         1           21.5        10
        19870701         2             23        10
        19870701       2.5             23        10
        19870701         3             23        10
        19870701       3.5             23        10
        19870701         4             23        10
        19870701       4.5             23        10
        19870701         5             23        10
        19870701       5.5             23        10
        19870701         6             23        10
        19870701       6.5             23        10
        19870701         7             22        10
        19870701       7.5             22        10
        19870701         8             21        10
        19870701       8.5             20        10
        19870701         9             18        10
        19870701       9.5             16        10
        19870701        10           15.5        10
        19870701      10.5           14.5        10
        19870701        11             14        10
        19870701      11.5             13        10
        19870701        12             13        10
        19870701        13           12.5        10
        19870701        14             12        10
        19870701        15             11        10
        19870701        16             11        10
        19870701        17             11        10
        19870701        18           10.5        10
        19870701      18.5           10.5        10
        19870701        19           10.5        10
        19870811       0.1           21.3        10
        19870811       0.5             21        10
        19870811         1           21.5        10
        19870811         2           21.3        10
        19870811         3           21.3        10
        19870811         4           21.3        10
        19870811         5           21.3        10
        19870811         6           21.2        10
        19870811         7           21.2        10
        19870811         8           17.5        10
        19870811       8.5           16.5        10
        19870811         9             15        10
        19870811       9.5           14.1        10
        19870811        10             13        10
        19870811      10.5             12        10
        19870811        11           11.5        10
        19870811      11.5           10.8        10
        19870811        12           10.2        10
        19870811        13            9.8        10
        19870811        14            9.2        10
        19870811        15            9.1        10
        19870811        16            8.9        10
        19870811        17            8.8        10
        19870811        18            8.5        10
        19870811        19            8.3        10
        19870811        20            8.2        10
        19870811        21            8.1        10
        19870903       0.1           17.5        10
        19870903         1             18        10
        19870903         2             18        10
        19870903         3             18        10
        19870903         5             18        10
        19870903         7             18        10
        19870903         8             18        10
        19870903         9             18        10
        19870903        10             18        10
        19870903      10.5             15        10
        19870903        11             13        10
        19870903      11.5             12        10
        19870903        12           11.5        10
        19870903      12.5             11        10
        19870903        13           10.5        10
        19870903        14             10        10
        19870903        15            9.5        10
        19870903        16            9.5        10
        19870903        18              9        10
        19870903        19            8.5        10
        19870903        20            8.5        10
        19870903        21            8.5        10
        19870903        22              8        10
        19870903        23              8        10
        19870903        24              8        10
        19890524       0.1           14.8        10
        19890524       0.5           14.7        10
        19890524         1           14.7        10
        19890524         2           14.6        10
        19890524         3           14.5        10
        19890524         4           14.3        10
        19890524         5           14.3        10
        19890524       5.5             14        10
        19890524         6           12.2        10
        19890524       6.5             11        10
        19890524         7            9.4        10
        19890524       7.5            8.9        10
        19890524         8            8.8        10
        19890524         9            8.6        10
        19890524        10            8.5        10
        19890524        11            8.4        10
        19890524        12            8.3        10
        19890524        13            7.9        10
        19890524      13.5            7.9        10
        19890524        14            7.9        10
        19890528       0.1           21.8        10
        19890528       0.5           21.9        10
        19890528         1           21.8        10
        19890528         2           21.7        10
        19890528       2.5           21.3        10
        19890528         3           18.8        10
        19890528       3.5           18.3        10
        19890528         4           17.3        10
        19890528       4.5           16.8        10
        19890528         5           16.6        10
        19890528       5.5           16.1        10
        19890528         6           15.8        10
        19890528         7           15.1        10
        19890528         8           13.9        10
        19890528         9           12.1        10
        19890528        10           11.1        10
        19890528        11           10.5        10
        19890528        12             10        10
        19890528        13            9.5        10
        19890528        14            9.1        10
        19890528        15            8.9        10
        19890528        16            8.7        10
        19890528        17            8.6        10
        19890528        18            8.5        10
        19890528        19            8.4        10
        19890625       0.1           24.4        10
        19890625       0.5           24.3        10
        19890625         1             24        10
        19890625         2           23.6        10
        19890625         3           23.2        10
