Observation #: 13712
-------------------------------------------------------
Time(YYYYMMDD)     Depth(m)  Value(celsius)     Std(%)
19961107                 0.0         14.6000       10.0
19961107                 2.0         14.6000       10.0
19961107                 4.0         14.6000       10.0
19961107                 6.0         14.6000       10.0
19961107                 8.0         14.6000       10.0
19961107                10.0         14.6000       10.0
19961107                12.0         14.6000       10.0
19961107                14.0         13.8000       10.0
19961107                16.0         13.4000       10.0
19961107                18.0         13.2000       10.0
19961107                20.0         12.9000       10.0
19961107                22.0         12.6000       10.0
19961107                24.0         12.0000       10.0
19961107                26.0         12.1000       10.0
19961107                28.0         12.0000       10.0
19961107                30.0         11.6000       10.0
19961107                32.0         11.4000       10.0
19961107                34.0         11.2000       10.0
19961107                36.0         11.0000       10.0
19961107                38.0         10.9000       10.0
19961107                40.0         10.9000       10.0
19961107                42.0         10.8000       10.0
19961107                44.0         10.8000       10.0
19961107                46.0         10.7000       10.0
19961107                48.0         10.7000       10.0
19961107                50.0         10.7000       10.0
19961107                52.0         10.7000       10.0
19961107                54.0         10.7000       10.0
19961107                56.0         10.7000       10.0
19961107                58.0         10.6000       10.0
19961107                60.0         10.6000       10.0
19961107                62.0         10.6000       10.0
19961107                64.0         10.6000       10.0
19961107                66.0         10.6000       10.0
19961107                68.0         10.6000       10.0
19961107                70.0         10.6000       10.0
19961107                72.0         10.5000       10.0
19961107                74.0         10.5000       10.0
19961107                76.0         10.5000       10.0
19961107                78.0         10.5000       10.0
19961107                80.0         10.5000       10.0
19961107                82.0         10.5000       10.0
19970117                 0.0         18.6000       10.0
19970117                 2.0         18.3000       10.0
19970117                 4.0         18.2000       10.0
19970117                 6.0         18.1000       10.0
19970117                 8.0         18.1000       10.0
19970117                10.0         18.1000       10.0
19970117                12.0         18.0000       10.0
19970117                14.0         18.0000       10.0
19970117                16.0         17.8000       10.0
19970117                18.0         17.1000       10.0
19970117                20.0         15.8000       10.0
19970117                22.0         15.0000       10.0
19970117                24.0         14.6000       10.0
19970117                26.0         13.9000       10.0
19970117                28.0         13.4000       10.0
19970117                30.0         13.1000       10.0
19970117                32.0         12.3000       10.0
19970117                34.0         11.9000       10.0
19970117                36.0         11.6000       10.0
19970117                38.0         11.5000       10.0
19970117                40.0         11.4000       10.0
19970117                42.0         11.2000       10.0
19970117                44.0         11.2000       10.0
19970117                46.0         11.1000       10.0
19970117                48.0         11.1000       10.0
19970117                50.0         11.0000       10.0
19970117                52.0         10.9000       10.0
19970117                54.0         10.8000       10.0
19970117                56.0         10.8000       10.0
19970117                58.0         10.8000       10.0
19970117                60.0         10.8000       10.0
19970117                62.0         10.8000       10.0
19970117                64.0         10.8000       10.0
19970117                66.0         10.7000       10.0
19970117                68.0         10.7000       10.0
19970117                70.0         10.7000       10.0
19970117                72.0         10.7000       10.0
19970117                74.0         10.7000       10.0
19970117                76.0         10.7000       10.0
19970117                78.0         10.7000       10.0
19970117                80.0         10.6000       10.0
19970117                82.0         10.6000       10.0
19990819                 0.0         11.7000       10.0
19990819                 2.0         11.7000       10.0
19990819                 4.0         11.6000       10.0
19990819                 6.0         11.6000       10.0
19990819                 8.0         11.6000       10.0
19990819                10.0         11.6000       10.0
19990819                12.0         11.5000       10.0
19990819                14.0         11.5000       10.0
19990819                16.0         11.5000       10.0
19990819                18.0         11.5000       10.0
19990819                20.0         11.5000       10.0
19990819                22.0         11.5000       10.0
19990819                24.0         11.5000       10.0
19990819                26.0         11.5000       10.0
19990819                28.0         11.5000       10.0
19990819                30.0         11.5000       10.0
19990819                32.0         11.5000       10.0
19990819                34.0         11.5000       10.0
