Observation #: 7373
------------------------------------------------------
Time(YYYYMMDD)    Depth(m)  Value(celsius)     Std(%)
19830713                1.0         11.9000       10.0
19830713                3.0         11.9000       10.0
19830713                5.0         11.8000       10.0
19830713                8.0          6.0000       10.0
19830713               12.0          4.0000       10.0
19830713               16.0          3.0000       10.0
19830718                0.0         12.0000       10.0
19830718                1.0         12.2000       10.0
19830718                3.0         12.1000       10.0
19830718                5.0         10.3000       10.0
19830718                8.0          6.2000       10.0
19830718               12.0          4.8000       10.0
19830718               16.0          4.0000       10.0
19830725                0.0         14.9000       10.0
19830725                1.0         15.1000       10.0
19830725                3.0         14.2000       10.0
19830725                5.0         13.5000       10.0
19830725                8.0          6.5000       10.0
19830725               12.0          4.9000       10.0
19830725               16.0          4.2000       10.0
19830801                0.0         14.6000       10.0
19830801                1.0         14.6000       10.0
19830801                3.0         14.5000       10.0
19830801                5.0         12.5000       10.0
19830801                8.0          7.5000       10.0
19830801               12.0          5.1000       10.0
19830801               16.0          4.9000       10.0
19830808                0.0         12.1000       10.0
19830808                1.0         12.1000       10.0
19830808                3.0         12.1000       10.0
19830808                5.0         12.1000       10.0
19830808                8.0          9.1000       10.0
19830808               12.0          5.5000       10.0
19830808               16.0          5.0000       10.0
19840709                0.0         11.1500       10.0
19840709                1.0         11.0500       10.0
19840709                3.0         10.9000       10.0
19840709                5.0         10.8000       10.0
19840709                8.0          5.5000       10.0
19840709               12.0          4.1000       10.0
19840709               16.0          4.0000       10.0
19840716                3.0         12.4000       10.0
19840716                5.0         12.0000       10.0
19840716                8.0          7.2000       10.0
19840716               12.0          5.0000       10.0
19840716               16.0          5.0000       10.0
19840723                0.0         12.0000       10.0
19840723                1.0         12.1000       10.0
19840723                3.0         12.1000       10.0
19840723                5.0         11.8000       10.0
19840723                8.0          8.8000       10.0
19840723               12.0          5.7000       10.0
19840723               16.0          5.5000       10.0
19840730                0.0         13.0000       10.0
19840730                1.0         13.0000       10.0
19840730                3.0         12.5000       10.0
19840730                5.0         12.5000       10.0
19840730                8.0         11.1000       10.0
19840730               12.0          5.9000       10.0
19840730               16.0          5.2000       10.0
19840806                0.0         11.0000       10.0
19840806                1.0         11.0000       10.0
19840806                3.0         11.0000       10.0
19840806                5.0         10.8000       10.0
19840806                8.0         10.2000       10.0
19840806               12.0          7.0000       10.0
19840806               16.0          6.0000       10.0
19840813                0.0         10.3000       10.0
19840813                1.0         10.3000       10.0
19840813                3.0         10.2000       10.0
19840813                5.0         10.0000       10.0
19840813                8.0          9.7000       10.0
19840813               12.0          7.5000       10.0
19840813               16.0          6.0000       10.0
19850701                0.0          7.6000       10.0
19850701                1.0          7.5000       10.0
19850701                3.0          7.2000       10.0
19850701                5.0          7.0000       10.0
