Observation #: 19033
------------------------------------------------------------------------------------
 Time(YYYYMMDD)   Depth(m) Value(celsius)   Std(%)
        19810422        0.5           4.2        10
        19810422          1           4.2        10
        19810422          2           4.1        10
        19810422          3           4.1        10
        19810422          4           4.1        10
        19810422          5           4.1        10
        19810422          6           4.1        10
        19810422          7           4.1        10
        19810422          8           4.1        10
        19810422          9           4.1        10
        19810422         10           4.1        10
        19810422         11           4.1        10
        19810422         12           4.1        10
        19810422         13           4.1        10
        19810422         14           4.1        10
        19810422         16           4.1        10
        19810422         18           4.1        10
        19810422         20           4.1        10
        19810422         22           4.1        10
        19810422         24           4.1        10
        19810422         26           4.1        10
        19810422         27           4.1        10
        19810422         28           4.1        10
        19810422         30           4.1        10
        19810422         31           4.1        10
        19810422         32           4.1        10
        19810520          0          13.5        10
        19810520          1          13.1        10
        19810520          2            13        10
        19810520          3          12.5        10
        19810520          4            12        10
        19810520          5          11.5        10
        19810520          6           9.8        10
        19810520          7           8.8        10
        19810520        7.5           8.6        10
        19810520          8           8.3        10
        19810520          9           7.8        10
        19810520         10           7.3        10
        19810520         11             7        10
        19810520         12           6.9        10
        19810520         13           6.8        10
        19810520         14           6.7        10
        19810520         15           6.6        10
        19810520         16           6.4        10
        19810520         17           6.3        10
        19810520         18           6.3        10
        19810520         19           6.2        10
        19810520         20           6.1        10
        19810520         21           6.1        10
        19810520         22             6        10
        19810520         23             6        10
        19810520         24             6        10
        19810520         25           5.9        10
        19810520         26           5.9        10
        19810520         27           5.8        10
        19810520         28           5.8        10
        19810520         29           5.8        10
        19810520         30           5.7        10
        19810520         31           5.7        10
        19810520         32           5.7        10
        19810520         33           5.6        10
        19810603          0          15.6        10
        19810603          1          15.6        10
        19810603          2          15.6        10
        19810603          3          15.6        10
        19810603          4          15.5        10
        19810603          5          15.1        10
        19810603          6          13.2        10
        19810603          7            11        10
        19810603          8           9.5        10
        19810603          9           8.3        10
        19810603         10           7.8        10
        19810603         11           7.5        10
        19810603         12           7.3        10
        19810603         13           7.1        10
        19810603         14           6.8        10
        19810603         15           6.6        10
        19810603         16           6.5        10
        19810603         17           6.4        10
        19810603         18           6.4        10
        19810603         19           6.3        10
        19810603         20           6.2        10
        19810603         21           6.2        10
        19810603         22           6.1        10
        19810603         23           6.1        10
        19810603         24             6        10
        19810603         25             6        10
        19810603         26             6        10
        19810603         27           5.9        10
        19810603         28           5.9        10
        19810618          0            17        10
        19810618          1            17        10
        19810618          2            17        10
        19810618          3          16.9        10
        19810618          4          16.9        10
        19810618          5          16.9        10
        19810618          6          16.9        10
        19810618          7          16.9        10
        19810618          8          14.8        10
        19810618          9          12.9        10
        19810618         10          11.1        10
        19810618         11           9.6        10
        19810618         12           8.4        10
        19810618         13           7.9        10
        19810618         14           7.5        10
        19810618         15           7.3        10
        19810618         16           7.1        10
        19810618         17           6.9        10
        19810618         18           6.8        10
        19810618         19           6.6        10
        19810618         20           6.5        10
        19810618         21           6.4        10
        19810618         22           6.3        10
        19810618         23           6.2        10
        19810618         24           6.2        10
        19810618         25           6.1        10
        19810618         26           6.1        10
        19810618         27           5.9        10
        19810618         28           5.9        10
        19810618         29           5.8        10
        19810618         30           5.8        10
        19810618         31           5.8        10
        19810702          0          20.1        10
        19810702          1            20        10
        19810702          2          19.7        10
        19810702          3          19.2        10
        19810702          4            19        10
        19810702          5          18.7        10
        19810702          6            18        10
        19810702          7          17.6        10
        19810702          8          17.3        10
        19810702          9          15.5        10
        19810702         10          12.9        10
        19810702         11          10.3        10
        19810702         12           8.5        10
        19810702         13           7.7        10
        19810702         14           7.3        10
        19810702         15           7.1        10
        19810702         16           6.9        10
        19810702         17           6.8        10
        19810702         18           6.7        10
        19810702         19           6.6        10
        19810702         20           6.5        10
        19810702         21           6.4        10
        19810702         22           6.3        10
        19810702         23           6.2        10
        19810702         24           6.1        10
        19810702         25             6        10
        19810702         26             6        10
        19810702         27           5.9        10
        19810702         28           5.9        10
        19810702         29           5.8        10
        19810702         30           5.8        10
        19810702         31           5.7        10
        19810702         32           5.6        10
        19810702         33           5.4        10
        19810713          0          23.8        10
        19810713          1          23.8        10
        19810713          2          23.8        10
        19810713          3          23.7        10
        19810713          4          23.7        10
        19810713          5          23.6        10
        19810713          6          21.3        10
        19810713          7          18.5        10
        19810713          8          17.4        10
        19810713          9            16        10
        19810713         10            13        10
        19810713         11          10.1        10
        19810713         12           8.6        10
        19810713         13           8.1        10
        19810713         14           7.8        10
        19810713         15           7.4        10
        19810713         16           7.3        10
        19810713         17           7.1        10
        19810713         18             7        10
        19810713         19           6.8        10
        19810713         20           6.7        10
        19810713         21           6.6        10
        19810713         22           6.5        10
        19810713         23           6.4        10
        19810713         24           6.3        10
        19810713         25           6.3        10
        19810713         26           6.2        10
        19810713         27           6.1        10
        19810713         28           6.1        10
        19810713         29             6        10
        19810713         30           5.9        10
        19810713         31           5.8        10
        19810713         32           5.8        10
        19810713       32.2           5.8        10
        19810729          0            21        10
        19810729          1          20.8        10
        19810729          2          20.8        10
        19810729          3          20.7        10
        19810729          4          20.7        10
        19810729          5          20.6        10
        19810729          6          20.6        10
        19810729          7          20.5        10
        19810729          8            18        10
        19810729          9          15.7        10
        19810729         10          13.2        10
        19810729         11          10.9        10
        19810729         12           9.7        10
        19810729         13           8.9        10
        19810729         14           8.3        10
        19810729         15           7.7        10
        19810729         16           7.3        10
        19810729         17           7.2        10
        19810729         18             7        10
        19810729         19           6.8        10
        19810729         20           6.7        10
        19810729         21           6.6        10
        19810729         22           6.6        10
        19810729         23           6.4        10
        19810729         24           6.4        10
        19810729         25           6.3        10
        19810729         26           6.2        10
        19810729         27           6.2        10
        19810729         28           6.1        10
        19810729         29           6.1        10
        19810729         30             6        10
        19810729         31             6        10
        19810729         32           5.9        10
        19810729         33           5.9        10
