Observation #: 993
-----------------------------------------------------
Time(YYYYMMDD)   Depth(m)  Value(celsius)     Std(%)
19900829            0.9144         22.7778       10.0
19900829            2.7432         22.7778       10.0
19900829            4.5720         22.2222       10.0
19900829            6.0960         22.2222       10.0
19900829            7.6200         21.6667       10.0
19900829            9.1440         17.2222       10.0
19900829           10.6680         14.4444       10.0
19900829           12.1920         11.6667       10.0
19900829           13.7160         10.5556       10.0
19900829           18.5928         10.0000       10.0
19910805            0.9144         23.3333       10.0
19910805            2.7432         21.6667       10.0
19910805            4.5720         21.6667       10.0
19910805            6.0960         21.1111       10.0
19910805            7.6200         15.0000       10.0
19910805            9.1440         12.7778       10.0
19910805           10.6680         12.2222       10.0
19910805           12.1920         10.5556       10.0
19910805           13.7160         10.0000       10.0
19910904            0.9144         21.6667       10.0
19910904            2.7432         21.6667       10.0
19910904            4.5720         21.1111       10.0
19910904            6.0960         21.1111       10.0
19910904            7.6200         17.7778       10.0
19910904            9.1440         13.3333       10.0
19910904           10.6680         11.6667       10.0
19910904           12.1920         11.1111       10.0
19910904           13.7160         10.0000       10.0
19911002            0.9144         13.8889       10.0
19911002            2.7432         13.8889       10.0
19911002            4.5720         13.3333       10.0
19911002            6.0960         13.3333       10.0
19911002            7.6200         13.3333       10.0
19911002            9.1440         12.7778       10.0
19911002           10.6680         12.7778       10.0
19911002           12.1920         11.1111       10.0
19911002           13.7160         10.0000       10.0
19911002           18.5928          8.8889       10.0
19911113            0.9144          4.4444       10.0
19911113            2.7432          3.8889       10.0
19911113            4.5720          3.8889       10.0
19911113            6.0960          3.8889       10.0
19911113            7.6200          3.3333       10.0
19911113            9.1440          3.3333       10.0
19911113           10.6680          3.3333       10.0
19911113           12.1920          3.3333       10.0
19911113           13.7160          3.3333       10.0
19911113           18.5928          2.7778       10.0
19920815            0.9144         21.6667       10.0
19920815            2.7432         21.1111       10.0
19920815            4.5720         20.5556       10.0
19920815            6.0960         20.0000       10.0
19920815            7.6200         14.4444       10.0
19920815            9.1440         10.5556       10.0
19920815           10.6680          8.8889       10.0
19920815           12.1920          7.2222       10.0
19920815           13.7160          6.6667       10.0
19920927            0.9144         14.4444       10.0
19920927            4.5720         14.4444       10.0
19920927            6.0960         14.4444       10.0
19920927            7.6200         14.4444       10.0
19920927            9.1440         13.8889       10.0
19920927           10.6680         10.0000       10.0
19920927           12.1920          7.7778       10.0
19920927           13.7160          7.2222       10.0
19921025            0.9144          8.8889       10.0
19921025            2.7432          8.8889       10.0
19921025            4.5720          8.8889       10.0
19921025            6.0960          8.8889       10.0
19921025            7.6200          8.8889       10.0
19921025            9.1440          8.8889       10.0
19921025           10.6680          7.7778       10.0
19921025           12.1920          7.7778       10.0
19921025           13.7160          7.7778       10.0
19930801            0.9144         22.2222       10.0
19930801            2.7432         22.2222       10.0
19930801            4.5720         21.1111       10.0
19930801            6.0960         21.1111       10.0
19930801            7.6200         13.8889       10.0
19930801            9.1440          8.8889       10.0
19930801           10.6680          7.7778       10.0
19930801           12.1920          7.2222       10.0
19930801           13.7160          6.1111       10.0
19930801           18.5928          5.0000       10.0
19930919            0.9144         15.0000       10.0
19930919            2.7432         15.0000       10.0
19930919            4.5720         15.0000       10.0
19930919            6.0960         15.0000       10.0
19930919            7.6200         15.0000       10.0
19930919            9.1440         13.8889       10.0
19930919           10.6680          8.8889       10.0
19930919           12.1920          7.2222       10.0
19930919           13.7160          6.1111       10.0
19931017            0.9144          8.8889       10.0
19931017            2.7432          8.8889       10.0
19931017            4.5720          8.8889       10.0
19931017            6.0960          8.8889       10.0
19931017            7.6200          8.8889       10.0
19931017            9.1440          8.8889       10.0
19931017           10.6680          8.8889       10.0
19931017           12.1920          8.8889       10.0
19931017           13.7160          8.8889       10.0
19940730            0.9144         22.7778       10.0
19940730            2.7432         22.2222       10.0
19940730            4.5720         20.5556       10.0
19940730            6.0960         20.5556       10.0
19940730            7.6200         13.3333       10.0
19940730            9.1440         10.5556       10.0
19940730           10.6680          9.4444       10.0
19940730           12.1920          8.3333       10.0
19940730           13.7160          7.7778       10.0
19940903            0.9144         20.0000       10.0
19940903            2.7432         18.8889       10.0
19940903            4.5720         18.8889       10.0
19940903            6.0960         18.8889       10.0
19940903            7.6200         17.7778       10.0
19940903            9.1440         12.7778       10.0
19940903           10.6680         10.0000       10.0
19940903           12.1920          8.8889       10.0
19940903           13.7160          8.8889       10.0
19950730            0.9144         24.4444       10.0
19950730            2.7432         24.4444       10.0
19950730            4.5720         24.4444       10.0
19950730            6.0960         21.1111       10.0
19950730            7.6200         16.1111       10.0
19950730            9.1440         12.7778       10.0
19950730           10.6680         11.1111       10.0
19950730           12.1920          8.8889       10.0
19950730           13.7160          7.7778       10.0
19950902            0.9144         22.2222       10.0
19950902            2.7432         22.2222       10.0
19950902            4.5720         22.2222       10.0
19950902            6.0960         22.2222       10.0
19950902            7.6200         19.4444       10.0
19950902            9.1440         12.7778       10.0
19950902           10.6680         11.1111       10.0
19950902           12.1920          8.8889       10.0
19950902           13.7160          7.7778       10.0
19960721            0.9144         21.1111       10.0
19960721            2.7432         21.1111       10.0
19960721            4.5720         21.1111       10.0
19960721            6.0960         17.2222       10.0
19960721            7.6200         11.1111       10.0
19960721            9.1440         11.1111       10.0
19960721           10.6680          7.7778       10.0
19960721           12.1920          7.2222       10.0
19960721           13.7160          6.1111       10.0
19960831            0.9144         22.2222       10.0
19960831            2.7432         22.2222       10.0
19960831            4.5720         21.6667       10.0
19960831            6.0960         20.5556       10.0
19960831            7.6200         13.3333       10.0
19960831            9.1440          8.8889       10.0
19960831           10.6680          7.7778       10.0
19960831           12.1920          6.6667       10.0
19960831           13.7160          6.6667       10.0
20010604            2.7432         13.8889       10.0
20010604            6.0960         13.8889       10.0
20010604            9.1440          8.8889       10.0
20010604           12.1920          7.2222       10.0
20010604           15.2400          6.6667       10.0
20010731            0.9144         23.0000       10.0
20010731            2.7432         22.0000       10.0
20010731            4.5720         22.0000       10.0
20010731            9.1440         16.0000       10.0
20010731           15.2400          9.0000       10.0
20010817            0.9144         22.0000       10.0
20010817            2.7432         22.0000       10.0
20010817            4.5720         22.0000       10.0
