Observation #: 25722
-------------------------------------------------------------------------------------
 Time(YYYMMDD)   Depth(m) Value(celsius)  Std(%)
       20070705       2.77       17.3070     10.0
       20070705       3.14       17.2670     10.0
       20070705       3.59       17.1850     10.0
       20070705       4.58       16.8120     10.0
       20070705       5.57       16.1800     10.0
       20070705       6.51       15.8350     10.0
       20070705       7.48       15.6110     10.0
       20070705       8.48       15.3790     10.0
       20070705       9.49       15.2220     10.0
       20070705      11.10       14.9340     10.0
       20070705      11.30       14.4610     10.0
       20070706       2.77       16.7760     10.0
       20070706       3.14       16.7610     10.0
       20070706       3.59       16.7280     10.0
       20070706       4.58       16.6360     10.0
       20070706       5.57       16.4800     10.0
       20070706       6.51       16.2630     10.0
       20070706       7.48       15.9130     10.0
       20070706       8.48       15.3450     10.0
       20070706       9.49       15.1130     10.0
       20070706      11.10       14.7840     10.0
       20070706      11.30       14.4030     10.0
       20070707       2.77       16.8540     10.0
       20070707       3.14       16.8250     10.0
       20070707       3.59       16.7940     10.0
       20070707       4.58       16.6920     10.0
       20070707       5.57       16.5980     10.0
       20070707       6.51       16.3090     10.0
       20070707       7.48       15.9630     10.0
       20070707       8.48       15.7030     10.0
       20070707       9.49       15.4630     10.0
       20070707      11.10       14.7520     10.0
       20070707      11.30       14.3660     10.0
       20070708       2.77       16.9980     10.0
       20070708       3.14       16.9860     10.0
       20070708       3.59       16.9640     10.0
       20070708       4.58       16.8810     10.0
       20070708       5.57       16.7820     10.0
       20070708       6.51       16.6230     10.0
       20070708       7.48       16.3200     10.0
       20070708       8.48       15.9030     10.0
       20070708       9.49       15.4990     10.0
       20070708      11.10       14.9060     10.0
       20070708      11.30       14.6790     10.0
       20070709       2.77       17.0910     10.0
       20070709       3.14       17.0890     10.0
       20070709       3.59       17.0840     10.0
       20070709       4.58       17.0440     10.0
       20070709       5.57       16.9670     10.0
       20070709       6.51       16.8220     10.0
       20070709       7.48       16.4680     10.0
       20070709       8.48       16.0530     10.0
       20070709       9.49       15.7100     10.0
       20070709      11.10       14.8590     10.0
       20070709      11.30       14.6090     10.0
       20070710       2.77       16.8390     10.0
       20070710       3.14       16.8360     10.0
       20070710       3.59       16.8310     10.0
       20070710       4.58       16.8210     10.0
       20070710       5.57       16.8050     10.0
       20070710       6.51       16.7790     10.0
       20070710       7.48       16.7410     10.0
       20070710       8.48       16.6190     10.0
       20070710       9.49       16.1930     10.0
       20070710      11.10       14.9210     10.0
       20070710      11.30       14.4550     10.0
       20070711       2.77       17.1550     10.0
       20070711       3.14       17.0830     10.0
       20070711       3.59       17.0220     10.0
       20070711       4.58       16.9210     10.0
       20070711       5.57       16.7800     10.0
       20070711       6.51       16.6970     10.0
       20070711       7.48       16.6700     10.0
       20070711       8.48       16.6200     10.0
       20070711       9.49       16.4620     10.0
       20070711      11.10       14.8710     10.0
       20070711      11.30       14.5500     10.0
       20070712       2.77       17.8040     10.0
       20070712       3.14       17.7850     10.0
