Observation #: 1427
------------------------------------------------------
Time(YYYYMMDD)    Depth(m)  Value(celsius)     Std(%)
19960213               0.00          1.5000       10.0
19960213               1.00          4.0000       10.0
19960213               2.00          4.2000       10.0
19960213               3.00          3.3000       10.0
19960412               0.00          9.8000       10.0
19960412               1.00          9.8000       10.0
19960412               2.00          9.8000       10.0
19960412               3.00          9.8000       10.0
19960502               0.00         10.4000       10.0
19960502               1.00         10.4000       10.0
19960502               2.00         10.4000       10.0
19960502               3.00         10.4000       10.0
19960515               0.00         12.5000       10.0
19960515               1.00         12.2000       10.0
19960515               2.00         12.0000       10.0
19960515               3.00         11.9000       10.0
19960530               0.00         18.7000       10.0
19960530               1.00         17.2000       10.0
19960530               2.00         15.6000       10.0
19960530               3.00         14.2000       10.0
19960530               3.25         14.2000       10.0
19960611               0.00         19.0000       10.0
19960611               1.00         18.8000       10.0
19960611               2.00         18.6000       10.0
19960611               3.00         17.4000       10.0
19960611               3.50         17.1000       10.0
19960624               0.00         22.6000       10.0
19960624               1.00         22.6000       10.0
19960624               2.00         22.6000       10.0
19960624               3.00         22.5000       10.0
19960710               0.00         23.6000       10.0
19960710               1.00         23.5000       10.0
19960710               2.00         23.4000       10.0
19960710               3.00         23.1000       10.0
19960710               3.50         23.1000       10.0
19960724               0.00         23.1000       10.0
19960724               1.00         23.1000       10.0
19960724               2.00         23.1000       10.0
19960724               3.00         23.1000       10.0
19960807               0.00         26.4000       10.0
19960807               1.00         26.4000       10.0
19960807               2.00         26.3000       10.0
19960807               3.00         23.4000       10.0
19960807               3.50         23.0000       10.0
19960821               0.00         26.0000       10.0
19960821               1.00         25.3000       10.0
19960821               2.00         23.9000       10.0
19960821               3.00         23.6000       10.0
19960906               0.00         25.8000       10.0
19960906               1.00         25.8000       10.0
19960906               2.00         25.6000       10.0
19960906               3.00         23.9000       10.0
19961001               0.00         16.4000       10.0
19961001               1.00         16.3000       10.0
19961001               2.00         16.2000       10.0
19961001               3.00         16.1000       10.0
19961001               3.50         16.0000       10.0
19961015               0.00         14.4000       10.0
19961015               1.00         13.6000       10.0
19961015               2.00         13.1000       10.0
19961015               3.00         13.0000       10.0
19961107               0.00          5.5000       10.0
19961107               1.00          5.5000       10.0
19961107               2.00          5.5000       10.0
19961107               2.50          5.5000       10.0
19970115               0.00          0.6000       10.0
19970115               1.00          3.2000       10.0
19970115               2.00          4.0000       10.0
19970115               3.00          4.1000       10.0
19970410               0.00          6.6000       10.0
19970410               1.00          6.6000       10.0
19970410               2.00          6.6000       10.0
19970410               3.00          6.4000       10.0
19970410               3.50          6.4000       10.0
19970505               0.00         13.7000       10.0
19970505               1.00         13.6000       10.0
19970505               2.00         13.5000       10.0
19970505               3.00         13.5000       10.0
19970505               3.50         13.5000       10.0
19970516               0.00         12.0000       10.0
19970516               1.00         12.0000       10.0
19970516               2.00         12.0000       10.0
19970516               3.00         12.0000       10.0
19970611               0.00         24.0000       10.0
19970611               1.00         23.9000       10.0
19970611               2.00         23.8000       10.0
19970611               3.00         23.3000       10.0
19970611               3.50         23.3000       10.0
19970612               0.00         24.1000       10.0
19970612               1.00         22.8000       10.0
